,中稻和一季晚稻单位面积产量,亚麻单位面积产量,其他谷物单位面积产量,冬小麦单位面积产量,双季晚稻单位面积产量,向日葵单位面积产量,夏收粮食单位面积产量,大豆单位面积产量,大麦单位面积产量,大麻单位面积产量,小麦单位面积产量,早稻单位面积产量,春小麦单位面积产量,棉花单位面积产量,油料单位面积产量,油菜籽单位面积产量,烟叶单位面积产量,烤烟单位面积产量,玉米单位面积产量,甘蔗单位面积产量,甜菜单位面积产量,秋粮单位面积产量,稻谷单位面积产量,粮食单位面积产量,糖料单位面积产量,红小豆单位面积产量,绿豆单位面积产量,胡麻籽单位面积产量,芝麻单位面积产量,花生单位面积产量,苎麻单位面积产量,蔬菜单位面积产量,薯类单位面积产量,谷子单位面积产量,谷物单位面积产量,豆类单位面积产量,马铃薯单位面积产量,高粱单位面积产量,麻类单位面积产量,黄红麻单位面积产量
1978年,,1858.44892812,,1896.68799499,,870.881984987,1862.1881455,1058.97009967,,554.592901879,1844.93499551,4168.4441965,1558.63046397,445.298372514,838.576096855,718.495961021,1584.19083255,1716.93136082,2802.69657367,38496.1108434,8165.69298953,2543.08174073,3978.11017735,2527.3,27083.1185567,,,395.122802933,505.593308939,1344.35562929,720.994475138,,2690.68179763,1536.0599438,,,,2333.9438928,1799.57375011,2639.31575542
1979年,,1867.68292683,,2247.34499517,,924.709724238,2125.7146794,1029.41988188,,580.395528805,2136.81812917,4550.9729988,1586.73614786,489.239327984,912.658718528,870.03477169,1486.65649016,1583.99921404,2981.93010457,42028.7258989,9556.30769231,2796.14499857,4243.83475369,2784.7372101,29415.9429528,,,407.591945757,494.722485769,1360.56209024,930.294906166,,2598.58048965,1467.93315012,,,,2403.44204421,1949.95702416,3012.30414747
1980年,4659.8856731,1974.08207343,,1965.67849522,3287.00250622,1076.90789993,1912.2333905,1098.75916786,,549.854439592,1913.88969783,4422.989223,1678.04834217,550.112460029,969.992095992,838.130845503,1650.21487173,1806.37707948,3116.38141322,47561.6571667,14241.7557597,2823.80801096,4129.61428794,2734.3114698,31566.4666763,,,386.372251706,333.125751589,1539.20367098,858.447488584,,2829.08300613,1406.17736687,,,,2515.96850862,2154.57137141,3497.34663553
1981年,4879.05262306,2263.1056394,,2232.03986031,3374.97898519,1280.50070522,2142.2593208,1162.20617683,,523.893183415,2106.91920179,4654.7284937,1530.08641421,572.335939107,1117.2353392,1069.50413078,1977.87318362,2180.84138715,3047.88690823,53818.0553876,14594.6535108,2840.93860206,4323.65679457,2827.3016443,36500.5234364,,,361.545538178,622.972532399,1547.62578871,1017.63485477,,2699.47195543,1482.30998663,,,,2547.82764169,2667.42808799,4115.28412802
1982年,5329.85667715,1105.45454545,,2595.08189892,4226.67117696,1580.35056106,2476.9607302,1072.59942034,,547.439759036,2449.26430258,5047.9168384,1736.89086009,617.399286254,1264.82025887,1372.35746057,1938.53406867,2080.0750469,3265.92245052,56452.6530612,14518.6760888,3110.07568168,4886.29537199,3124.3830555,39076.6403729,,,525.579452913,354.706614141,1620.84758857,1254.27350427,,2886.38045365,1629.25057775,,,1941.41134289,2509.03996743,2701.50392328,4313.87306753
1983年,5722.99758523,2455.79268293,,2943.88434311,4622.6831421,1829.14847162,2772.8277764,1289.788295,,709.492635025,2801.73402976,4836.6351412,2107.46982095,762.99926502,1257.37765488,1168.31089551,1798.280653,2012.26975985,3623.26154631,47607.0373013,16884.2405296,3448.35605606,5096.06776046,3395.7431659,33660.4290723,,,518.218623482,441.739167159,1794.98848973,1151.94805195,,3110.50840247,1844.66336117,,,1972.9652373,3086.5185696,3206.99845811,4493.16779312
1984年,6100.13213763,2802.63157895,,3138.34545683,4669.88676143,1682.35371553,2957.9579901,1330.60974271,,931.519699812,2969.08352812,5194.4402939,2110.86938675,903.983745318,1372.45223297,1232.07379483,1993.98261645,2157.56106657,3960.28743239,54279.8507463,16500.2987651,3663.28849402,5372.62194681,3608.1751226,38860.5029265,,,677.056962025,554.211017015,1988.62948076,1272.26463104,,3168.01904705,1849.98244382,,,2217.36414741,3148.37990043,3678.00329128,4661.65139525
1985年,5832.36239375,1974.48214286,,3104.68639118,4654.15284446,1175.31710848,2919.3242034,1360.50308381,,1193.13695652,2936.70369086,5097.3013242,2080.59199088,806.69035082,1337.66585027,1247.60019581,1847.17591793,1926.52512998,3607.19789308,53429.8799751,15912.8319854,3507.34429373,5256.27220399,3483.0036804,39644.0579352,,,676.08451238,657.300304202,2008.10347564,949.81627907,,3037.3544669,1801.13305342,,,2159.40586067,2895.9143634,3614.26588656,4153.93215895
1986年,6029.11937862,2552.76960784,,3228.49903714,4559.57703064,1484.5568444,3035.9730803,1400.19932807,,1195.49347826,3040.22113973,5199.7358921,2048.43670636,822.167087255,1291.13266459,1196.330404,1517.01015995,1536.75620574,3705.1471998,52865.9696821,15962.781294,3518.21171746,5337.6088861,3529.2781382,39805.7817176,,,649.611994284,614.162825353,1807.76688455,833.786897313,,2917.44070008,1523.5240162,,,2114.24924206,2870.65012619,2528.00988453,4116.87205257
1987年,6109.67277407,2539.14066631,,3212.09093587,4867.21677348,1399.3133173,2984.52381733,1476.03296651,,1185.21390374,2982.92238563,5083.70924824,2096.55876807,876.336402296,1366.46611511,1253.97017504,1721.79294451,1791.21305014,3920.55743383,55142.1852686,16354.6410394,3702.11991035,5413.07373077,3621.68569883,40912.0945946,,,586.813237626,604.766045549,2041.94710139,1098.64859632,,3180.68022915,1620.78714381,,,2061.11883789,2911.46485423,2155.48737931,4179.77939735
