,中稻和一季晚稻产量,亚麻产量,其他谷物产量,冬小麦产量,双季晚稻产量,向日葵产量,夏收粮食产量,大豆产量,大麦产量,大麻产量,小麦产量,早稻产量,春小麦产量,棉花产量,油料产量,油菜籽产量,烟叶产量,烤烟产量,玉米产量,甘蔗产量,甜菜产量,秋粮产量,稻谷产量,粮食产量,糖料产量,红小豆产量,绿豆产量,胡麻籽产量,芝麻产量,花生产量,苎麻产量,蔬菜产量,薯类产量,谷子产量,谷物产量,豆类产量,马铃薯产量,高粱产量,麻类产量,黄红麻产量
1978年,,9.825,,4687.5,,27.845,5937.5,756.5,,8.855,5384.0,5081.0,696.5,216.7,521.79,186.785,124.19,105.225,5594.5,2111.64,270.23,19458.0,13693.0,30476.5,2381.87,,,22.63,32.24,237.7,2.61,,3174.0,656.0,,,,807.0,135.1,108.775
1979年,,10.21,,5493.5,,33.98,6786.5,746.0,,9.0,6273.0,5198.0,779.5,220.735,643.54,240.205,94.145,80.615,6003.5,2150.75,310.58,21227.0,14375.0,33211.5,2461.33,,,26.45,41.715,282.235,3.47,,2846.0,612.5,,,,762.5,136.12,108.945
1980年,5405.5,18.28,,4649.0,3671.0,90.97,5928.0,794.0,,7.555,5520.5,4914.0,871.5,270.67,769.055,238.37,84.48,71.665,6260.0,2280.74,630.53,21213.5,13990.5,32055.5,2911.27,,,27.18,25.855,360.03,3.76,,2872.5,544.5,,,,677.5,143.595,109.84
1981年,5828.5,18.995,,5192.0,3613.5,133.155,6399.0,932.5,,4.97,5964.0,4953.5,772.0,296.76,1020.52,406.49,149.725,127.87,5920.5,2966.81,636.035,21149.5,14395.5,32502.0,3602.845,,,23.58,50.955,382.635,4.905,,2597.0,576.5,,,,665.0,157.645,126.01
1982年,6372.0,6.08,,6022.0,4481.5,128.63,7334.0,903.0,,3.635,6847.0,5306.0,825.0,359.845,1181.73,565.64,217.93,184.78,6056.0,3688.24,671.15,22810.0,16159.5,35450.0,4359.39,,,33.56,34.215,391.64,5.87,,2704.5,658.0,,,476.5,698.5,123.945,106.035
1983年,6991.5,13.425,,7098.5,4818.5,134.04,8444.0,976.0,,2.89,8139.0,5076.5,1040.5,463.695,1054.965,428.7,138.06,115.075,6820.5,3114.135,918.165,25207.0,16886.5,38727.5,4032.295,,,33.28,34.865,395.065,4.435,,2924.5,754.0,,,505.5,835.5,124.795,101.935
1984年,7648.0,19.17,,7753.0,4847.0,170.4,9198.5,969.5,,3.31,8781.5,5330.5,1028.5,625.84,1190.95,420.515,178.94,154.28,7341.0,3951.935,828.425,26201.5,17825.5,40730.5,4780.36,,,42.79,47.555,481.54,5.0,,2847.5,702.5,,,568.0,771.5,178.8,149.235
1985年,7458.6,15.84851,,7583.3,4517.6,173.2104,8873.5,1050.0,,5.48843,8580.5,4880.7,997.2,414.66573,1578.41895,560.69648,242.48494,207.4996,6382.6,5154.91482,891.86119,24156.6,16856.9,37910.8,6046.77601,,,53.51885,69.14361,666.35567,8.16842,,2603.6,597.7,,,535.0,560.9,444.77156,411.87622
1986年,7793.3,20.8306,,8036.1,4467.2,154.4335,9329.1,1161.4,,5.49927,9004.0,4961.9,967.9,354.03611,1473.76338,588.0921,170.71421,137.43723,7085.6,5021.91468,830.59672,24860.2,17222.4,39151.2,5852.5114,,,48.49137,61.82163,588.15093,22.65399,,2533.7,454.0,,,530.0,538.4,192.66806,142.00464
1987年,7976.3,32.0101,,7887.3,4754.2,124.12842,9106.2,1246.5,,4.4327,8590.2,4763.3,889.5,424.51488,1527.77744,660.51625,194.25268,163.6094,7924.1,4736.3461,814.025,26428.2,17426.2,40297.7,5550.4075,,,44.41785,52.57836,617.10364,56.7452,,2820.5,435.7,,,533.5,542.6,208.36378,113.74573
1988年,7740.7,36.8963,,7633.2,4468.7,117.9594,9098.8,1164.5,,3.57355,8543.2,4701.4,910.0,414.86764,1320.2701,504.43412,273.37301,233.73889,7735.1,4906.42723,1281.03689,25607.9,16910.7,39408.1,6187.46412,,,52.1718,40.4493,569.2785,31.81203,,2696.5,441.2,,,632.4,559.4,180.92303,107.75645
1989年,8329.6,24.2837,,8037.9,4885.0,106.4066,9375.2,1022.7,,2.6302,9080.7,4798.4,1042.8,378.7943,1295.2178,543.618,283.0353,240.4776,7892.8,4879.4697,924.3277,26581.3,18013.0,40754.9,5803.7974,,,39.9384,33.7634,536.254,18.4476,,2730.4,375.3,,,624.26,443.5,112.4282,66.0236
1990年,8884.1,24.1634,,8522.4,4991.6,133.8713,10012.9,1100.0,,3.15,9822.9,5057.5,1300.6,450.7738,1613.1571,695.8141,262.7082,225.8883,9681.9,5762.0145,1452.4513,29553.9,18933.1,44624.3,7214.4658,,,53.5122,46.9258,636.8485,8.9068,,2743.3,457.5,,,648.4,567.6,109.7317,72.6076
1991年,8665.9,28.8909,,8368.0,5090.5,142.2036,9840.5,971.3,,1.7982,9595.3,4624.9,1227.3,567.5024,1638.3111,743.6191,303.1167,267.0265,9877.3,6789.7954,1628.9398,29063.9,18381.3,43529.3,8418.7352,,,51.4579,43.5002,630.3253,5.8236,,2715.9,342.4,39566.3,1247.1,608.1,494.3,88.446,51.2964
1992年,9096.8,22.6195,,8840.2,4876.7,147.297,10327.6,1030.4,,2.4364,10158.7,4648.7,1318.5,450.8392,1641.1507,765.306,349.86,311.893,9538.3,7301.068,1506.907,29289.5,18622.2,44265.8,8807.9751,,,51.9682,51.63,595.326,6.1211,,2844.2,331.7,40169.6,1252.0,759.0,467.1,93.8283,61.8898
1993年,7899.7,18.7698,,9374.6,5736.7,128.2261,10841.9,1530.7,,2.7284,10639.0,4115.1,1264.4,373.9325,1803.9432,693.9381,345.1492,303.602,10270.4,6419.3756,1204.8247,30691.8,17751.4,45648.8,7624.2003,,,49.6026,56.2946,842.1094,6.7574,,3181.1,399.9,40517.4,1950.4,920.8,551.1,96.0028,67.1594
1994年,8064.0,25.0315,,8916.22,5443.1,136.7435,10430.3,1599.9,,2.2003,9929.7,4086.2,1013.68,434.098,1989.5921,749.1913,223.8007,194.0478,9927.5,6092.6777,1252.5602,29993.6,17593.3,44510.1,7345.2379,,,51.1361,54.7524,968.2197,11.6351,,3025.4,369.6,39389.1,2095.6,875.91,633.3,74.73,35.4899
1995年,8392.44,35.2414,,9168.9,5908.3,126.9499,10692.7,1350.2,,2.24,10220.7,4222.0,1051.9,476.7521,2250.3359,977.7096,231.4173,207.2226,11198.6,6541.7354,1398.4023,31747.1,18522.6,46661.8,7940.1377,,,36.3846,58.2653,1023.4633,14.7093,25726.7143,3262.6,301.9,41611.6,1787.5,914.4,475.6,89.6985,37.1183
1996年,9969.97,26.5401,888.2,9794.71,5142.1,132.3059,11427.32,1322.42,,2.0592,11056.9,4398.2,1262.2,420.3274,2210.6078,920.1138,323.3985,294.5734,12747.1,6818.6952,1541.5465,34627.98,19510.27,50453.5,8360.2417,,,55.3362,57.5397,1013.8457,14.0551,30123.0909,3536.0,357.3,45127.1,1790.3,1060.84,567.49,79.4965,36.4918
1997年,10502.26,15.3829,921.07,11083.45,4993.6,117.6069,12768.19,1473.15,,1.9225,12328.9,4577.62,1245.4,460.2724,2157.3784,957.7611,425.1187,390.7937,10430.87,7889.6803,1496.7946,32071.29,20073.48,49417.1,9386.4749,,,39.3202,56.5789,964.7887,13.6635,35962.3889,3192.29,231.2,44349.3,1875.5,1145.27,363.82,74.8651,42.9507
1998年,10955.37,10.0168,764.76,9859.51,4863.64,146.5117,11322.44,1515.18,,1.6896,10972.6,4052.3,1113.1,450.1029,2313.8607,830.1,236.4006,208.8471,13295.4,8343.8059,1446.6072,35854.8,19871.3,51229.53,9790.4131,,,52.3429,65.6111,1188.6234,12.2346,38491.9295,3604.21,312.02,45624.72,2000.6,1125.164,408.57,49.5032,24.8045
1999年,10939.7,16.9628,702.82,10262.7,4812.37,176.4671,11850.25,1424.53,,1.3204,11388.0,4096.66,1125.26,382.8849,2601.1526,1013.1805,246.928,218.5111,12808.63,7470.2658,863.8555,34891.67,19848.73,50838.58,8334.1213,,,40.3507,74.312,1263.8539,11.9517,40513.5161,3640.56,231.78,45304.06,1893.96,1122.08,324.14,47.1723,16.4474
