,瓜类面积,甜瓜面积,草莓播种面积,西瓜面积
1978年,406.0,0.0,0.0,0.0
1979年,465.466666667,0.0,0.0,0.0
1980年,443.933333333,0.0,0.0,0.0
1981年,477.8,0.0,0.0,0.0
1982年,483.0,0.0,0.0,0.0
1983年,485.2,0.0,0.0,0.0
1984年,612.4,0.0,0.0,0.0
1985年,919.866666667,0.0,0.0,0.0
1986年,1135.46666667,0.0,0.0,0.0
1987年,1051.53333333,0.0,0.0,0.0
1988年,1093.2,0.0,0.0,0.0
1989年,918.066666667,0.0,0.0,0.0
1990年,720.466666667,0.0,0.0,0.0
1991年,764.133333333,0.0,0.0,0.0
1992年,950.9,0.0,0.0,0.0
1993年,1123.2,147.8,0.0,858.7
1994年,1121.4,148.72,0.0,867.2
1995年,1101.3,168.52,0.0,864.8
1996年,1203.0,152.14,0.0,959.1
1997年,1302.8,158.92,0.0,1054.1
1998年,1607.07,198.82,0.0,1314.49
1999年,1763.95,234.13,0.0,1421.3
2000年,2043.713,309.183,0.0,1625.352
2001年,2267.7,329.907,0.0,1822.33893333
2002年,2354.88206667,366.843266667,66.367,1846.8296
2003年,2353.96666667,355.377333333,76.8616666667,1836.26866667
2004年,2146.76126667,319.416,82.872,1660.045
2005年,2207.71953333,338.939666667,84.1957333333,1707.45826667
2006年,2245.94626667,346.421466667,79.2505333333,1752.61053333
2007年,2251.4978,356.983133333,79.3576666667,1734.6808
2008年,2256.55013333,361.656933333,83.2763333333,1733.2808
2009年,2333.15726667,389.736933333,90.1088,1763.8548
2010年,2389.36885333,393.2602,91.2117333333,1812.51592
2011年,2389.2505,397.431233333,95.8964666667,1803.16683333
2012年,2408.20651333,410.3699,100.53654,1801.53133333
2013年,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0
