,农业总产值,农业总产值指数(1952=100),农业总产值指数(上年=100),农林牧渔业总产值,农林牧渔业总产值指数(1952=100),农林牧渔业总产值指数(上年=100),林业总产值,林业总产值指数(1952=100),林业总产值指数(上年=100),渔业总产值,渔业总产值指数(1952=100),渔业总产值指数(上年=100),牧业总产值,牧业总产值指数(1952=100),牧业总产值指数(上年=100)
1978年,1117.5,191.3,109.82,1397.0,206.2,94.87,48.1,892.2,105.46,22.1,1222.5,100.0,209.3,249.8,104.95
1979年,1325.3,204.2,106.74,1697.6,221.8,107.57,60.7,904.2,101.34,26.0,1180.4,96.56,285.6,286.3,114.61
1980年,1454.1,203.6,99.7,1922.6,224.9,101.4,81.4,1014.8,112.2,32.9,1270.7,107.7,354.2,306.4,107.0
1981年,1635.87,217.4,106.78,2180.62,239.5,106.49,98.89,1056.6,104.12,43.69,1326.4,104.38,402.17,324.4,105.87
1982年,1865.3,241.2,110.95,2483.26,266.5,111.27,110.04,1146.8,108.54,51.22,1490.1,112.34,456.7,368.0,113.44
1983年,2074.47,261.7,108.5,2750.0,287.2,107.77,127.2,1263.9,110.21,63.22,1617.8,108.57,485.11,382.5,103.94
1984年,2380.15,291.7,111.46,3214.13,322.4,112.26,161.61,1504.4,119.03,85.05,1902.8,117.62,587.32,433.6,113.36
1985年,2506.4,291.2,99.8,3619.5,333.4,103.4,188.7,1572.1,104.5,126.1,2263.0,118.9,798.3,508.2,117.2
1986年,2771.75,299.1,102.71,4013.01,344.7,103.39,201.19,1516.2,96.44,164.36,2728.1,120.55,875.71,536.6,105.59
1987年,3160.49,318.3,106.42,4675.7,364.7,105.8,221.98,1512.3,99.74,224.86,3221.0,118.07,1068.37,553.8,103.21
1988年,3666.89,322.4,101.29,5865.27,379.0,103.92,275.3,1547.5,102.33,322.47,3595.3,111.62,1600.61,623.8,112.64
1989年,4100.58,330.4,102.4,6534.73,390.8,103.1,284.92,1553.0,100.4,348.85,3852.7,107.2,1800.38,658.3,105.5
1990年,4954.3,356.7,108.0,7662.1,420.5,107.6,330.3,1601.1,103.1,410.6,4238.2,110.0,1967.0,704.4,107.0
1991年,5146.4,360.1,100.9,8157.0,436.0,103.7,367.9,1728.5,108.0,483.48,4562.1,107.6,2159.2,766.5,108.8
1992年,5588.0,375.3,104.2,9084.7,463.0,106.4,422.6,1861.1,107.7,613.48,5260.5,115.3,2460.5,834.1,108.8
1993年,6605.1,394.9,105.2,10995.5,500.0,107.8,494.0,2010.4,108.0,882.0,6222.5,118.4,3014.4,923.8,110.8
1994年,9169.19,407.5,103.2,15750.49,543.0,108.6,611.1,2189.3,108.9,1298.2,7467.0,120.0,4672.0,1078.1,116.7
1995年,11884.6,439.7,107.9,20340.9,602.2,110.9,709.9,2298.8,105.0,1701.3,8915.6,119.4,6045.0,1237.7,114.8
1996年,13539.8,474.0,107.8,22353.7,658.9,109.4,778.0,2428.7,105.7,2020.4,10161.8,114.0,6015.5,1379.0,111.4
1997年,13852.5,495.1878,104.5,23788.4,703.17808,106.7,817.8,2508.71292,103.3,2282.7,11331.42318,111.5,6835.4,1518.279,110.1
1998年,14241.9,519.55103976,104.9,24541.9,745.01717576,106.0,851.3,2581.96733726,102.9,2422.9,12328.5884198,108.8,7025.8,1629.8725065,107.4
1999年,14106.2,541.995644678,104.32,24519.1,779.714029276,104.657188404,886.3,2664.59029206,103.2,2529.0,13215.0139272,107.19,6997.6,1704.03170555,104.55
2000年,13873.6,549.583583703,101.4,24915.8,807.78373433,103.6,936.5,2808.47816783,105.4,2712.6,14073.9898325,106.5,7393.1,1811.385703,106.3
2001年,14462.7935132,569.400012704,103.6,26179.6471382,842.024873685,104.2,938.753537995,2788.35024309,99.2833156061,2814.96771601,14622.3451393,103.9,7963.132371,1924.8195232,106.262267612
2002年,14931.5,591.61865478,103.902114784,27390.8,883.638288996,104.94206485,1033.5,2985.59032145,107.073719625,2971.1,15517.9578369,106.124959362,8454.6,2040.54982852,106.012527612
