,家禽出栏量,牛出栏数量,羊出栏数量
1978年,0.0,240.32,2621.9
1979年,0.0,296.8,3543.4
1980年,0.0,332.2,4241.9
1981年,0.0,301.6,4481.4
1982年,0.0,309.6,4874.2
1983年,0.0,347.2,4923.7
1984年,0.0,386.9,5080.5
1985年,0.0,456.5,5081.0
1986年,0.0,555.0,5227.1
1987年,0.0,740.3,6052.9
1988年,0.0,858.0,6827.2
1989年,0.0,943.0,8122.9
1990年,0.0,1088.3,8931.4
1991年,0.0,1303.9,9816.2
1992年,0.0,1519.2,10266.6
1993年,0.0,1897.1,11146.9
1994年,0.0,2512.69,13124.82
1995年,630212.4,3048.99,16537.38
1996年,718906.2,2685.9,13412.5
1997年,638853.15,3283.9,15945.5
1998年,684378.66,3587.1,17279.52
1999年,743165.05,3766.2,18820.35
2000年,825703.868352,3806.9,19653.4369431
2001年,813679.738726,3794.8,19996.8262467
2002年,827061.20807,3896.2,20560.0409594
2003年,871364.931731,4000.1,22028.7678424
2004年,877852.493923,4101.0,23092.6256419
2005年,943091.386713,4148.7,24091.9712341
2006年,930548.27127,4222.0,24733.8877668
2007年,957867.035931,4359.5,25570.7068886
2008年,1022155.69124,4446.1,26172.3375485
2009年,1060944.96793,4602.17112653,26732.8924783
2010年,1100577.95475,4716.82471031,27220.1526673
2011年,1132715.1569,4670.67743,26661.5195011
2012年,1207704.27889,4760.90496706,27099.5502855
2013年,1190459.0,4828.15007381,27586.8
2014年,0.0,4929.15021514,0.0
