,人工养殖海水产品产量,人工养殖淡水产品产量,其他海水产品产量,其他淡水产品产量,天然生产海水产品产量,天然生产淡水产品产量,水产品总产量,海水产品产量,淡水产品产量,藻类海水产品产量,虾蟹类海水产品产量,虾蟹类淡水产品产量,贝类海水产品产量,贝类淡水产品产量,鱼类海水产品产量,鱼类淡水产品产量
1978年,44.95,76.2254,0.0,0.0,314.52,29.64,465.35,359.4766,105.8654,25.9839,50.5862,3.8101,26.8365,2.3545,256.07,99.7049
1979年,41.6,81.3,0.0,0.0,0.0,0.0,431.0,318.8797,111.5875,25.0377,40.8297,4.3546,21.757,1.9551,231.2553,105.2778
1980年,44.43,90.15,0.0,0.0,281.2689,33.85,449.6985,325.7094,124.0,26.1637,42.05,5.16,23.3757,2.5,234.12,116.3328
1981年,45.8,101.4,0.0,0.0,0.0,0.0,461.0,323.227,137.3474,22.772,41.7977,5.1337,26.9213,3.2351,231.736,128.9786
1982年,49.5,120.7,0.0,0.0,0.0,0.0,516.0,359.305,156.2,22.8367,46.9377,5.6482,31.6851,2.6509,257.8455,147.9009
1983年,54.5,142.8,0.0,0.0,307.16,42.0,545.81,361.7368,184.0775,24.4882,49.0868,5.6175,36.7416,2.6274,251.4202,175.8326
1984年,63.9,181.1,0.0,0.0,330.51,64.62,619.34,394.373,224.9707,26.6644,59.3764,5.1928,41.2877,2.983,267.0445,216.7949
1985年,71.23,237.77,0.0,0.0,348.5176,47.634,705.15,419.7456,285.404,27.2956,70.62,5.54,47.3,3.39,274.53,276.48
1986年,85.8,294.4,0.0,0.0,389.6,53.8,823.6,475.3733,348.1893,23.3106,76.8705,6.2091,65.8394,5.6051,309.3528,336.3751
1987年,110.0,347.2,0.0,0.0,438.2,60.0,955.4,548.1613,407.1862,23.6657,83.9702,8.0528,88.8932,5.333,351.6322,393.8004
1988年,142.4,389.8,0.0,0.0,463.3,65.4,1060.9,605.6953,455.2236,25.1061,103.3006,8.4734,114.4292,5.9014,362.8593,440.8488
1989年,157.5639,417.0256,5.0169,0.0,503.6487,73.4513,1151.6895,661.2126,490.4769,30.0063,105.7158,9.5441,137.5326,7.2874,382.941,472.7587
1990年,162.4053,445.4242,8.2464,1.7622,550.8862,78.3,1237.0203,713.2915,523.7242,27.5186,107.0499,9.4555,147.329,7.5771,423.1476,504.93
1991年,190.4641,459.1906,15.9,1.0407,609.6358,91.486,1350.7755,800.1028,550.6766,40.0259,119.3586,10.725,158.5776,8.53,466.2407,530.3796
1992年,242.42,533.3713,27.46,2.1536,691.23,90.1,1557.1201,933.6537,623.4713,56.8208,127.3929,12.3959,204.3556,10.5,517.6244,598.4203
1993年,308.7,644.1075,22.01,6.7479,767.34,102.85,1822.9967,1076.04,746.9575,69.39,138.66,13.3286,288.59,16.29,557.39,710.59
1994年,345.67,785.04,25.08,6.82,895.83,116.69,2143.23,1241.5,901.73,74.52,170.89,20.29,323.64,15.27,647.37,859.34
1995年,412.2924,940.76,28.9583,11.62,1026.84,137.29,2517.18,1439.1221,1078.05,74.91,184.83,27.3,392.28,20.52,758.1438,1018.6101
1996年,763.9,1098.95,39.13,12.73,1248.98,176.27,3288.1,2012.9,1275.2,92.91,204.65,36.28,852.68,48.4,823.52,1177.8
1997年,691.661077928,1067.04312172,55.8685,14.0716,1196.43559956,163.452794137,3118.59259334,1888.09667749,1230.49591586,85.0,195.8088,41.2568,714.9959,31.4066,836.4233,1143.7607
1998年,751.992558482,1140.60046661,58.9753,15.8091,1292.55600135,197.511956116,3382.66098255,2044.54855983,1338.11242272,90.3282,224.3284,52.1848,754.8204,39.5616,916.096,1230.5567
1999年,851.889249109,1226.9365127,50.5245,17.0409,1293.36779989,197.953720424,3570.14728212,2145.257049,1424.89023312,103.6554,240.4576,61.0333,832.5097,37.0887,918.1096,1309.7272
2000年,927.959376763,1308.88068916,41.49,27.6909,1275.94867586,193.440794841,3706.22953663,2203.90805263,1502.32148401,106.0821,257.9078,76.2537,901.6786,39.9939,896.7493,1358.3828
2001年,989.375075228,1376.19968093,44.5744,23.4902,1244.1244458,186.225311136,3795.9245131,2233.49952103,1562.42499207,108.5178,262.7553,87.0227,936.3579,45.408,881.2939,1406.5038
2002年,1060.47004166,1461.69014112,52.8116,24.9283,1237.98413981,194.714115495,3954.85843809,2298.45418147,1656.40425662,115.8124,269.7546,105.6771,972.1788,49.004,887.8965,1476.7947
2003年,1095.85576656,1530.9246438,94.0667,26.5241,1236.96507356,213.276878497,4077.02236241,2332.82084012,1744.2015223,122.7297,259.0092,119.9203,963.7716,46.7412,893.2433,1551.0157
2004年,1151.29077912,1632.48986452,152.9828,29.0976,1253.18377208,209.604171305,4246.56858703,2404.4745512,1842.09403583,130.7632,271.3944,132.4081,965.5986,46.1461,883.7352,1634.442
2005年,1210.80909624,1733.00241708,128.573,30.1909,1255.08372611,220.968774691,4419.86401413,2465.89282236,1953.97119178,133.9359,281.3047,140.2787,1008.1417,46.2925,913.937324309,1737.2089
2006年,1264.16,1853.59,133.8154,32.7788,1245.4,220.379755613,4583.59975561,2509.63,2073.96975561,137.6459,299.3761,167.8085,1046.7136,50.9176,892.0724,1822.4685
