,不提供住宿的社会服务机构职工人数,儿童收养救助服务机构职工人数,儿童福利机构职工人数,光荣院职工人数,公墓职工人数,其他提供住宿的服务机构职工人数,其他收养机构职工人数,其他社会服务机构职工人数,军休管理单位职工人数,军供站职工人数,农村养老服务机构职工人数,城市养老服务机构职工人数,基金会职工人数,复员军人疗养院职工人数,复退军人精神病院职工人数,婚姻登记服务机构职工人数,婚姻职工人数,成员组织和其他社会服务机构职工人数,成员组织职工人数,捐赠、救助等其他事业单位职工人数,提供住宿的社会服务机构职工人数,救灾储备仓库职工人数,智障与精神疾病服务机构职工人数,村民委员会职工人数,殡仪馆职工人数,殡葬管理机构职工人数,殡葬职工人数,民办非企业单位职工人数,民政行政机关职工人数,流浪儿童救助保护中心职工人数,烈士纪念建筑物管理单位职工人数,生活无着人员救助管理站职工人数,社会团体职工人数,社会工作职工人数,社会服务机构职工人数,社会福利企业职工人数,社会福利医院职工人数,社会福利院职工人数,社会组织职工人数,社区养老服务机构职工人数,社区居委会职工人数,社区服务中心(站)职工人数,福利彩票发行单位职工人数,老年人与残疾人服务机构职工人数,老龄机构职工人数,自治组织职工人数,荣誉军人康复医院职工人数,行政机关职工人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,379.6,,,,,,,,,,,,,,,,,34.9,,,,,414.5,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,409.4,,,,,,,,,,,,,,,,,43.1,,,,,452.5,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,400.5,,,,,,,,,,,,,,,,,48.0,,,,,448.5,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,397.5,,,,,,,,,,,,,,,,,49.3,,,,,446.8,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,378.8,,,,,,,,,,,,,,,,,49.8,,,,,428.6,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,358.6,,,,,,,,,,,,,,,,,50.8,,,,,409.4,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,351.3,,,,,,,,,,,,,,,,,50.1,,,,,401.4,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,,,,,,,,,,,,,,,48.4,,,,,363.4,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,316.4,,,,,,,,,,,,,,,,,46.4,,,,,362.8,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,294.2,,,,,,,,,,,,,,,,,39.6,,,,,333.8,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,319.1,,,,,,,,,,,,,,,,,39.7,,,,,358.8,,
