,不提供住宿的社会服务机构单位数,儿童收养救助服务机构单位数,儿童福利机构单位数,光荣院单位数,公墓数,其他提供住宿的服务机构单位数,其他收养机构单位数,其他社会服务机构单位数,军休管理单位单位数,军供站单位数,农村养老服务机构单位数,城市养老服务机构单位数,基金会单位数,复员军人疗养院单位数,复退军人精神病院单位数,婚姻单位数,婚姻登记服务机构单位数,成员组织单位数,成员组织和其他社会服务机构单位数,捐赠、救助等其他事业单位单位数,提供住宿的社会服务机构单位数,救灾储备仓库单位数,智障与精神疾病服务机构单位数,村民委员会单位数,殡仪馆数,殡葬单位数,殡葬管理机构单位数,民办非企业单位单位数,民政行政机关单位数,流浪儿童救助保护中心单位数,烈士纪念建筑物管理单位单位数,生活无着人员救助管理站单位数,社会团体单位数,社会工作单位数,社会服务机构单位数,社会福利企业单位数,社会福利医院单位数,社会福利院单位数,社会组织单位数,社区养老服务机构单位数,社区居委会单位数,社区服务中心(站)单位数,福利彩票发行单位单位数,老年人与残疾人服务机构单位数,老龄机构单位数,自治组织单位数,荣誉军人康复医院单位数,行政机关单位数
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681277,0,0,0,111212,0,0,0,0,133297,0,0,0,0,0,244509,0,86087,0,0,0,0,767364,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,0,0,0,0,0,0,0,0,663486,0,0,0,124491,0,0,0,0,141167,0,0,0,0,0,266612,0,77431,0,0,0,0,740917,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,644166,0,0,0,135181,0,0,0,0,153359,0,0,0,0,0,289432,0,77884,0,0,0,0,722050,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,629079,0,3284,0,147637,0,0,0,0,171150,0,0,0,0,0,319762,0,79947,0,0,0,0,709026,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,623669,0,3549,0,161303,0,0,0,0,191946,0,0,0,0,0,354393,0,80717,0,0,0,0,704386,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0,0,0,612709,0,3669,0,173915,0,0,0,0,211661,0,0,0,0,0,386916,0,82006,0,0,0,0,694715,0,0
2008年,0,0,0,0,0,0,0,5770,0,0,0,0,1597,0,0,2016,0,1101358,0,3108,41000,301,0,604285,0,3754,0,182382,3500,0,0,0,229681,0,1195492,23780,0,0,413660,0,83413,0,999,0,2396,687698,0,3500
2009年,30520,419,303,1401,1266,3588,10,6095,1876,330,31286,5291,1843,35,89,2199,2199,1114836,0,2977,44000,326,266,599078,1729,3896,901,190479,3498,116,1137,1372,238747,137637,1262066,22783,177,1611,431069,0,84689,63173,988,39671,2309,683767,47,3498
2010年,87351,480,335,1371,1308,3847,112,6265,1957,330,31472,5413,2200,36,94,2314,2314,1127346,1133611,3060,44000,455,251,594658,1724,3951,919,198175,3482,145,1195,1448,245256,131833,1268926,22226,157,1572,445631,0,87057,56957,993,39904,2465,681715,40,3482
2011年,100478,638,397,1389,1406,2256,382,6431,1960,327,32140,5616,2614,40,96,2328,2328,1141104,1147535,3167,46000,553,251,589653,1745,4103,952,204388,3483,241,1227,1547,254969,146451,1293986,21507,155,1597,461971,44,89480,70547,974,42828,2503,679133,42,3483
2012年,130940,724,463,1399,1597,2820,328,6283,1851,695,32787,6464,3029,41,101,1926,1926,1178896,1185179,3269,48000,665,257,588475,1782,4357,978,225108,0,261,1306,1770,271131,179045,1366650,20232,156,1719,499268,0,91153,104237,955,44304,2583,679628,43,3493
2013年,277084,803,529,1425,1506,2438,196,6441,1821,325,30247,7077,3549,38,106,0,2059,1230412,1236853,0,45977,784,261,588547,1784,4382,1063,254670,0,274,1463,1891,289026,323061,1562298,18227,155,1825,547245,0,94620,0,940,42475,2571,683167,42,3492
2014年,274799,0,545,0,1598,0,334,6795,0,327,0,0,4117,0,98,0,2236,1288192,1294987,0,96094,868,0,585451,1801,4559,1141,292195,0,345,1516,1949,309736,370893,1668143,16389,156,0,606048,0,96693,0,893,33043,2558,682144,0,0
