,一级运动员发展人数,业余无线电一级运动员发展人数,中国式摔跤一级运动员发展人数,中国象棋一级运动员发展人数,举重一级运动员发展人数,乒乓球一级运动员发展人数,体操一级运动员发展人数,体育舞蹈一级运动员发展人数,保龄球一级运动员发展人数,信鸽一级运动员发展人数,健美一级运动员发展人数,健美操一级运动员发展人数,健身气功一级运动员发展人数,冬季两项一级运动员发展人数,冰壶一级运动员发展人数,冰球一级运动员发展人数,击剑一级运动员发展人数,单板滑雪一级运动员发展人数,台球一级运动员发展人数,围棋一级运动员发展人数,国际式摔跤一级运动员发展人数,国际象棋一级运动员发展人数,垒球一级运动员发展人数,壁球一级运动员发展人数,定向一级运动员发展人数,射击一级运动员发展人数,射箭一级运动员发展人数,帆船一级运动员发展人数,手球一级运动员发展人数,技巧一级运动员发展人数,拔河一级运动员发展人数,拳击一级运动员发展人数,排球一级运动员发展人数,掷球一级运动员发展人数,摩托艇一级运动员发展人数,摩托车一级运动员发展人数,救生一级运动员发展人数,曲棍球一级运动员发展人数,柔道一级运动员发展人数,桥牌一级运动员发展人数,棒球一级运动员发展人数,橄榄球一级运动员发展人数,武术一级运动员发展人数,毽球一级运动员发展人数,水球一级运动员发展人数,汽车一级运动员发展人数,沙滩排球一级运动员发展人数,游泳一级运动员发展人数,滑水一级运动员发展人数,滑翔一级运动员发展人数,潜水一级运动员发展人数,热气球一级运动员发展人数,现代五项一级运动员发展人数,田径一级运动员发展人数,电子竞技一级运动员发展人数,登山一级运动员发展人数,皮划艇一级运动员发展人数,短道速滑一级运动员发展人数,篮球一级运动员发展人数,网球一级运动员发展人数,羽毛球一级运动员发展人数,自由式滑雪一级运动员发展人数,自行车一级运动员发展人数,舞龙舞狮一级运动员发展人数,航海模型一级运动员发展人数,航空模型一级运动员发展人数,艺术体操一级运动员发展人数,花样游泳一级运动员发展人数,花样滑冰一级运动员发展人数,藤球一级运动员发展人数,街舞一级运动员发展人数,赛艇一级运动员发展人数,越野滑雪一级运动员发展人数,足球一级运动员发展人数,跆拳道一级运动员发展人数,跳伞一级运动员发展人数,跳台滑雪一级运动员发展人数,跳水一级运动员发展人数,蹦床一级运动员发展人数,蹼泳一级运动员发展人数,车辆模型一级运动员发展人数,轮滑一级运动员发展人数,软式网球一级运动员发展人数,运动飞机一级运动员发展人数,速度滑冰一级运动员发展人数,钓鱼一级运动员发展人数,铁人三项一级运动员发展人数,门球一级运动员发展人数,风筝一级运动员发展人数,飞镖一级运动员发展人数,马术一级运动员发展人数,高尔夫球一级运动员发展人数,高山滑雪一级运动员发展人数,龙舟一级运动员发展人数
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,8953.0,18.0,94.0,53.0,173.0,160.0,140.0,,,,11.0,390.0,,,3.0,30.0,79.0,,,40.0,92.0,88.0,123.0,,,485.0,110.0,116.0,76.0,26.0,,172.0,590.0,,2.0,,,103.0,235.0,2.0,64.0,,311.0,7.0,56.0,,17.0,756.0,6.0,,,,15.0,995.0,,4.0,252.0,40.0,700.0,49.0,215.0,6.0,97.0,,11.0,18.0,54.0,11.0,3.0,,,393.0,12.0,731.0,376.0,7.0,5.0,172.0,20.0,5.0,4.0,8.0,29.0,,77.0,,4.0,,,,1.0,,11.0,
2011年,7580.0,4.0,26.0,59.0,99.0,181.0,112.0,,,,10.0,276.0,,1.0,8.0,23.0,109.0,2.0,,29.0,34.0,96.0,110.0,,,515.0,57.0,63.0,86.0,42.0,,159.0,499.0,,11.0,,,80.0,165.0,,80.0,36.0,277.0,,53.0,,16.0,532.0,,,,,16.0,694.0,,4.0,180.0,26.0,963.0,58.0,148.0,,173.0,,16.0,15.0,20.0,,15.0,,,187.0,11.0,593.0,317.0,3.0,1.0,108.0,53.0,1.0,4.0,9.0,35.0,,65.0,,4.0,,,,,,11.0,
2012年,9690.0,10.0,15.0,57.0,159.0,179.0,131.0,,,,36.0,358.0,,,8.0,11.0,168.0,10.0,,47.0,74.0,104.0,105.0,,,564.0,103.0,205.0,108.0,26.0,,250.0,599.0,,5.0,2.0,,45.0,346.0,,72.0,45.0,313.0,,62.0,,11.0,652.0,1.0,,,,21.0,711.0,,19.0,324.0,19.0,911.0,39.0,83.0,1.0,184.0,,21.0,33.0,84.0,2.0,,,,407.0,21.0,1049.0,571.0,,1.0,141.0,45.0,8.0,2.0,10.0,31.0,,61.0,,4.0,,,,1.0,1.0,4.0,
2013年,9197.0,5.0,108.0,41.0,112.0,172.0,118.0,,,,52.0,207.0,,3.0,18.0,7.0,127.0,11.0,,36.0,,78.0,109.0,,,559.0,75.0,79.0,62.0,45.0,,239.0,544.0,,7.0,,,67.0,297.0,,72.0,52.0,371.0,,83.0,,1.0,626.0,15.0,,,,18.0,830.0,,9.0,308.0,55.0,879.0,41.0,105.0,1.0,215.0,,24.0,12.0,14.0,2.0,18.0,,,312.0,14.0,1135.0,479.0,,,54.0,34.0,18.0,3.0,5.0,17.0,,74.0,,2.0,,,,2.0,3.0,10.0,
2014年,11410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
