,业余无线电女运动健将发展人数,中国式摔跤女运动健将发展人数,中国象棋女运动健将发展人数,举重女运动健将发展人数,乒乓球女运动健将发展人数,体操女运动健将发展人数,体育舞蹈女运动健将发展人数,保龄球女运动健将发展人数,信鸽女运动健将发展人数,健美女运动健将发展人数,健美操女运动健将发展人数,健身气功女运动健将发展人数,冬季两项女运动健将发展人数,冰壶女运动健将发展人数,冰球女运动健将发展人数,击剑女运动健将发展人数,单板滑雪女运动健将发展人数,台球女运动健将发展人数,围棋女运动健将发展人数,国际式摔跤女运动健将发展人数,国际象棋女运动健将发展人数,垒球女运动健将发展人数,壁球女运动健将发展人数,女运动健将发展数,定向女运动健将发展人数,射击女运动健将发展人数,射箭女运动健将发展人数,帆船女运动健将发展人数,手球女运动健将发展人数,技巧女运动健将发展人数,拔河女运动健将发展人数,拳击女运动健将发展人数,排球女运动健将发展人数,掷球女运动健将发展人数,摩托艇女运动健将发展人数,摩托车女运动健将发展人数,救生女运动健将发展人数,曲棍球女运动健将发展人数,柔道女运动健将发展人数,桥牌女运动健将发展人数,棒球女运动健将发展人数,橄榄球女运动健将发展人数,武术女运动健将发展人数,毽球女运动健将发展人数,水球女运动健将发展人数,汽车女运动健将发展人数,沙滩排球女运动健将发展人数,游泳女运动健将发展人数,滑水女运动健将发展人数,滑翔女运动健将发展人数,潜水女运动健将发展人数,热气球女运动健将发展人数,现代五项女运动健将发展人数,田径女运动健将发展人数,电子竞技女运动健将发展人数,登山女运动健将发展人数,皮划艇女运动健将发展人数,短道速滑女运动健将发展人数,篮球女运动健将发展人数,网球女运动健将发展人数,羽毛球女运动健将发展人数,自由式滑雪女运动健将发展人数,自行车女运动健将发展人数,舞龙舞狮女运动健将发展人数,航海模型女运动健将发展人数,航空模型女运动健将发展人数,艺术体操女运动健将发展人数,花样游泳女运动健将发展人数,花样滑冰女运动健将发展人数,藤球女运动健将发展人数,街舞女运动健将发展人数,赛艇女运动健将发展人数,越野滑雪女运动健将发展人数,足球女运动健将发展人数,跆拳道女运动健将发展人数,跳伞女运动健将发展人数,跳台滑雪女运动健将发展人数,跳水女运动健将发展人数,蹦床女运动健将发展人数,蹼泳女运动健将发展人数,车辆模型女运动健将发展人数,轮滑女运动健将发展人数,软式网球女运动健将发展人数,运动飞机女运动健将发展人数,速度滑冰女运动健将发展人数,钓鱼女运动健将发展人数,铁人三项女运动健将发展人数,门球女运动健将发展人数,风筝女运动健将发展人数,飞镖女运动健将发展人数,马术女运动健将发展人数,高尔夫球女运动健将发展人数,高山滑雪女运动健将发展人数,龙舟女运动健将发展人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
