,中央文物业参观人次,其他文物机构参观人次,其他部门文物业参观人次,博物馆参观人次,县、市文物业参观人次,地、市文物业参观人次,文物业参观人次,文物保护管理机构参观人次,文物商店参观人次,文物科研机构参观人次,文物部门文物业参观人次,省、市、区文物业参观人次
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,8245.0,,,,,,,,
1988年,,,,10618.0,,,,,,,,
1989年,,,,6716.0,,,,,,,,
1990年,,,,14976.1,,,,,,,,
1991年,,,,14357.0,,,,,,,,
1992年,,,,9425.0,,,,,,,,
1993年,,,,8982.0,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,8844.0,,,,,,,,
1999年,,,,9246.3,,,,4641.9,,,,
2000年,,,,8540.0,,,,4319.0,,,,
2001年,,,,7955.0,,,,3361.0,,,,
2002年,,,,7980.0,,,,4011.0,,,,
2003年,,,,6206.0,,,,3240.0,,,,
2004年,,,,9736.0,,,,4791.0,,,,
2005年,,,,11819.0,,,,5837.0,,,,
2006年,,,,12032.4,,,,6411.4,,,,
2007年,,,,25625.0,,,,8965.0,,596.0,,
2008年,983.0,,,28328.0,13172.0,16807.0,35436.0,6956.0,,152.0,,4474.0
2009年,1256.4,,5975.8,32715.6,21442.4,14696.9,43248.2,9205.0,,1327.6,37272.4,5852.5
2010年,1586.6,,5746.8,40679.3,26779.7,16880.6,52097.9,11197.8,,220.8,46351.1,6851.0
2011年,2179.93,,6236.12,47050.68,27141.56,19929.76,56686.82,9441.69,,194.48,50450.71,7435.57
2012年,2446.093,,8558.306,56401.076,33994.122,23503.004,67058.817,10433.435,,224.309,58500.513,7115.607
2013年,,,,63776.0,,,,,,,,
2014年,2591.873,,13741.712,71773.809,43612.755,28992.575,84256.216,12181.591,,300.817,70514.505,9059.013
