,中央文物业文物一级藏品数,中央文物业文物藏品数,其他文物机构文物一级藏品数,其他文物机构文物藏品数,其他部门文物业文物一级藏品数,其他部门文物业文物藏品数,博物馆文物一级藏品数,博物馆文物藏品数,县、市文物业文物一级藏品数,县、市文物业文物藏品数,地、市文物业文物一级藏品数,地、市文物业文物藏品数,文物业文物一级藏品数,文物业文物藏品数,文物保护管理机构文物一级藏品数,文物保护管理机构文物藏品数,文物商店文物一级藏品数,文物商店文物藏品数,文物科研机构文物一级藏品数,文物科研机构文物藏品数,文物部门文物业文物一级藏品数,文物部门文物业文物藏品数,省、市、区文物业文物一级藏品数,省、市、区文物业文物藏品数
1978年,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,7313878.0,,,,,,,,,,,,,,,,
1988年,,,,,,,,7663071.0,,,,,,,,,,,,,,,,
1989年,,,,,,,,7785715.0,,,,,,,,,,,,,,,,
1990年,,,,,,,,7779011.0,,,,,,,,,,,,,,,,
1991年,,,,,,,,8026956.0,,,,,,,,,,,,,,,,
1992年,,,,,,,,8391662.0,,,,,,,,,,,,,,,,
1993年,,,,,,,,8644857.0,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,66764.0,,,,9309135.0,,,,,,,,1951939.0,,,,615506.0,,,,
1999年,,,,80075.0,,,,9506191.0,,,,,,,,1994477.0,,,,668888.0,,,,
2000年,,,,68392.0,,,,9813923.0,,,,,,,,2038940.0,,,,570276.0,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,53807.0,,,,12856434.0,,,,,,,,2185680.0,,,,938761.0,,,,
2005年,,,,54279.0,,,,16199377.0,,,,,,,,2416460.0,,,,953314.0,,,,
2006年,,,,50877.0,,,,13024192.0,,,,,,,,2342103.0,,,,987996.0,,,,
2007年,,,,443969.0,,,,13760448.0,,,,,,,,2255038.0,,,,784495.0,,,,
2008年,11060.0,1260514.0,201.0,17322.0,,,51241.0,14554158.0,12683.0,4559634.0,14085.0,7681454.0,59365.0,25738228.0,5235.0,2187639.0,84.0,8200305.0,2604.0,778804.0,,,21537.0,12236626.0
2009年,15078.0,2162318.0,2487.0,587279.0,1021.0,841042.0,56277.0,15711150.0,15305.0,5310702.0,13676.0,6586064.0,66818.0,26802714.0,5388.0,1958904.0,84.0,7616192.0,2582.0,929189.0,65797.0,25961672.0,22759.0,12743630.0
2010年,13342.0,2510414.0,1289.0,321186.0,2483.0,1037085.0,58649.0,17552482.0,14427.0,5693745.0,15257.0,7267495.0,67208.0,28642200.0,4896.0,2149366.0,67.0,7748943.0,2307.0,870223.0,64725.0,27605115.0,24182.0,13170546.0
2011年,13340.0,2908666.0,1198.0,316031.0,1222.0,1306180.0,58959.0,19023423.0,16988.0,6464435.0,14014.0,7135938.0,68588.0,30185365.0,5759.0,2252535.0,71.0,7770986.0,2601.0,822390.0,67366.0,28879185.0,24246.0,13676326.0
2012年,13320.0,2925044.0,1448.0,389829.0,3609.0,3214647.0,74537.0,23180726.0,20090.0,8670378.0,23203.0,7956502.0,83939.0,35054763.0,5239.0,1767573.0,64.0,8507934.0,2651.0,1208701.0,80330.0,31840116.0,27326.0,15502839.0
2013年,20138.0,2956953.0,265.0,82375.0,4374.0,8001194.0,85707.0,27191601.0,21064.0,11937748.0,25736.0,8583810.0,96816.0,38408146.0,8457.0,1906829.0,59.0,7632366.0,2328.0,1594975.0,92442.0,30406952.0,29878.0,14929635.0
2014年,20197.0,3160790.0,281.0,83097.0,5837.0,8658600.0,89532.0,29299673.0,22391.0,13122309.0,24773.0,8983044.0,98236.0,40635827.0,7006.0,2092332.0,60.0,7700873.0,1357.0,1459852.0,92399.0,31977227.0,30875.0,15369684.0
