,中成药制造高技术产业研究与试验发展经费(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展经费(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展经费(大中型工业企业口径),化学药品制造高技术产业研究与试验发展经费(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展经费(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展经费(大中型工业企业口径),医药制造业高技术产业研究与试验发展经费(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展经费(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展经费(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展经费(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展经费(大中型工业企业口径),高技术产业研究与试验发展经费(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,17.84741
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,111.041
2001年,5.92327,4.4525,1.81452,5.91433,0.68364,5.13614,19.25438,18.10037,0.22816,2.13428,5.53051,105.38618,6.52862,10.75584,6.34306,4.10771,16.52177,71.48308,1.70092,
2002年,6.68,4.8176,1.7627,6.8033,1.2211,6.0386,21.6997,18.8346,0.5578,1.6772,7.1014,112.1617,10.6007,24.8781,8.512,14.9946,22.2912,71.5857,1.719,
2003年,8.79855,7.17778,2.76049,7.99925,1.08831,8.26609,27.66653,22.51393,0.57911,1.5238,12.62378,138.50178,21.04121,25.74867,5.95558,17.20702,22.259,77.6355,1.34776,222.4421
2004年,9.382,8.6059,0.4776,8.1994,1.9482,10.5541,28.1812,31.505,1.7017,1.6769,18.8352,188.5462,27.7802,39.5999,8.7462,22.404,25.2502,106.3161,1.9305,292.1315
2005年,9.1512,13.13814,2.04008,27.38321,3.44807,16.58621,39.95102,50.08841,1.81049,2.29548,25.79965,234.7164,32.87209,43.44797,20.75595,21.19988,27.79692,119.65852,2.44716,362.49852
2006年,12.83575,15.45802,2.3189,35.42372,5.2409,20.69892,52.58564,50.64525,2.99319,3.05916,43.11861,276.88535,40.9283,72.92505,30.65458,40.85452,33.34176,131.32451,5.55659,456.43672
2007年,15.68732,23.19303,3.85756,41.87994,7.31625,30.50928,65.88362,54.26849,3.16034,5.52253,53.44838,324.52077,45.12026,81.81694,32.27087,34.98107,42.5938,157.12547,7.54027,545.32441
2008年,16.26,30.69946,9.48176,52.094,9.59073,40.29019,79.08787,63.01751,4.66721,6.64224,58.52999,402.93842,61.31126,80.896,32.95842,34.71715,51.9869,202.13344,3.79725,655.1994
2009年,20.36122,40.60708,9.74047,63.61422,14.32344,54.93052,99.62208,59.0999,3.87315,9.6793,67.5056,454.84857,68.40946,98.86649,40.44202,42.20165,65.7822,238.83418,7.38581,774.04986
2010年,20.77205,47.52443,13.94195,81.45473,14.86117,62.3856,122.62621,63.57619,4.07705,13.28277,87.07981,572.4094,93.32985,117.5661,56.37231,44.75835,92.84271,304.70684,5.69766,967.82997
2011年,,,,,,,,,,,,,,,,,,,,1237.8065
2012年,,,,,,,,,,,,,,,,,,,,1491.494
2013年,,,,,,,,,,,,,,,,,,,,1734.4
2014年,,,,,,,,,,,,,,,,,,,,1922.2
