,中国实际利用中国台湾外商直接投资金额,中国实际利用中国澳门外商直接投资金额,中国实际利用中国香港外商直接投资金额,中国实际利用乌兹别克斯坦外商直接投资金额,中国实际利用也门外商直接投资金额,中国实际利用亚洲其他国家(地区)外商直接投资金额,中国实际利用亚洲外商直接投资金额,中国实际利用以色列外商直接投资金额,中国实际利用伊拉克外商直接投资金额,中国实际利用伊朗外商直接投资金额,中国实际利用卡塔尔外商直接投资金额,中国实际利用印度外商直接投资金额,中国实际利用印度尼西亚外商直接投资金额,中国实际利用叙利亚外商直接投资金额,中国实际利用哈萨克斯坦外商直接投资金额,中国实际利用土耳其外商直接投资金额,中国实际利用塔吉克斯坦外商直接投资金额,中国实际利用塞浦路斯外商直接投资金额,中国实际利用孟加拉国外商直接投资金额,中国实际利用尼泊尔外商直接投资金额,中国实际利用巴勒斯坦外商直接投资金额,中国实际利用巴基斯坦外商直接投资金额,中国实际利用巴林外商直接投资金额,中国实际利用文莱外商直接投资金额,中国实际利用斯里兰卡外商直接投资金额,中国实际利用新加坡外商直接投资金额,中国实际利用日本外商直接投资金额,中国实际利用朝鲜外商直接投资金额,中国实际利用柬埔寨外商直接投资金额,中国实际利用沙特阿拉伯外商直接投资金额,中国实际利用泰国外商直接投资金额,中国实际利用科威特外商直接投资金额,中国实际利用约旦外商直接投资金额,中国实际利用缅甸外商直接投资金额,中国实际利用老挝外商直接投资金额,中国实际利用菲律宾外商直接投资金额,中国实际利用蒙古外商直接投资金额,中国实际利用越南外商直接投资金额,中国实际利用阿富汗外商直接投资金额,中国实际利用阿曼外商直接投资金额,中国实际利用阿联酋外商直接投资金额,中国实际利用韩国外商直接投资金额,中国实际利用马来西亚外商直接投资金额,中国实际利用黎巴嫩外商直接投资金额
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,328939,39455,2063200,11,0,0,3427589,697,0,38,0,38,7998,7,8,190,0,15,0,10,1,12,10,9,50,260641,432647,1185,545,0,19400,2758,0,268,39,15563,740,154,0,0,559,214238,38183,0
1998年,291521,42157,1850836,0,0,0,3133102,712,7,56,0,557,6897,8,12,99,0,425,17,0,10,119,17,183,0,340397,340036,510,290,30,20538,59,12,511,112,17927,103,1414,212,878,175,180320,34049,0
1999年,259870,30864,1636305,0,20,0,2683231,327,202,0,0,49,12917,11,0,385,0,189,43,0,0,189,0,18,0,264249,297308,368,248,256,14832,248,0,1101,0,11728,6,13,0,0,221,127473,23771,20
2000年,229658,34728,1549998,0,0,0,2548209,1491,18,20,0,1044,14694,0,73,148,0,297,0,0,0,102,66,0,0,217220,291585,956,194,2556,20357,1067,25,230,307,11112,526,56,0,0,407,148961,20288,25
2001年,297994,32112,1671730,71,79,0,2961326,3096,0,99,0,1197,15964,50,33,337,0,495,226,0,0,299,0,10,102,214355,434842,158,930,1513,19421,2107,67,226,104,20939,10,148,50,0,595,215178,26298,585
2002年,397064,46838,1786093,20,16,3,3256997,952,150,8,0,3057,12164,4,276,243,0,107,0,0,0,137,48,1736,268,233720,419009,374,1374,1314,18772,20,49,1676,515,18600,76,251,0,250,3230,272073,36786,20
2003年,337724,41660,1770010,0,26,0,3410169,1573,7,55,0,1593,15013,39,70,1270,0,83,306,0,0,343,101,5260,112,205840,505419,238,1252,355,17352,10,622,351,40,22001,18,331,0,126,6958,448854,25103,124
2004年,311749,54639,1899830,15,286,0,3761986,2330,549,429,0,1948,10452,64,196,745,0,160,749,78,0,454,380,9605,526,200814,545157,273,2069,701,17868,89,937,878,425,23324,15,114,2190,0,8565,624786,38504,304
2005年,215171,60046,1794879,1,70,21,3571889,633,311,420,0,2140,8676,96,233,2216,21,774,885,1,10,768,6,16039,61,220432,652977,129,276,937,9590,45,894,374,0,18890,134,127,1264,0,9203,516834,36139,421
2006年,213583,60290,2023292,0,149,0,3508487,803,150,640,16,5239,10068,73,333,1345,0,618,642,9,0,618,120,29421,225,226046,459806,85,212,816,14482,10,132,736,0,13434,322,1366,195,0,14022,389487,39348,687
2007年,177437,63700,2770342,0,151,8,4211735,2495,27,745,0,3404,13441,148,159,984,0,2317,145,23,25,248,190,37688,7,318457,358922,92,634,12265,8948,29,520,326,300,19532,94,73,233,52,10080,367831,39725,97
2008年,189868,58161,4103640,0,484,131,5634512,2649,324,2702,0,8805,16725,136,663,729,0,2139,65,0,0,1452,205,34042,40,443529,365235,193,292,27524,12921,63,341,330,670,12687,141,207,228,0,9381,313532,24696,245
2009年,188055,81471,4607547,0,442,0,6064531,1757,140,1912,7,5520,11172,188,2240,1864,2,1015,93,0,5,380,360,34812,147,360484,410497,151,1337,11365,4866,54,87,339,243,11101,231,592,786,0,10273,270007,42874,115
2010年,247574,65524,6056677,0,2079,219,7759215,2596,212,1786,51,4931,7684,810,155,986,7,1756,18,25,6,570,105,30956,143,542820,408372,1122,1035,48397,5134,47,640,352,945,13806,325,203,1240,5,11003,269217,29433,249
2011年,218343,68043,7050016,457,888,15,8951427,4394,99,787,73,4217,4607,89,1127,1485,0,667,495,0,80,971,0,25582,68,609681,632963,84,1737,2394,10120,25,631,1021,588,11185,0,129,76,0,7140,255107,35828,215
2012年,284707,50556,6556119,155,287,0,8669559,1250,93,410,2706,4406,6378,95,555,1556,11,863,227,3,10,183,79,15109,20,630508,735156,155,1660,4987,7772,0,120,384,200,13221,25,316,163,0,12963,303800,31751,371
2013年,208771,46020,7339667,5,90,176,9467234,1365,101,325,1771,2705,12623,248,363,4004,0,2128,27,11,3,1805,0,13319,0,722872,705817,268,2251,5851,48305,69,125,585,0,6726,207,0,558,0,4381,305421,28053,199
2014年,201812,55057,8126820,37,94,30,9864918,1342,16,380,0,5075,7802,173,3655,1272,0,673,15,22,70,2323,15,7094,0,582668,432530,29,312,3061,6052,694,116,585,0,9707,16,7,100,0,2855,396564,15749,91
