,中国实际利用乌干达外商直接投资金额,中国实际利用冈比亚外商直接投资金额,中国实际利用几内亚(比绍)外商直接投资金额,中国实际利用几内亚外商直接投资金额,中国实际利用刚果外商直接投资金额,中国实际利用利比亚外商直接投资金额,中国实际利用利比里亚外商直接投资金额,中国实际利用加纳外商直接投资金额,中国实际利用南非外商直接投资金额,中国实际利用博茨瓦纳外商直接投资金额,中国实际利用喀麦隆外商直接投资金额,中国实际利用坦桑尼亚外商直接投资金额,中国实际利用埃及外商直接投资金额,中国实际利用埃塞俄比亚外商直接投资金额,中国实际利用塞内加尔外商直接投资金额,中国实际利用塞拉利昂外商直接投资金额,中国实际利用塞舌尔外商直接投资金额,中国实际利用安哥拉外商直接投资金额,中国实际利用尼日利亚外商直接投资金额,中国实际利用尼日尔外商直接投资金额,中国实际利用摩洛哥外商直接投资金额,中国实际利用毛里塔尼亚外商直接投资金额,中国实际利用毛里求斯外商直接投资金额,中国实际利用津巴布韦外商直接投资金额,中国实际利用突尼斯外商直接投资金额,中国实际利用纳米比亚外商直接投资金额,中国实际利用肯尼亚外商直接投资金额,中国实际利用苏丹外商直接投资金额,中国实际利用赞比亚外商直接投资金额,中国实际利用赤道几内亚外商直接投资金额,中国实际利用阿尔及利亚外商直接投资金额,中国实际利用非洲其他国家(地区)外商直接投资金额,中国实际利用非洲外商直接投资金额,中国实际利用马里外商直接投资金额
2004年,,,110.0,258.0,,15.0,285.0,40.0,10940.0,47.0,590.0,15.0,396.0,,,82.0,654.0,,1583.0,10.0,97.0,,60232.0,325.0,60.0,80.0,106.0,41.0,385.0,,206.0,110.0,77568.0,11.0
2005年,197.0,132.0,,49.0,10.0,25.0,771.0,40.0,10635.0,,,,532.0,58.0,,147.0,440.0,18.0,856.0,,166.0,,90777.0,24.0,,644.0,,60.0,289.0,68.0,101.0,115.0,107086.0,6.0
2006年,63.0,175.0,84.0,21.0,,21.0,10.0,10.0,9481.0,5.0,65.0,25.0,127.0,255.0,,,1573.0,78.0,2000.0,,6.0,,103271.0,346.0,,371.0,300.0,102.0,539.0,,658.0,164.0,121735.0,
2007年,45.0,170.0,,,,96.0,,22.0,6916.0,14.0,-18.0,,678.0,53.0,,,1594.0,232.0,1211.0,,48.0,,133250.0,219.0,,1295.0,80.0,80.0,100.0,208.0,379.0,116.0,148683.0,
2008年,52.0,633.0,56.0,,,10.0,84.0,82.0,2560.0,651.0,218.0,,758.0,,7.0,15.0,4226.0,239.0,5504.0,75.0,45.0,,149371.0,101.0,80.0,50.0,99.0,10.0,,143.0,904.0,,166788.0,
2009年,18.0,308.0,60.0,46.0,,25.0,23.0,23.0,4120.0,,181.0,32.0,1090.0,20.0,,6.0,11790.0,609.0,33.0,115.0,1.0,5.0,110378.0,39.0,258.0,,202.0,,50.0,,,720.0,130969.0,4.0
2010年,18.0,,225.0,456.0,,5.0,18.0,62.0,6647.0,,87.0,8.0,803.0,85.0,40.0,45.0,22837.0,295.0,500.0,310.0,7.0,,92884.0,39.0,683.0,875.0,48.0,,407.0,,40.0,568.0,127992.0,
2011年,488.0,60.0,302.0,97.0,11.0,121.0,5.0,,1323.0,170.0,21.0,,552.0,,,44.0,43333.0,303.0,1999.0,,4.0,,113921.0,66.0,185.0,,235.0,255.0,1.0,215.0,29.0,325.0,164091.0,26.0
2012年,511.0,131.0,,,16.0,180.0,,382.0,1605.0,,,,567.0,,8.0,,36507.0,195.0,1253.0,,,,95873.0,,32.0,,209.0,7.0,629.0,,571.0,,138787.0,9.0
2013年,3580.0,150.0,,,3.0,,16.0,4.0,1292.0,29.0,3.0,1629.0,209.0,,,2.0,34812.0,454.0,1488.0,,27.0,,91030.0,,45.0,1600.0,11.0,24.0,1488.0,,5.0,,137901.0,
2014年,100.0,,,1.0,12.0,12.0,,36.0,589.0,,2.0,1627.0,126.0,4.0,,2.0,35904.0,712.0,3008.0,,,,59128.0,,2.0,,,,,,,540.0,101826.0,
