,交通运输、仓储和邮政业增加值指数(上年=100),住宿和餐饮业增加值指数(上年=100),其他行业增加值指数(上年=100),农林牧渔业增加值指数(上年=100),国内生产总值指数(上年=100),工业增加值指数(上年=100),建筑业增加值指数(上年=100),房地产业增加值指数(上年=100),批发和零售业增加值指数(上年=100),金融业增加值指数(上年=100)
1978年,108.858173388,118.094196757,111.126522464,104.142809027,111.646643994,116.388338523,99.4266994267,105.69476082,123.075494948,110.120910095
1979年,108.258346106,111.084114624,110.028792792,106.13410953,107.565457151,108.657587549,101.97693575,104.094827586,108.728148224,98.0462410328
1980年,104.29680981,103.941295916,115.086436996,98.5170137125,107.850241327,112.656669651,126.736672052,107.867494824,98.1389574004,107.282417916
1981年,101.870996416,117.451238422,107.563914886,106.982814879,105.13522453,101.739432083,103.171355499,96.4973730298,129.52173937,104.74344743
1982年,111.361864155,131.619010518,113.465033284,111.529076861,109.031928718,105.772040916,103.420922162,109.074410163,99.2546669377,143.082949509
1983年,109.488284508,119.410914491,111.98697738,108.325736858,110.767021612,109.721390744,117.066155321,105.158069884,121.237676056,126.545292181
1984年,114.89055369,108.062696118,115.504119882,112.880785414,115.232320079,114.853521363,110.851760852,127.689873418,124.723901158,130.720744335
1985年,113.78987482,106.302173138,111.747425849,101.843844739,113.509844001,118.209391559,122.201699298,125.030978934,133.546398714,117.13197632
1986年,113.879096747,115.617927268,102.845007238,103.318368144,108.948791546,109.642018054,115.870616687,125.867195243,109.438900537,130.24303625
1987年,109.607023085,109.703186804,110.486540402,104.704326469,111.718861175,113.243296586,117.871119228,129.291338583,114.71954626,122.572088634
1988年,112.525520758,125.089957479,109.432795083,102.544207867,111.303548584,115.252464894,107.990261178,112.667478685,111.766833837,120.194478893
1989年,104.197683096,109.908307952,104.855285087,103.074960408,104.208449976,105.055087492,91.5556466489,115.945945946,89.2904369142,125.813108279
1990年,108.346329754,103.482702107,103.708640786,107.327898937,103.918477168,103.351840428,101.186478621,106.247086247,94.7314297397,102.164685819
1991年,110.555945557,108.167811519,115.678604527,102.399380491,109.28678386,114.391951006,109.56481266,111.958192438,105.177359825,102.827178098
1992年,110.056267204,127.007591428,111.618734587,104.700327266,114.266116398,121.168897387,121.028037383,126.610362438,110.512499288,106.465087608
1993年,112.539917414,108.241210062,116.955689868,104.70118567,113.937208854,120.090051232,117.997542998,110.762331839,108.577515251,111.270453938
1994年,108.523341621,127.137800161,112.825182276,103.999955453,113.095561945,118.911295268,113.675912843,111.961722488,108.191403347,109.732182856
1995年,110.976319412,110.237623114,110.377561298,105.000193723,110.979937851,114.042079828,112.396964543,112.442472058,108.230683006,108.825483356
1996年,111.037566511,106.840102083,112.695894263,105.10020882,109.924032623,112.505571597,108.509399919,104.03449788,107.633536292,107.905518689
1997年,109.201202682,110.941642555,115.818315889,103.498918552,109.22936415,111.320494712,102.617604463,104.130954054,108.767354413,109.027286432
1998年,110.589011109,111.063720561,109.653335431,103.498648281,107.848075628,108.899926758,109.01677905,107.677776279,106.510966412,105.114932642
1999年,112.172080805,107.718291638,111.342317391,102.799314832,107.622506586,108.51643277,104.281741465,105.943609023,108.708620554,105.351415906
2000年,108.580145241,109.336977124,112.958138383,102.399269967,108.430956591,109.785958082,105.669226171,107.105260045,109.417771182,106.962555326
2001年,108.807400218,107.645567423,112.835077771,102.798667428,108.304804252,108.670253769,106.783288043,110.99088973,109.094256241,107.005494961
2002年,107.125889088,112.141568976,113.615558785,102.89849476,109.084812681,109.970470956,108.787734199,109.909444139,108.810633817,107.510004888
2003年,106.126325118,112.357671127,110.792697326,102.498290819,110.02203911,112.750808715,112.083474661,109.802580852,109.937538838,107.428262443
2004年,114.476553202,112.339048697,112.651909645,106.298150713,110.077196912,111.51,108.13,105.900620537,106.566943178,104.667652447
2005年,111.203628437,112.260496007,111.889665143,105.231768165,111.34794462,111.576589783,115.995036624,112.236227409,113.026775779,114.12993541
2006年,109.968067889,112.568107224,110.734229861,104.99873916,112.685964478,112.87608492,117.227889799,115.480632335,119.464424152,123.744577607
2007年,111.80133206,109.617372052,111.382845131,103.742754593,114.199419916,114.906836891,116.185837816,124.35496825,120.215344073,125.826152103
2008年,107.324561491,109.59997663,111.092243851,105.377896499,109.620984931,109.930387406,109.502013431,100.95814305,115.850300608,112.101194603
2009年,103.36453856,103.755882636,108.115964276,104.183094989,109.236082441,108.829964375,118.915325983,111.814386595,111.904743861,116.35558516
2010年,109.47084455,108.221176752,107.965023089,104.270339414,110.629266673,112.556812159,113.895149849,107.510319048,114.597866099,108.93379631
2011年,109.661675267,105.111501284,109.629089522,104.249722628,109.487209337,110.811300558,109.764010388,107.392408273,112.46441409,107.661847332
2012年,106.088256599,106.452759082,107.979637706,104.548071654,107.747550834,107.913543871,109.770628614,104.689586765,110.298684074,109.443875452
2013年,106.60953429,103.903938691,107.318013024,103.966030864,107.685336079,107.596877319,109.710646427,107.206508134,110.515340412,110.564185788
2014年,106.5,105.8,108.5,104.193914379,107.269491788,106.925935233,109.114635266,102.0,109.7,109.9
