,交通运输、仓储和邮政业增加值指数(1978年=100),住宿和餐饮业增加值指数(1978年=100),其他行业增加值指数(1978年=100),农林牧渔业增加值指数(1978年=100),国内生产总值指数(1978年=100),工业增加值指数(1978年=100),建筑业增加值指数(1978年=100),房地产业增加值指数(1978年=100),批发和零售业增加值指数(1978年=100),金融业增加值指数(1978年=100)
1978年,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1979年,108.258346106,111.084114624,110.028792792,106.13410953,107.565457151,108.657587549,101.97693575,104.094827586,108.728148224,98.0462410328
1980年,112.910001341,115.462268297,126.628217295,104.560155239,116.009605122,122.410019455,129.242174629,112.284482759,106.704671068,105.186378056
1981年,115.022543419,135.611864025,136.206267873,111.861397317,121.966958821,124.539258606,133.340903441,108.351576182,138.205745956,110.175838603
1982年,128.09124855,178.490993574,154.546487177,124.757983791,132.982927601,131.727715569,137.902391957,118.183842623,137.175652837,157.642839518
1983年,140.244910643,213.13772771,173.071939636,135.145005231,147.301228155,144.533481517,161.437028361,124.279847817,166.308573615,199.489591872
1984年,161.12815436,230.322375008,199.90522064,152.552743352,169.738622709,166.001793072,178.955788604,158.692780361,207.426540974,260.774279365
1985年,183.347525146,244.837689858,223.388938204,155.365579085,192.670045846,196.229709566,218.687014667,198.415136784,277.010675447,305.450067154
1986年,208.794505545,283.076262184,229.744369664,160.521180968,209.911686621,215.150213589,253.393992509,249.739567607,303.157437578,397.82744169
1987年,228.853441892,310.543680702,253.83660581,168.072621372,234.510945766,243.643194479,298.678335026,322.891629929,347.780836843,487.625404438
1988年,257.518527262,388.458958144,277.780492682,172.348738228,261.019004456,280.804787184,322.543514075,363.793858325,388.703630032,586.098813814
1989年,268.32833895,426.948667983,291.267527517,177.648393692,272.003858685,294.999714857,295.306800035,421.804230328,347.075169557,737.389135248
1990年,290.723906942,441.818018239,302.069593837,190.666288446,282.662267783,304.887634562,298.810552084,448.15470439,328.789270393,753.351293289
1991年,321.41256428,477.904881227,349.429890851,195.241098175,308.912501647,348.766913552,327.391221599,501.74590636,345.811873987,774.649876054
1992年,353.734670571,606.975478963,390.029222436,204.418068747,352.9823187,422.597023601,396.235170066,635.262310562,382.165344777,824.731669194
1993年,398.092706124,656.99760321,456.161367789,214.028141703,402.178201674,507.496982149,467.547765171,703.63134847,414.945635507,917.682672083
1994年,432.023507434,835.292299832,514.664894678,222.589172028,454.845697204,603.471234918,531.489190035,787.797777712,448.93550618,1006.99322777
1995年,479.443787547,920.806377393,568.074559601,233.719061837,504.787472074,688.211147464,597.377716472,885.819296077,485.885964595,1095.86524748
1996年,532.362714478,983.790473596,640.196705022,245.639222042,554.882745479,774.275885251,648.21097539,921.557656801,522.976246041,1182.49907943
1997年,581.346486839,1091.43331071,741.465042136,254.233938352,606.094894666,861.927745896,665.178574811,959.626780182,568.827427028,1289.24665839
1998年,642.905330909,1212.18644232,813.041149756,263.128689665,653.661680376,938.638683988,725.156257187,1033.30477747,605.863589741,1355.19075655
1999年,721.16028729,1305.74652713,905.258857478,270.494490103,703.487085013,1018.57721646,756.205573339,1094.72037346,658.625950847,1427.71265025
2000年,783.036887356,1427.66378167,1022.56355295,276.984383167,762.797775774,1118.2547559,799.076577612,1172.50310276,720.653835841,1527.11793343
2001年,852.002079879,1536.81677867,1153.81038023,284.73625488,826.146637888,1215.21028102,853.280243559,1301.37162587,786.191942285,1634.10010331
2002年,912.714803115,1723.41044789,1310.90811082,292.989320309,901.200512414,1336.37246915,928.264243332,1430.33032018,855.460435418,1756.82110095
2003年,968.630679351,1936.38384321,1452.39045544,300.309045599,991.519180231,1506.77076641,1040.43081796,1570.53960626,940.472148431,1887.32238297
2004年,1108.85501498,2175.3151886,1636.14558356,319.222961896,1091.43652044,1680.20008162,1125.01784346,1663.21118881,1002.23242002,1975.41603236
2005年,1233.08701077,2442.01962043,1830.67781469,335.92396719,1215.29213235,1874.70995261,1304.96485955,1866.72549217,1132.79099016,2254.54104182
2006年,1356.00196113,2748.93526476,2027.18697933,352.715930085,1369.46366057,2116.09919811,1529.78276746,2155.70640233,1353.28223325,2789.87228917
2007年,1516.0282553,3013.31059664,2257.93853371,365.917221759,1563.91955633,2431.54265403,1777.39092513,2680.72801216,1626.85289297,3510.38895005
2008年,1627.07067708,3302.58770972,2508.39458187,385.595871215,1714.38402117,2673.00425952,1946.27884956,2706.41322131,1884.71396696,3935.18794823
2009年,1681.8140974,3426.62902804,2711.97499003,401.725712782,1872.72594272,2909.02958339,2314.42383848,3026.15934214,2109.08433724,4578.81096433
2010年,1841.09609619,3708.33825707,2927.98442416,418.88076423,2071.78297722,3274.31096382,2636.01649898,3253.43356363,2416.9656447,4987.8726093
2011年,2018.97682237,3897.89001469,3209.92266555,436.682034853,2268.33736527,3628.30656332,2893.39742378,3493.94065553,2718.22625106,5370.03579376
2012年,2141.89731198,4149.41146661,3466.06286489,456.542646698,2444.07795573,3915.43419499,3176.10054039,3657.79203411,2998.16778506,5877.17528582
2013年,2283.46674928,4311.4019463,3719.70979676,474.649268973,2631.91356066,4212.88492729,3484.52043404,3921.39111457,3313.43533377,6498.05100208
2014年,2443.88412297,4579.66702077,4039.10216965,494.555652912,2823.24030083,4504.66660879,3802.12176237,4009.64965758,3628.12426236,7130.28397344
