,万州港口生产用码头长度,万州港口码头长度,万州港口非生产用码头长度,上海(内河)港口生产用码头长度,上海(内河)港口码头长度,上海(内河)港口非生产用码头长度,九江港口生产用码头长度,九江港口码头长度,九江港口非生产用码头长度,内河主要港口码头长度,内河港口生产用码头长度,内河港口非生产用码头长度,南京港口生产用码头长度,南京港口码头长度,南京港口非生产用码头长度,南通港口生产用码头长度,南通港口码头长度,南通港口非生产用码头长度,安庆港口生产用码头长度,安庆港口码头长度,安庆港口非生产用码头长度,宜昌港口生产用码头长度,宜昌港口码头长度,宜昌港口非生产用码头长度,常州港口生产用码头长度,常州港口码头长度,常州港口非生产用码头长度,扬州港口生产用码头长度,扬州港口码头长度,扬州港口非生产用码头长度,武汉港口生产用码头长度,武汉港口码头长度,武汉港口非生产用码头长度,江阴港口生产用码头长度,江阴港口码头长度,江阴港口非生产用码头长度,池州港口生产用码头长度,池州港口码头长度,池州港口非生产用码头长度,泰州港口生产用码头长度,泰州港口码头长度,泰州港口非生产用码头长度,芜湖港口生产用码头长度,芜湖港口码头长度,芜湖港口非生产用码头长度,重庆港口生产用码头长度,重庆港口码头长度,重庆港口非生产用码头长度,铜陵港口生产用码头长度,铜陵港口码头长度,铜陵港口非生产用码头长度,镇江港口生产用码头长度,镇江港口码头长度,镇江港口非生产用码头长度,马鞍山港口生产用码头长度,马鞍山港口码头长度,马鞍山港口非生产用码头长度,黄石港口生产用码头长度,黄石港口码头长度,黄石港口非生产用码头长度
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,566,0,0,0,0,0,743,0,21621,0,0,0,1971,0,0,509,0,0,962,0,0,1087,0,0,0,0,0,0,0,0,2615,0,0,375,0,0,660,0,0,0,0,0,1421,0,0,2029,0,0,1395,0,0,346,0,0,1002,0,0,1004,0
1980年,0,860,0,0,0,0,0,806,0,23391,0,0,0,2435,0,0,509,0,0,996,0,0,1087,0,0,0,0,0,0,0,0,2942,0,0,375,0,0,741,0,0,0,0,0,1453,0,0,1937,0,0,577,0,0,522,0,0,1002,0,0,1055,0
1981年,820,860,40,0,0,0,848,848,0,24057,22895,1162,2381,2381,0,960,960,0,996,996,0,1077,1167,90,0,0,0,0,0,0,2508,2942,434,483,483,0,813,813,0,0,0,0,1543,1543,0,1827,1937,110,606,667,61,482,522,40,1002,1002,0,1095,1095,0
1982年,820,860,40,0,0,0,888,888,0,23497,22289,1208,2200,2200,0,990,990,0,1015,1015,0,1077,1167,90,0,0,0,0,0,0,1601,2081,480,529,529,0,813,813,0,0,0,0,1543,1543,0,1948,2058,110,606,667,61,482,522,40,998,998,0,1095,1095,0
1983年,820,860,40,0,0,0,888,888,0,25793,24193,1600,2293,2293,0,1178,1178,0,1015,1015,0,1147,1237,90,0,0,0,0,0,0,1555,2294,739,529,529,0,835,835,0,0,0,0,1663,1663,0,2013,2123,110,606,667,61,482,522,40,999,999,0,1156,1156,0
1984年,820,860,40,0,0,0,913,913,0,24458,22793,1665,2275,2275,0,1263,1263,0,1015,1015,0,1227,1317,90,0,0,0,0,0,0,1930,2676,746,0,0,0,851,851,0,0,0,0,1529,1623,94,2068,2178,110,606,667,61,508,548,40,999,999,0,1121,1121,0
1985年,948,948,0,0,0,0,707,707,0,27041,24942,2099,2274,2648,374,1268,1268,0,1015,1015,0,1227,1317,90,0,0,0,0,0,0,1930,2676,746,0,0,0,851,851,0,0,0,0,1552,1646,94,2068,2178,110,606,667,61,1702,1742,40,999,999,0,1094,1094,0
1986年,706,706,0,0,0,0,557,622,65,56856,53629,3227,2544,2993,449,1255,1327,72,946,980,34,1238,1456,218,3310,3310,0,1346,1346,0,2125,3083,958,421,421,0,819,819,0,0,0,0,1587,1763,176,2599,2739,140,507,642,135,1707,1747,40,695,695,0,1043,1043,0
1987年,706,706,0,0,0,0,374,439,65,86433,82459,3974,2838,3287,449,1058,1148,90,986,1020,34,1520,1520,0,3310,3310,0,1346,1346,0,2793,3796,1003,571,571,0,844,844,0,0,0,0,1618,1793,175,2659,2984,325,507,642,135,1707,1747,40,695,695,0,1072,1072,0
