,万州港口泊位数,万州港口生产用泊位数,万州港口非生产用泊位数,上海(内河)港口泊位数,上海(内河)港口生产用泊位数,上海(内河)港口非生产用泊位数,九江港口泊位数,九江港口生产用泊位数,九江港口非生产用泊位数,内河港口泊位数,内河港口生产用泊位数,内河港口非生产用泊位数,南京港口泊位数,南京港口生产用泊位数,南京港口非生产用泊位数,南通港口泊位数,南通港口生产用泊位数,南通港口非生产用泊位数,安庆港口泊位数,安庆港口生产用泊位数,安庆港口非生产用泊位数,宜昌港口泊位数,宜昌港口生产用泊位数,宜昌港口非生产用泊位数,常州港口泊位数,常州港口生产用泊位数,常州港口非生产用泊位数,扬州港口泊位数,扬州港口生产用泊位数,扬州港口非生产用泊位数,武汉港口泊位数,武汉港口生产用泊位数,武汉港口非生产用泊位数,江阴港口泊位数,江阴港口生产用泊位数,江阴港口非生产用泊位数,池州港口泊位数,池州港口生产用泊位数,池州港口非生产用泊位数,泰州港口泊位数,泰州港口生产用泊位数,泰州港口非生产用泊位数,芜湖港口泊位数,芜湖港口生产用泊位数,芜湖港口非生产用泊位数,重庆港口泊位数,重庆港口生产用泊位数,重庆港口非生产用泊位数,铜陵港口泊位数,铜陵港口生产用泊位数,铜陵港口非生产用泊位数,镇江港口泊位数,镇江港口生产用泊位数,镇江港口非生产用泊位数,马鞍山港口泊位数,马鞍山港口生产用泊位数,马鞍山港口非生产用泊位数,黄石港口泊位数,黄石港口生产用泊位数,黄石港口非生产用泊位数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,14.0,,,,,,16.0,,,432.0,,,32.0,,,8.0,,,22.0,,,17.0,,,,,,,,,27.0,,,8.0,,,17.0,,,,,,36.0,,,43.0,,,11.0,,,8.0,,,30.0,,,23.0,,
1980年,16.0,,,,,,16.0,,,462.0,,,39.0,,,8.0,,,23.0,,,18.0,,,,,,,,,28.0,,,9.0,,,17.0,,,,,,38.0,,,43.0,,,13.0,,,9.0,,,30.0,,,24.0,,
1981年,16.0,15.0,1.0,,,,16.0,16.0,,467.0,449.0,18.0,37.0,37.0,,11.0,11.0,,22.0,22.0,,19.0,18.0,1.0,,,,,,,28.0,24.0,4.0,9.0,9.0,,17.0,17.0,,,,,39.0,39.0,,43.0,41.0,2.0,13.0,12.0,1.0,10.0,9.0,1.0,30.0,30.0,,25.0,25.0,
1982年,16.0,15.0,1.0,,,,17.0,17.0,,475.0,456.0,19.0,36.0,36.0,,11.0,11.0,,22.0,22.0,,19.0,18.0,1.0,,,,,,,31.0,26.0,5.0,10.0,10.0,,17.0,17.0,,,,,39.0,39.0,,44.0,42.0,2.0,13.0,12.0,1.0,10.0,9.0,1.0,30.0,30.0,,25.0,25.0,
1983年,16.0,15.0,1.0,,,,17.0,17.0,,505.0,482.0,23.0,36.0,36.0,,12.0,12.0,,22.0,22.0,,20.0,19.0,1.0,,,,,,,31.0,25.0,6.0,10.0,10.0,,17.0,17.0,,,,,41.0,41.0,,45.0,43.0,2.0,13.0,12.0,1.0,10.0,9.0,1.0,30.0,30.0,,26.0,26.0,
1984年,16.0,15.0,1.0,,,,18.0,18.0,,489.0,464.0,25.0,35.0,35.0,,13.0,13.0,,22.0,22.0,,21.0,20.0,1.0,,,,,,,38.0,32.0,6.0,,,,17.0,17.0,,,,,41.0,38.0,3.0,45.0,43.0,2.0,13.0,12.0,1.0,10.0,9.0,1.0,29.0,29.0,,26.0,26.0,
1985年,17.0,17.0,,,,,11.0,11.0,,503.0,471.0,32.0,38.0,30.0,8.0,13.0,13.0,,22.0,22.0,,21.0,20.0,1.0,,,,,,,38.0,32.0,6.0,,,,17.0,17.0,,,,,44.0,41.0,3.0,45.0,43.0,2.0,13.0,12.0,1.0,21.0,20.0,1.0,29.0,29.0,,26.0,26.0,
1986年,11.0,11.0,,,,,10.0,9.0,1.0,1508.0,1436.0,72.0,40.0,31.0,9.0,13.0,12.0,1.0,22.0,21.0,1.0,21.0,18.0,3.0,110.0,110.0,,43.0,43.0,,64.0,46.0,18.0,8.0,8.0,,17.0,17.0,,,,,44.0,40.0,4.0,55.0,52.0,3.0,12.0,9.0,3.0,22.0,21.0,1.0,13.0,13.0,,23.0,23.0,
1987年,11.0,11.0,,,,,8.0,7.0,1.0,2279.0,2209.0,70.0,43.0,34.0,9.0,11.0,10.0,1.0,31.0,30.0,1.0,22.0,22.0,,110.0,110.0,,43.0,43.0,,65.0,46.0,19.0,10.0,10.0,,17.0,17.0,,,,,44.0,40.0,4.0,59.0,53.0,6.0,12.0,9.0,3.0,22.0,21.0,1.0,13.0,13.0,,23.0,23.0,
