,万州港口万吨级泊位数,万州港口生产用万吨级泊位数,上海(内河)港口万吨级泊位数,上海(内河)港口生产用万吨级泊位数,九江港口万吨级泊位数,九江港口生产用万吨级泊位数,内河主要港口万吨级泊位数,内河港口生产用万吨级泊位数,南京港口万吨级泊位数,南京港口生产用万吨级泊位数,南通港口万吨级泊位数,南通港口生产用万吨级泊位数,安庆港口万吨级泊位数,安庆港口生产用万吨级泊位数,宜昌港口万吨级泊位数,宜昌港口生产用万吨级泊位数,常州港口万吨级泊位数,常州港口生产用万吨级泊位数,扬州港口万吨级泊位数,扬州港口生产用万吨级泊位数,武汉港口万吨级泊位数,武汉港口生产用万吨级泊位数,江阴港口万吨级泊位数,江阴港口生产用万吨级泊位数,池州港口万吨级泊位数,池州港口生产用万吨级泊位数,泰州港口万吨级泊位数,泰州港口生产用万吨级泊位数,芜湖港口万吨级泊位数,芜湖港口生产用万吨级泊位数,重庆港口万吨级泊位数,重庆港口生产用万吨级泊位数,铜陵港口万吨级泊位数,铜陵港口生产用万吨级泊位数,镇江港口万吨级泊位数,镇江港口生产用万吨级泊位数,马鞍山港口万吨级泊位数,马鞍山港口生产用万吨级泊位数,黄石港口万吨级泊位数,黄石港口生产用万吨级泊位数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,4,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,6,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,7,7,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,16,16,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1986年,0,0,0,0,0,0,20,20,8,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
1987年,0,0,0,0,0,0,20,20,8,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
