,国内实物交易资金来源_其他经常转移,国内实物交易资金来源_其他财产收入,国内实物交易资金来源_其他资本转移,国内实物交易资金来源_其他非金融资产获得减处置,国内实物交易资金来源_净出口,国内实物交易资金来源_净金融投资,国内实物交易资金来源_初次分配总收入,国内实物交易资金来源_利息,国内实物交易资金来源_劳动者报酬,国内实物交易资金来源_单位社会保险付款,国内实物交易资金来源_可支配总收入,国内实物交易资金来源_固定资本形成总额,国内实物交易资金来源_地租,国内实物交易资金来源_增加值,国内实物交易资金来源_存货增加,国内实物交易资金来源_居民消费,国内实物交易资金来源_工资及工资性收入,国内实物交易资金来源_总储蓄,国内实物交易资金来源_投资性补助,国内实物交易资金来源_收入税,国内实物交易资金来源_政府消费,国内实物交易资金来源_最终消费,国内实物交易资金来源_生产税,国内实物交易资金来源_生产税净额,国内实物交易资金来源_生产补贴,国内实物交易资金来源_社会保险福利,国内实物交易资金来源_社会保险缴款,国内实物交易资金来源_社会补助,国内实物交易资金来源_红利,国内实物交易资金来源_经常转移,国内实物交易资金来源_财产收入,国内实物交易资金来源_资本形成总额,国内实物交易资金来源_资本转移
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,1359.66408231,111.17,8.39,,,,98000.5278539,10510.0919,52242.8714678,,98522.9958851,,84.17,99214.6,,,,37006.9958851,2935.10519233,2118.8631,,,,11975.3053093,,2385.6,2644.9,980.56407656,1201.39820867,9489.59125887,11906.8301087,,2943.49519233
2001年,1765.60809121,109.27,10.33,,,,108068.229353,10089.87,57529.8334183,,108771.130089,,92.84,109655.2,,,,41837.2300889,3444.76057632,3363.0008,,,,12968.1697733,,2748.0,3101.9,1160.59888304,1289.8822893,12139.1077743,11581.8622893,,3455.09057632
2002年,2472.65348767,115.81,20.51,,,,119095.700017,10037.0783,64501.5078873,,120170.410323,,110.53,120332.7,,,,48353.910323,3651.5624052,3542.89,,,,14761.7561,,3471.5,4048.7,1164.7742155,2236.18869209,14700.5177032,12499.6069921,,3672.0724052
2003年,3107.78674484,192.26,37.28,,,,134977.015665,11557.62,71735.73862,,136421.247806,,126.15,135822.8,,,,58735.7478057,4037.37053746,4195.8818,,,,17516.1702,,4016.4,4882.9,1519.85034783,2009.97735146,17722.8188927,13886.0073515,,4074.65053746
2004年,3991.36036754,192.49,75.04,,,,159453.566821,13186.32,80950.7451847,,161348.781845,,175.1,159878.3,,,,73796.1818453,1494.47405628,5408.8443,,,,20608.8261,,4627.4,5780.3,2020.72,2751.5755491,21828.6246675,16305.4855491,,1569.51405628
