,国内实物交易资金运用_其他经常转移,国内实物交易资金运用_其他财产收入,国内实物交易资金运用_其他资本转移,国内实物交易资金运用_其他非金融资产获得减处置,国内实物交易资金运用_净出口,国内实物交易资金运用_净金融投资,国内实物交易资金运用_初次分配总收入,国内实物交易资金运用_利息,国内实物交易资金运用_劳动者报酬,国内实物交易资金运用_单位社会保险付款,国内实物交易资金运用_可支配总收入,国内实物交易资金运用_固定资本形成总额,国内实物交易资金运用_地租,国内实物交易资金运用_增加值,国内实物交易资金运用_存货增加,国内实物交易资金运用_居民消费,国内实物交易资金运用_工资及工资性收入,国内实物交易资金运用_总储蓄,国内实物交易资金运用_投资性补助,国内实物交易资金运用_收入税,国内实物交易资金运用_政府消费,国内实物交易资金运用_最终消费,国内实物交易资金运用_生产税,国内实物交易资金运用_生产税净额,国内实物交易资金运用_生产补贴,国内实物交易资金运用_社会保险福利,国内实物交易资金运用_社会保险缴款,国内实物交易资金运用_社会补助,国内实物交易资金运用_红利,国内实物交易资金运用_经常转移,国内实物交易资金运用_财产收入,国内实物交易资金运用_资本形成总额,国内实物交易资金运用_资本转移
2004年,2096.14534294,192.49,80.7532,,,4622.06864535,,13186.32,80898.42,,,65117.7,175.1,,4050.7,65218.48,,,1494.47405628,5408.8443,22334.12,87552.6,,20608.8261,,4627.4,5780.3,2020.72,3228.63391304,19933.4096429,16782.543913,69168.4,1575.22725628
2005年,2813.56125048,393.646701483,144.684,,,8693.94129738,,15451.939,93023.51,,,74232.9,306.0631,,3624.0,72958.7,,,1781.96573482,6949.2665,26398.83,99357.53,,23685.681399,,5400.8,6975.2,2241.91,5733.89744049,24380.7377505,21885.546242,77856.9,1926.64973482
2006年,3351.19624874,1180.90136641,238.03557448,,,12404.3088431,,24986.86,106210.4,,,87954.06,579.864,,5000.02,82575.5,,,1965.08540191,8814.8529,30528.4,113103.9,,27656.6856117,,6477.4,8643.2,2807.754,6159.084545,30094.4031487,32906.7099114,92954.08,2203.12097639
2007年,4456.90814792,2387.234,419.4957448,,,26302.7147409,,31292.06,127588.9,,,103948.61,965.6565,,6994.64,96332.5,,,2507.65918761,11964.83,35900.37,132232.9,,35304.8632,,7887.9,10812.3,3364.59583,7579.92988298,38486.5339779,42224.880383,110943.25,2927.15493241
2008年,5810.15021499,2058.48412313,556.07611084,,,27491.7701482,,43392.32296,150067.189005,,,128084.4,1337.06,,10240.78,111670.4,,,3162.56915715,14897.94,41752.1,153422.5,,39556.3366667,,9925.1,13696.1,5156.87594,8248.03285116,49486.166155,55035.8999343,138325.18,3718.64526799
2009年,6662.05227082,2301.97622114,733.222,,,9017.72926858,,41421.2564994,166468.992359,,,156679.8,1733.808814,,7783.4,123584.6,,,3817.29234894,15486.184512,45690.2,169274.8,,41962.7575439,,12302.6,16115.6,6246.031731,11099.4873272,56812.4685138,56556.5288618,164463.2,4550.51434894
2010年,8114.05195994,2748.03668278,1290.82695975,,,15108.264482,,49529.9425,190044.90076,,,183615.2,2428.67602574,,9988.7,140758.6,,,5174.52257057,17680.81,53356.4,194115.0,,52672.5909182,,16207.243134,20584.5011,6137.51478654,13980.6540251,68724.1209805,68687.3092336,193603.9,6465.34953032
2011年,10437.1274051,3211.54652427,2073.86420065,,,10041.4095193,,76005.1386014,221458.235728,,,215682.0,3075.524,,12662.3,168956.6,,,6219.44472476,22823.75,63154.9,232111.5,,62270.8052059,,20363.89,27217.5839,7588.84553155,16637.9960089,88431.1968366,98930.2051345,228344.3,8293.30892541
2012年,12746.0404527,4093.77579032,2736.58759146,,,3934.31152265,,96298.1941268,255599.540941,,,241756.84,4411.21098258,,11016.4,190584.6,,,6622.54401218,25818.161912,71409.0,261993.6,,68866.0282854,,23930.6977,31411.0283,8708.279533,15749.3250525,102614.207898,120552.505952,252773.24,9359.13160363
2013年,14508.6509555,3305.0494405,3667.64953456,,,7662.05442647,,79947.463056,297970.314899,,,263027.9,5127.9177,,11148.8,219762.5,,,7707.34359611,29030.3639,81245.9,301008.4,,73536.4115246,,28743.9264,35993.5842,10090.9631663,21184.4036383,118367.488622,109564.833835,274176.7,11374.9931307
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
