,金融交易资金来源_中央银行贷款,金融交易资金来源_保险准备金,金融交易资金来源_其他(净),金融交易资金来源_其他对外债权债务,金融交易资金来源_净金融投资,金融交易资金来源_准备金,金融交易资金来源_国际储备资产,金融交易资金来源_国际收支错误与遗漏,金融交易资金来源_存款,金融交易资金来源_库存现金,金融交易资金来源_未贴现的银行承兑汇票,金融交易资金来源_直接投资,金融交易资金来源_证券,金融交易资金来源_证券公司客户保证金,金融交易资金来源_证券投资基金份额,金融交易资金来源_贷款,金融交易资金来源_资金来源,金融交易资金来源_资金运用,金融交易资金来源_通货,金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,71.8,-1264.0,,,,-117.0,-456.2,5964.7,,,,1152.9,,,5695.0,15410.4,,1162.1,
1993年,2917.12,87.93,-539.66,,,1574.52,101.83,-564.91,6478.43,221.76,,,637.82,,,7573.55,24341.87,,1528.7,52.6
1994年,859.29,125.22,-170.99,,,2062.28,2631.01,-842.41,11776.92,29.03,,,1616.29,,,9174.66,35902.85,,1424.0,26.15
1995年,888.58,137.84,-2146.35,,,2280.02,1877.41,-1487.34,13414.0,61.06,,,2062.45,,,9946.4,36401.72,,596.74,-37.67
1996年,3863.47,197.03,-2661.41,,,4696.1,2631.52,-1293.6,16720.53,-38.87,,,2549.07,,,15130.59,52115.47,,916.67,-168.43
1997年,,,,,,,,,,,,,,,,,,,,
1998年,-1993.32,312.38,534.54,3093.56,,-1523.42,532.01,-1372.35,14120.99,64.22,,3840.32,7432.62,,,11104.92,37550.33,,1026.54,797.06
1999年,250.9,598.79,-621.13,4121.0,,347.19,704.0,-1361.09,12338.0,884.15,,3355.0,5122.06,,,10973.02,41169.25,,2251.34,1993.51
2000年,,,,,,,,,,,,,,,,,,,,
2001年,305.45,1219.88,350.88,778.41,,1983.01,3917.01,-450.16,19350.81,-52.13,,4231.65,5148.14,,,11643.34,48791.73,,1036.15,-952.63
2002年,-455.661802524,2635.081944,-1008.90994081,795.56016069,,1640.16501655,6249.7193562,549.776670677,28104.2962563,141.63117007,,4289.66980368,8020.08354,,,19916.589421,73868.8524659,,1589.23026121,1345.82617957
2003年,850.062648471,3193.6146,862.851542715,2361.12317532,,3910.09919794,9686.001987,1376.73979809,36661.5113946,329.718791297,,3883.93631265,10608.71,,,28506.4335213,106510.598743,,2467.96438499,1642.71888418
2004年,-1191.1275445,3647.9591857,1938.64011724,2067.57402264,,4723.56986604,17080.335552,2135.12870297,32189.4273044,76.0694171943,,4696.38345165,15595.9864476,,,25239.6056061,110311.962081,,1722.31073349,500.733793739
2005年,-1707.76938597,4394.1236463,735.589014111,6601.36033107,,2832.72870869,16958.129672,-1373.43901716,43318.1995623,376.807054635,,7407.95246722,22966.613282,,,24207.7477105,133792.323423,,2563.36933992,4749.33610109
2006年,-1651.0,4607.0,3980.0,12377.0,,11423.0,19692.0,-1027.0,50806.0,113.0,,7647.0,26207.0,3416.0,1191.0,33452.0,174525.0,,3041.0,-2440.0
2007年,-8714.0,6568.0,5386.0,10385.0,,20713.0,32618.0,1159.0,54412.0,384.0,,10978.0,39422.0,8986.0,5437.0,40979.0,230180.0,,3303.0,-2317.0
2008年,-485.0,8577.0,1529.0,1159.0,,21100.0,29119.0,-1814.0,79792.0,50.0,,13987.0,29997.0,-5340.0,3336.0,54112.0,235311.0,,4112.0,-3921.0
2009年,-1589.0,8791.0,-643.0,319.0,,11507.0,27216.0,-2975.0,132764.0,416.0,,8340.0,29778.0,6272.0,-1206.0,107875.0,332691.0,,4046.0,1782.0
2010年,469.058602,6304.872357,19395.0467915,5760.48776155,,33260.799686,31934.3734471,-4040.0160753,130662.156761,713.992937,46692.0,16600.9408976,39548.0,-2372.86666667,-1566.3,97226.7095475,430415.655493,,6507.436967,3322.0
2011年,-727.0,7348.0,26753.0,4495.0,,36154.0,25057.0,-2259.0,116442.0,1072.0,20542.0,17435.0,21540.0,-6511.0,2282.0,97009.0,381272.0,,6162.0,8480.0
2012年,476.0,14274.0,51780.0,7569.0,,23150.0,6069.0,-5014.0,132275.0,971.0,20998.0,19851.0,45941.0,-685.0,5198.0,121940.0,454005.0,,3910.0,5304.0
2013年,412.737557982,14001.1494871,54654.9075865,11417.4146723,,14302.3222683,26605.9559719,-4788.00228444,156840.995448,441.636629972,15511.3108241,20443.273555,39584.3616352,-310.409313,1352.15,148307.574969,517059.55336,,3915.3975501,14366.7768019
2014年,,,,,,,,,,,,,,,,,,,,
