,中成药制造高技术产业研究与试验发展项目经费,仪器仪表制造业高技术产业研究与试验发展项目经费,其他电子设备制造高技术产业研究与试验发展项目经费,化学药品制造高技术产业研究与试验发展项目经费,医疗仪器设备及器械制造业高技术产业研究与试验发展项目经费,医疗器械及仪器仪表制造业高技术产业研究与试验发展项目经费,医药制造业高技术产业研究与试验发展项目经费,家用视听设备制造业高技术产业研究与试验发展项目经费,广播电视设备制造业高技术产业研究与试验发展项目经费,生物、生化制品的制造高技术产业研究与试验发展项目经费,电子元件制造业高技术产业研究与试验发展项目经费,电子及通信设备制造业高技术产业研究与试验发展项目经费,电子器件制造业高技术产业研究与试验发展项目经费,电子计算机及办公设备制造业高技术产业研究与试验发展项目经费,电子计算机外部设备制造业高技术产业研究与试验发展项目经费,电子计算机整机制造业高技术产业研究与试验发展项目经费,航空航天器制造业高技术产业研究与试验发展项目经费,通信设备制造业高技术产业研究与试验发展项目经费,雷达及配套设备制造业高技术产业研究与试验发展项目经费,高技术产业研究与试验发展项目经费
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,3293711.0,8461504.0,2414667.0,10442232.0,2486140.0,10947644.0,18092669.0,9193434.0,991979.0,2654494.0,10779914.0,70613194.0,11394736.0,14100254.0,7552695.0,5888470.0,8660560.0,35050655.0,787809.0,122414321.0
2012年,495040.0,1049518.0,306579.0,1353934.0,320208.0,1369727.0,2478886.0,827585.0,172585.0,381095.0,1316139.0,8698000.0,1709306.0,1515002.0,258035.0,592017.0,1029369.0,3856116.0,76522.0,15090985.0
2013年,651699.8,1275615.1,444973.7,1665073.0,402125.4,1677740.5,3106987.0,1126833.1,263455.6,462211.8,1540775.6,10746471.1,1825805.1,1356659.4,249622.4,609662.2,1161980.9,4885505.7,153143.1,18049839.0
2014年,696833.1,1429559.0,541452.8,1842516.2,396566.9,1826125.9,3503587.4,1119174.6,298585.4,577407.5,1637414.2,12255517.9,2240190.5,1394254.3,230013.6,649797.1,1242286.0,5608692.2,133784.3,20221771.5
