,其他部门办普通高中毕业生数,农村其他部门办普通高中毕业生数,农村地方企业办普通高中毕业生数,农村教育部门办普通高中毕业生数,农村普通高中毕业生数,农村民办普通高中毕业生数,县镇其他部门办普通高中毕业生数,县镇地方企业办普通高中毕业生数,县镇教育部门办普通高中毕业生数,县镇普通高中毕业生数,县镇民办普通高中毕业生数,地方企业办普通高中毕业生数,城市其他部门办普通高中毕业生数,城市地方企业办普通高中毕业生数,城市教育部门办普通高中毕业生数,城市普通高中毕业生数,城市民办普通高中毕业生数,教育部门办普通高中毕业生数,普通高中毕业生数,民办普通高中毕业生数
1978年,,,,,,,,,,,,,,,,,,,682.7,
1979年,,,,,,,,,,,,,,,,,,,726.5,
1980年,,,,,,,,,,,,,,,,,,,616.2,
1981年,,,,,,,,,,,,,,,,,,,486.1,
1982年,,,,,,,,,,,,,,,,,,,310.6,
1983年,,,,,,,,,,,,,,,,,,,235.1,
1984年,,,,,,,,,,,,,,,,,,,189.8,
1985年,,,,,,,,,,,,,,,,,,,196.6,
1986年,,,,,,,,,,,,,,,,,,,224.0,
1987年,,,,,62.03,,,,,104.54,,,,,,80.21,,,246.78,
1988年,,,,,64.05,,,,,107.09,,,,,,79.42,,,250.56,
1989年,,,,,59.0,,,,,108.3,,,,,,75.9,,,243.2,
1990年,,,,,56.1,,,,,106.2,,,,,,70.7,,,233.0,
1991年,,,,,48.8,,,,,105.4,,,,,,68.8,,,222.9,
1992年,,,,,46.8,,,,,108.8,,,,,,70.5,,,226.1,
1993年,,,,,45.0661,,,,,112.461,,,,,,74.1856,,,231.7,
1994年,,,,,37.8565,,,,,101.8801,,,,,,69.5655,,,209.3021,
1995年,,,,,33.0839,,,,,98.1266,,,,,,70.4336,,,201.6,
1996年,,,,,31.6245,,,,,98.8176,,,,,,74.4862,,,204.9,
1997年,,,,,32.3035,,,,,106.8999,,,,,,82.4596,,,221.7,
1998年,,,,,35.4577,,,,,122.8499,,,,,,93.4769,,,251.8,
1999年,,,,,35.7857,,,,,128.2215,,,,,,98.9019,,,262.91,
2000年,,,,,39.2038,,,,,145.8461,,,,,,116.459,,,301.51,
2001年,,,,,37.4043,,,,,176.016,,,,,,127.0367,,,340.46,
2002年,,,,,39.7991,,,,,198.9907,,,,,,144.9707,,,383.76,
2003年,,,,,47.7856,,,,,241.1586,,,,,,169.1793,,,458.1,
2004年,20.6627,2.6122,,57.4229,62.1222,2.0871,3.3026,,270.7145,287.5761,13.559,,14.7479,,164.813,197.2368,17.6759,492.9504,546.9,33.322
2005年,19.2503,2.913,,58.6116,65.7376,4.213,3.8734,,339.736,363.6709,20.0615,,12.4639,,196.4507,232.1628,23.2482,594.7983,661.5713,47.5227
2006年,14.3844,2.4126,,58.7994,67.5637,6.3517,3.375,,387.2016,417.9757,27.3991,,8.5968,,205.4101,241.5299,27.523,651.4111,727.1,61.2738
2007年,12.6043,2.5008,,58.0687,66.6902,6.1207,2.5561,,402.2017,437.3897,32.6319,,7.5474,,243.0121,284.2344,33.6749,703.2825,788.3143,72.4275
2008年,9.4701,2.1501,,58.424,66.9269,6.3528,1.9964,,430.176,469.5377,37.3653,,5.3236,,259.0828,299.5947,35.1883,747.6828,836.0593,78.9064
2009年,8.0884,1.8676,,54.2232,62.715,6.6242,2.055,,429.6866,470.6203,38.8787,,4.1658,,253.2366,290.3867,32.9843,737.1464,823.722,78.4872
2010年,7.3345,1.7456,,47.6017,56.2639,6.9166,1.9914,,422.0823,460.7848,36.7111,,3.5975,,243.1311,277.3848,30.6562,712.8151,794.4335,74.2839
2011年,6.2252,0.1406,0.0144,28.5758,33.5839,4.8531,2.7789,0.3843,367.5414,401.0813,30.3767,0.7055,3.3057,0.3068,312.2017,353.0749,37.2607,708.3189,787.7401,72.4905
2012年,5.9916,0.1786,,21.9694,26.3889,4.2409,2.9295,0.1703,370.0739,404.4762,31.3025,0.3291,2.8835,0.1588,319.7311,360.6395,37.8661,711.7744,791.5,73.4095
2013年,5.9269,0.1395,,21.4658,26.0421,4.4368,2.992,0.1515,371.9066,406.8002,31.7501,0.3165,2.7954,0.165,324.6042,366.1366,38.572,717.9766,798.9789,74.7589
2014年,5.8004,0.2496,,20.8793,25.1856,4.0567,2.7613,0.0808,366.667,401.5534,32.0443,0.2038,2.7895,0.123,331.6247,372.8799,38.3427,719.171,799.6189,74.4437
