,其他部门办十二年一贯制普通高中学校数,其他部门办普通高中学校数,其他部门办普通高中完全中学学校数,其他部门办高级中学学校数,农村其他部门办十二年一贯制普通高中学校数,农村其他部门办普通高中学校数,农村其他部门办普通高中完全中学学校数,农村其他部门办高级中学学校数,农村十二年一贯制普通高中学校数,农村地方企业办十二年一贯制普通高中学校数,农村地方企业办普通高中学校数,农村地方企业办普通高中完全中学学校数,农村地方企业办高级中学学校数,农村教育部门办十二年一贯制普通高中学校数,农村教育部门办普通高中学校数,农村教育部门办普通高中完全中学学校数,农村教育部门办高级中学学校数,农村普通高中学校数,农村普通高中完全中学学校数,农村民办十二年一贯制普通高中学校数,农村民办普通高中学校数,农村民办普通高中完全中学学校数,农村民办高级中学学校数,农村高级中学学校数,十二年一贯制普通高中学校数,县镇其他部门办十二年一贯制普通高中学校数,县镇其他部门办普通高中学校数,县镇其他部门办普通高中完全中学学校数,县镇其他部门办高级中学学校数,县镇十二年一贯制普通高中学校数,县镇地方企业办十二年一贯制普通高中学校数,县镇地方企业办普通高中学校数,县镇地方企业办普通高中完全中学学校数,县镇地方企业办高级中学学校数,县镇教育部门办十二年一贯制普通高中学校数,县镇教育部门办普通高中学校数,县镇教育部门办普通高中完全中学学校数,县镇教育部门办高级中学学校数,县镇普通高中学校数,县镇普通高中完全中学学校数,县镇民办十二年一贯制普通高中学校数,县镇民办普通高中学校数,县镇民办普通高中完全中学学校数,县镇民办高级中学学校数,县镇高级中学学校数,地方企业办十二年一贯制普通高中学校数,地方企业办普通高中学校数,地方企业办普通高中完全中学学校数,地方企业办高级中学学校数,城市其他部门办十二年一贯制普通高中学校数,城市其他部门办普通高中学校数,城市其他部门办普通高中完全中学学校数,城市其他部门办高级中学学校数,城市十二年一贯制普通高中学校数,城市地方企业办十二年一贯制普通高中学校数,城市地方企业办普通高中学校数,城市地方企业办普通高中完全中学学校数,城市地方企业办高级中学学校数,城市教育部门办十二年一贯制普通高中学校数,城市教育部门办普通高中学校数,城市教育部门办普通高中完全中学学校数,城市教育部门办高级中学学校数,城市普通高中学校数,城市普通高中完全中学学校数,城市民办十二年一贯制普通高中学校数,城市民办普通高中学校数,城市民办普通高中完全中学学校数,城市民办高级中学学校数,城市高级中学学校数,教育部门办十二年一贯制普通高中学校数,教育部门办普通高中学校数,教育部门办普通高中完全中学学校数,教育部门办高级中学学校数,普通高中学校数,普通高中完全中学学校数,民办十二年一贯制普通高中学校数,民办普通高中学校数,民办普通高中完全中学学校数,民办高级中学学校数,高级中学学校数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49215.0,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40289.0,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300.0,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24447.0,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20874.0,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18876.0,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17318.0,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17318.0,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17111.0,,,,,,
1987年,,,,,,,,,,,,,,,,,,5633.0,,,,,,,,,,,,,,,,,,,,,5969.0,,,,,,,,,,,,,,,,,,,,,,,,5328.0,,,,,,,,,,,16930.0,,,,,,
1988年,,,,,,,,,,,,,,,,,,5393.0,,,,,,,,,,,,,,,,,,,,,5904.0,,,,,,,,,,,,,,,,,,,,,,,,5227.0,,,,,,,,,,,16524.0,,,,,,
1989年,,,,,,,,,,,,,,,,,,4992.0,,,,,,,,,,,,,,,,,,,,,5851.0,,,,,,,,,,,,,,,,,,,,,,,,5207.0,,,,,,,,,,,16050.0,,,,,,
1990年,,,,,,,,,,,,,,,,,,4822.0,,,,,,,,,,,,,,,,,,,,,5828.0,,,,,,,,,,,,,,,,,,,,,,,,5028.0,,,,,,,,,,,15678.0,,,,,,
1991年,,,,,,,,,,,,,,,,,,4313.0,,,,,,,,,,,,,,,,,,,,,5990.0,,,,,,,,,,,,,,,,,,,,,,,,4940.0,,,,,,,,,,,15243.0,,,,,,
1992年,,,,,,,,,,,,,,,,,,4031.0,,,,,,,,,,,,,,,,,,,,,5989.0,,,,,,,,,,,,,,,,,,,,,,,,4830.0,,,,,,,,,,,14850.0,,,,,,
1993年,,,,,,,,,,,,,,,,,,3604.0,,,,,,,,,,,,,,,,,,,,,5983.0,,,,,,,,,,,,,,,,,,,,,,,,4793.0,,,,,,,,,,,14380.0,,,,,,
1994年,,,,,,,,,,,,,,,,,,3358.0,,,,,,,,,,,,,,,,,,,,,5930.0,,,,,,,,,,,,,,,,,,,,,,,,4954.0,,,,,,,,,,,14242.0,,,,,,
1995年,,,,,,,,,,,,,,,,,,3112.0,,,,,,,,,,,,,,,,,,,,,5888.0,,,,,,,,,,,,,,,,,,,,,,,,4991.0,,,,,,,,,,,13991.0,,,,,,
1996年,,,,,,,,,,,,,,,,,,2934.0,,,,,,,,,,,,,,,,,,,,,5902.0,,,,,,,,,,,,,,,,,,,,,,,,5039.0,,,,,,,,,,,13875.0,,,,,,
1997年,,,,,,,,,,,,,,,,,,2807.0,,,,,,,,,,,,,,,,,,,,,5891.0,,,,,,,,,,,,,,,,,,,,,,,,5182.0,,,,,,,,,,,13880.0,,,,,,
1998年,,,,,,,,,,,,,,,,,,2721.0,,,,,,,,,,,,,,,,,,,,,5896.0,,,,,,,,,,,,,,,,,,,,,,,,5331.0,,,,,,,,,,,13948.0,,,,,,
1999年,,,,,,,,,,,,,,,,,,2664.0,,,,,,,,,,,,,,,,,,,,,5942.0,,,,,,,,,,,,,,,,,,,,,,,,5521.0,,,,,,,,,,,14127.0,,,,,,
2000年,,,,,,,,,,,,,,,,,,2629.0,,,,,,,,,,,,,,,,,,,,,6175.0,,,,,,,,,,,,,,,,,,,,,,,,5760.0,,,,,,,,,,,14564.0,,,,,,
2001年,,,,,,,,,,,,,,,,,,2312.0,,,,,,,,,,,,,,,,,,,,,6939.0,,,,,,,,,,,,,,,,,,,,,,,,5656.0,,,,,,,,,,,14907.0,,,,,,
2002年,,,,,,,,,,,,,,,,,,2312.0,,,,,,,,,,,,,,,,,,,,,7098.0,,,,,,,,,,,,,,,,,,,,,,,,5996.0,,,,,,,,,,,15406.0,,,,,,
2003年,,,,,,,,,,,,,,,,,,2288.0,,,,,,,,,,,,,,,,,,,,,7191.0,,,,,,,,,,,,,,,,,,,,,,,,6300.0,,,,,,,,,,,15779.0,,,,,,
2004年,,1101.0,874.0,227.0,,212.0,173.0,39.0,,,,,,,1978.0,1321.0,657.0,2454.0,1690.0,,264.0,196.0,68.0,764.0,,,211.0,165.0,46.0,,,,,,,5909.0,3159.0,2750.0,7169.0,4020.0,,1049.0,696.0,353.0,3149.0,,,,,,678.0,536.0,142.0,,,,,,,4057.0,2521.0,1536.0,6375.0,4127.0,,1640.0,1070.0,570.0,2248.0,,11944.0,7001.0,4943.0,15998.0,9837.0,,2953.0,1962.0,991.0,6161.0
2005年,,901.0,722.0,179.0,,190.0,156.0,34.0,,,,,,,1653.0,1036.0,617.0,2180.0,1454.0,,337.0,262.0,75.0,726.0,,,193.0,142.0,51.0,,,,,,,6306.0,3313.0,2993.0,7661.0,4233.0,,1162.0,778.0,384.0,3428.0,,,,,,518.0,424.0,94.0,,,,,,,4057.0,2457.0,1600.0,6251.0,3952.0,,1676.0,1071.0,605.0,2299.0,,12016.0,6806.0,5210.0,16092.0,9639.0,,3175.0,2111.0,1064.0,6453.0
2006年,,639.0,505.0,134.0,,147.0,119.0,28.0,,,,,,,1639.0,1031.0,608.0,,1432.0,,374.0,282.0,92.0,728.0,,,152.0,110.0,42.0,,,,,,,6653.0,3511.0,3142.0,8086.0,4500.0,,1281.0,879.0,402.0,3586.0,,,,,,340.0,276.0,64.0,,,,,,,3976.0,2420.0,1556.0,5907.0,3727.0,,1591.0,1031.0,560.0,2180.0,,12268.0,6962.0,5306.0,16153.0,9659.0,,3246.0,2192.0,1054.0,6494.0
2007年,,458.0,354.0,104.0,,121.0,99.0,22.0,,,,,,,1482.0,914.0,568.0,1912.0,1246.0,,309.0,233.0,76.0,666.0,,,108.0,74.0,34.0,,,,,,,6341.0,3300.0,3041.0,7637.0,4186.0,,1188.0,812.0,376.0,3451.0,,,,,,229.0,181.0,48.0,,,,,,,4299.0,2481.0,1818.0,6132.0,3698.0,,1604.0,1036.0,568.0,2434.0,,12122.0,6695.0,5427.0,15681.0,9130.0,,3101.0,2081.0,1020.0,6551.0
2008年,,323.0,231.0,92.0,,92.0,72.0,20.0,,,,,,,1402.0,834.0,568.0,1762.0,1105.0,,268.0,199.0,69.0,657.0,,,73.0,43.0,30.0,,,,,,,6304.0,3215.0,3089.0,7526.0,4050.0,,1149.0,792.0,357.0,3476.0,,,,,,158.0,116.0,42.0,,,,,,,4264.0,2413.0,1851.0,5918.0,3500.0,,1496.0,971.0,525.0,2418.0,,11970.0,6462.0,5508.0,15206.0,8655.0,,2913.0,1962.0,951.0,6551.0
