,民族自治地方全社会固定资产投资总额,民族自治地方国有单位固定资产投资额
1978年,,
1979年,,
1980年,,
1981年,,
1982年,,
1983年,,
1984年,,
1985年,,
1986年,,
1987年,,
1988年,,
1989年,,
1990年,,259.4
1991年,,
1992年,,
1993年,,
1994年,,
1995年,1444.0,982.6
1996年,,
1997年,,
1998年,,
1999年,,
2000年,2476.9967,1552.587
2001年,,
2002年,,
2003年,,
2004年,,
2005年,8357.6927,3767.4804
2006年,10564.0,4642.2
2007年,13517.33714,5198.8056
2008年,17285.35368,6655.112
2009年,17285.35368,6655.112
2010年,29875.9183,12045.8391
2011年,38325.0,12437.328464
2012年,43674.8276,15580.1662
2013年,52907.5021,18515.5739
2014年,,
