,民族自治地方公路通车里程,民族自治地方邮电业务总量,民族自治地方邮路及农村投递线路总长度,民族自治地方铁路营业里程
1978年,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0
1990年,29.37,8.6,88.0,1.31
1991年,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0
1995年,33.21,78.0,106.8,1.7
1996年,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0
2000年,42.363454,296.89,109.5212,1.4276
2001年,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0
2005年,58.96,891.8,109.7,1.69
2006年,77.28,1119.1,114.2,1.8
2007年,82.8607465,1435.6068103,110.52205,1.81902
2008年,86.3522338,1803.65431783,115.58742,2.00468
2009年,88.0105971,2141.85875782,123.0557,2.09442
2010年,91.1878676,2456.369447,126.708333,2.123531
2011年,96.1396675,1191.5729158,139.1797,2.300167
2012年,102.4560926,1322.109256,161.235195,2.367907
2013年,102.9891118,1526.58089208,190.314092,2.52234
2014年,0.0,0.0,0.0,0.0
