,民族自治地方社会消费品零售总额
1978年,
1979年,
1980年,
1981年,
1982年,
1983年,
1984年,
1985年,
1986年,
1987年,
1988年,
1989年,
1990年,681.8
1991年,
1992年,
1993年,
1994年,
1995年,1692.3
1996年,
1997年,
1998年,
1999年,
2000年,2569.84219
2001年,
2002年,
2003年,
2004年,
2005年,4874.2
2006年,5665.3
2007年,6712.41745
2008年,8243.06867
2009年,9857.146002
2010年,11685.32736
2011年,13780.5050184
2012年,15930.133309
2013年,17881.916468
2014年,
