,民族自治地方财政支出,民族自治地方财政收入
1978年,0.0,0.0
1979年,0.0,0.0
1980年,0.0,0.0
1981年,0.0,0.0
1982年,0.0,0.0
1983年,0.0,0.0
1984年,0.0,0.0
1985年,0.0,0.0
1986年,0.0,0.0
1987年,0.0,0.0
1988年,0.0,0.0
1989年,0.0,0.0
1990年,304.4,166.7
1991年,0.0,0.0
1992年,0.0,0.0
1993年,0.0,0.0
1994年,0.0,0.0
1995年,595.1,248.1
1996年,0.0,0.0
1997年,0.0,0.0
1998年,0.0,0.0
1999年,0.0,0.0
2000年,1172.89784,475.5399
2001年,0.0,0.0
2002年,0.0,0.0
2003年,0.0,0.0
2004年,0.0,0.0
2005年,3050.437,1026.3526
2006年,3732.9,1281.0
2007年,4905.1909,1660.7909
2008年,6496.7311,2099.8825
2009年,6496.7311,2099.8825
2010年,10511.52636,3256.9944
2011年,13588.74422,4276.35737
2012年,16070.7994,5220.35645
2013年,17461.38804,6101.04829
2014年,0.0,0.0
