,民族自治地方农林牧渔总产值,民族自治地方大牲畜年底头数,民族自治地方棉花产量,民族自治地方油料产量,民族自治地方灌溉面积,民族自治地方猪年底头数,民族自治地方粮食产量,民族自治地方羊年底头数,民族自治地方耕地面积
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,,,,,,,,,
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,,,,,,,,,
1986年,,,,,,,,,
1987年,,,,,,,,,
1988年,,,,,,,,,
1989年,,,,,,,,,
1990年,,5286.0,47.0,208.0,764.0,5668.0,5373.0,11362.0,1763.0
1991年,,,,,,,,,
1992年,,,,,,,,,
1993年,,,,,,,,,
1994年,,,,,,,,,
1995年,2536.6,5618.0,94.6,264.0,838.0,7240.0,5801.0,11906.0,1508.0
1996年,,,,,,,,,
1997年,,,,,,,,,
1998年,,,,,,,,,
1999年,,,,,,,,,
2000年,3199.772531,5565.947,146.2351,353.162295,935.70194,8200.842,6381.356197,13075.8445,2086.4437
2001年,,,,,,,,,
2002年,,,,,,,,,
2003年,,,,,,,,,
2004年,,,,,,,,,
2005年,5349.471615,6152.6251,187.92951,372.021856,1027.40782,8526.4393,7186.776768,16390.8288,2033.133455
2006年,5905.8,6265.1,219.5,359.5,1050.0,8143.9,7202.1,16459.7,2087.6
2007年,7103.645079,5745.1795,302.141012,286.540051,1097.28364,7868.8837,7324.780878,15296.2524,2282.126
2008年,8260.449885,5598.5962,303.33963,396.600293,1114.1615,7696.787,7925.385821,14466.9987,2302.55307
2009年,8260.449885,5598.5962,303.33963,396.600293,1114.1615,7696.787,7925.385821,14466.9987,2302.55307
2010年,10374.442211,6067.8395,248.46636,422.400995,1156.219893,8141.2187,8307.912924,14885.2323,2380.47622
2011年,12125.670481,6023.70098,290.42125,416.64584365,1186.01150333,8098.9258,8691.2372959,14667.6275,2375.65994
2012年,13631.275064,5485.6225,354.53683,454.671307,1235.25106,8554.59691,9141.599067,15130.6337,2374.56882
2013年,17135.496084,5368.2969,352.46145,478.589826,1652.7935,8511.1796,9580.34689,15149.47547,2589.609
2014年,,,,,,,,,
