,民族自治地方县级区划数,民族自治地方县级市数,民族自治地方地级区划数,民族自治地方地级市数,民族自治地方自治县(旗)数,民族自治地方自治州数
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,646.0,57.0,76.0,14.0,,
1993年,645.0,62.0,77.0,15.0,,
1994年,643.0,65.0,77.0,16.0,,
1995年,641.0,65.0,78.0,17.0,,
1996年,644.0,73.0,78.0,17.0,,
1997年,643.0,73.0,78.0,18.0,,
1998年,642.0,72.0,77.0,19.0,,
1999年,635.0,70.0,77.0,20.0,,
2000年,699.0,70.0,77.0,20.0,,
2001年,699.0,68.0,77.0,23.0,,
2002年,699.0,68.0,76.0,28.0,,
2003年,699.0,66.0,77.0,31.0,,
2004年,699.0,66.0,77.0,31.0,120.0,30.0
2005年,699.0,66.0,77.0,31.0,120.0,30.0
2006年,699.0,66.0,77.0,31.0,120.0,30.0
2007年,698.0,65.0,77.0,31.0,120.0,30.0
2008年,698.0,65.0,77.0,31.0,120.0,30.0
2009年,698.0,65.0,77.0,31.0,120.0,30.0
2010年,698.0,65.0,77.0,31.0,120.0,30.0
2011年,698.0,65.0,77.0,31.0,120.0,30.0
2012年,702.0,68.0,77.0,31.0,120.0,30.0
2013年,705.0,72.0,77.0,31.0,120.0,30.0
2014年,,,,,,
