,乡办农村成人文化技术培训学校(机构)教职工数,其他培训机构(含社会培训机构)教职工数,其他部门办其他培训机构(含社会培训机构)教职工数,其他部门办农村成人文化技术培训学校(机构)教职工数,其他部门办职工技术培训学校(机构)教职工数,农村成人文化技术培训学校(机构)教职工数,县办农村成人文化技术培训学校(机构)教职工数,教育部门和集体办其他培训机构(含社会培训机构)教职工数,教育部门和集体办农村成人文化技术培训学校(机构)教职工数,教育部门和集体办职工技术培训学校(机构)教职工数,村办农村成人文化技术培训学校(机构)教职工数,民办其他培训机构(含社会培训机构)教职工数,民办农村成人文化技术培训学校(机构)教职工数,民办职工技术培训学校(机构)教职工数,职业技术培训机构教职工数,职工技术培训学校(机构)教职工数
1978年,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,
2004年,8.5514,20.932,2.13,0.6979,1.2161,27.0515,1.179,1.3954,26.0128,1.7116,16.2824,17.4066,0.3408,0.5422,51.4534,3.4699
2005年,7.6068,22.4957,1.1518,0.6397,0.9644,25.0694,1.0699,1.491,23.2963,2.8377,14.6196,19.8529,1.1334,1.2568,52.624,5.0589
2006年,7.3077,23.1856,1.8925,0.4098,1.0824,23.2579,1.1789,1.2295,22.488,1.9251,14.0014,20.0636,0.3601,1.2498,50.7008,4.2573
2007年,7.294,23.8863,1.3648,0.6162,1.342,22.3665,1.1562,1.2526,21.4201,4.0432,12.9699,21.2689,0.3302,1.1622,52.8002,6.5474
2008年,7.176,23.2623,1.9321,0.4452,1.1383,21.8263,1.4314,1.4286,21.0189,2.464,12.4115,19.9016,0.3622,0.8939,49.5848,4.4962
2009年,6.8515,23.7369,1.3146,0.5258,1.2793,21.2637,1.5768,1.5544,20.4197,2.4351,11.9914,20.8679,0.3182,0.8735,49.5885,4.5879
2010年,7.0711,23.6024,1.642,0.4907,1.2131,19.016,1.6173,1.1352,18.3029,2.691,9.6145,20.8252,0.2224,0.7883,47.3108,4.6924
2011年,6.7599,26.5765,1.7557,0.3432,1.2473,18.8523,1.7877,1.0872,18.0779,4.582,9.5303,23.7336,0.4312,0.9177,52.1758,6.747
2012年,6.0357,27.6313,2.6878,0.4139,1.2286,17.0322,1.7208,1.5414,16.1422,4.0213,8.3857,23.4021,0.4761,0.7475,50.6609,5.9974
2013年,5.8825,25.282,2.5198,0.6083,1.2464,16.7308,2.0098,1.2943,15.6599,3.9387,7.7676,21.4679,0.4626,1.0232,48.2211,6.2083
2014年,,,,,,,,,,,,,,,,
