,乡办农村成人文化技术培训学校(机构)结业学生数,其他培训机构(含社会培训机构)结业学生数,其他部门办其他培训机构(含社会培训机构)结业学生数,其他部门办农村成人文化技术培训学校(机构)结业学生数,其他部门办职工技术培训学校(机构)结业学生数,农村成人文化技术培训学校(机构)结业学生数,县办农村成人文化技术培训学校(机构)结业学生数,教育部门和集体办其他培训机构(含社会培训机构)结业学生数,教育部门和集体办农村成人文化技术培训学校(机构)结业学生数,教育部门和集体办职工技术培训学校(机构)结业学生数,村办农村成人文化技术培训学校(机构)结业学生数,民办其他培训机构(含社会培训机构)结业学生数,民办农村成人文化技术培训学校(机构)结业学生数,民办职工技术培训学校(机构)结业学生数,职业技术培训机构毕(结)业生数,职工技术培训学校(机构)结业学生数
1978年,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,
2004年,2045.4879,801.7676,127.158,197.5456,90.5512,5127.1952,210.191,71.9832,4921.2599,138.9329,2665.581,602.6264,8.3897,18.5434,6176.9903,248.0275
2005年,2005.3644,947.6408,88.0572,72.6818,61.228,4793.1805,124.6986,99.9029,4687.046,105.3748,2556.983,759.6807,33.4527,26.7639,5934.188,193.3667
2006年,1978.9469,987.8497,117.9261,82.7263,84.3502,4520.5798,134.2845,82.6118,4427.7451,108.1323,2314.5137,787.3118,10.1084,32.7036,5733.6156,225.1861
2007年,2108.8784,1068.1633,118.0704,99.5351,118.5371,4670.3495,121.4242,74.7817,4553.7481,111.8186,2323.4455,875.3112,17.0663,34.3078,6003.1763,264.6635
2008年,2047.7025,1093.4588,203.237,90.7119,133.6952,4358.2242,150.6701,118.3997,4241.0674,104.8307,2042.6948,771.8221,26.4449,30.7866,5720.9955,269.3125
2009年,1910.559,997.0498,153.3502,93.9607,140.0435,4130.668,181.3254,88.1532,4007.1766,136.0823,1915.2922,755.5464,29.5307,26.6689,5430.5125,302.7947
2010年,1829.8556,1132.5286,208.0117,91.8546,128.8757,3813.0624,262.8363,91.6663,3711.7096,148.3101,1619.0177,832.8506,9.4982,29.5153,5252.2921,306.7011
2011年,1834.2746,1021.6106,179.557,97.4045,114.031,3794.6868,309.2944,99.1477,3679.1291,180.37,1535.5601,742.9059,18.1532,35.8892,5146.5876,330.2902
2012年,1644.5494,965.5622,146.0309,133.4033,128.8111,3563.1908,355.231,87.6231,3407.6594,140.3178,1407.879,731.9082,22.1281,25.4786,4823.3605,294.6075
2013年,1576.9477,1005.003,152.7813,200.1394,124.6713,3416.0351,309.4009,111.6926,3189.0903,142.4911,1302.7417,740.5291,26.8054,27.3963,4715.5968,294.5587
2014年,,,,,,,,,,,,,,,4479.5293,
