,中型工业企业产成品,中外合作经营工业企业产成品,中外合资经营工业企业产成品,其他外商投资工业企业产成品,其他工业企业产成品,其他有限责任公司工业企业产成品,其他港澳台商投资工业企业产成品,其他联营工业企业产成品,内资工业企业产成品,合作经营(港或澳、台资)工业企业产成品,合资经营(港或澳、台资)工业企业产成品,国有与集体联营工业企业产成品,国有工业企业产成品,国有独资公司工业企业产成品,国有联营工业企业产成品,外商投资工业企业产成品,外商投资股份有限公司工业企业产成品,外资工业企业产成品,大型工业企业产成品,小型工业企业产成品,工业企业产成品,有限责任公司工业企业产成品,港、澳、台商投资工业企业产成品,港澳台商投资股份有限公司工业企业产成品,港澳台商独资经营工业企业产成品,私营合伙工业企业产成品,私营工业企业产成品,私营有限责任公司工业企业产成品,私营独资工业企业产成品,私营股份有限公司工业企业产成品,联营工业企业产成品,股份合作工业企业产成品,股份有限公司工业企业产成品,轻工业企业产成品,重工业企业产成品,集体工业企业产成品,集体联营工业企业产成品
2003年,2771.15901,54.15677,659.7382,,8.39172,1226.42452,,9.65507,5594.84291,73.30693,435.60272,21.19825,1103.46895,512.44752,22.27293,1105.37453,39.67393,351.80563,2060.66733,2774.42339,7606.24973,1738.87204,906.03229,31.07942,366.04322,41.47091,1082.2266,747.09901,220.69479,72.96189,62.19601,198.53701,922.72292,3074.48497,4531.76476,478.42766,9.06976
2004年,3324.84,72.73,869.29,,6.73,1831.25,,7.73,6618.83,59.94,537.95,12.04,907.07,435.04,20.96,1688.67,87.05,659.59,2472.15,3661.51,9458.5,2266.3,1151.0,47.97,505.15,42.29,1671.5,1338.34,202.67,88.2,45.73,146.63,1215.29,3555.04,5903.46,359.6,5.0
2005年,3891.94074,66.39333,976.07535,,24.56127,2324.27926,,9.11775,7829.31937,56.37785,580.03391,12.86835,914.29504,605.00472,28.02793,1928.91447,84.13587,802.30992,3134.01766,4061.6242,11087.5826,2929.28398,1329.34876,50.63596,642.30104,53.08705,2198.27046,1764.54668,262.56886,118.06787,55.59287,151.33307,1198.42014,4084.657,7002.9256,357.56254,5.57884
2006年,4574.45,62.64,1203.94,,22.05,2762.92,,6.93,9186.74,61.64,673.84,12.7,991.72,648.69,29.82,2427.82,104.76,1056.47,3767.32,4799.59,13141.36,3411.6,1526.8,50.3,741.02,64.51,2877.73,2285.69,358.9,168.63,56.02,147.6,1354.4,4699.45,8441.91,325.62,6.57
2007年,5657.49306,82.23439,1464.26534,,45.78376,3368.89022,,9.61444,11161.51606,65.51183,795.87715,12.59845,1023.49401,803.75827,30.0616,3026.77549,125.5595,1354.71626,4588.00718,5778.86932,16024.36956,4172.64849,1836.07801,64.85815,909.83088,82.10442,3762.25384,3047.58266,428.32934,204.23742,57.72289,153.24985,1588.56304,5774.45924,10249.91032,357.80018,5.4484
2008年,6628.07362,69.31743,1791.9814,,64.03362,3928.23458,,8.70827,13736.70254,52.35581,899.60779,7.25572,1308.09785,764.3839,30.58243,3672.0825,158.13121,1652.65246,5599.18674,7291.68589,19518.94625,4692.61848,2110.16121,72.19921,1085.9984,99.45164,5115.35427,4067.27571,620.84454,327.78238,51.95432,155.4618,2081.93193,6604.45642,12914.48983,267.25027,5.4079
2009年,6842.5634,62.99613,1696.93822,,83.67428,4189.53148,,5.46332,14860.38863,50.96039,839.76719,7.55524,1210.07623,884.25829,29.68728,3534.94196,145.572,1629.43561,5606.03371,8046.41545,20495.01256,5073.78977,2099.68197,80.66085,1128.29354,113.34424,5876.1211,4669.03292,715.60757,378.13637,48.60777,144.65615,2151.03039,6985.43957,13509.57299,272.43294,5.90193
2010年,8005.54153,78.90774,1964.17306,,76.61019,5098.4793,,3.9686,17252.99758,56.33094,933.77075,9.87333,1324.91386,1118.35222,29.34739,4144.38733,184.82817,1916.47836,7460.18511,8375.42087,23841.14751,6216.83152,2443.7626,92.20245,1361.45846,118.49981,6601.1743,5251.00177,777.2692,454.40352,49.80375,140.28464,2566.23958,8031.24276,15809.90475,277.13974,6.61443
2011年,7810.77639,85.54627,2293.66128,5.29112,287.01606,6358.42872,5.24973,8.5743,20504.98003,57.82681,1141.8008,15.20565,1531.64875,1123.24722,30.00381,4941.002,196.36674,2360.13659,11724.48467,8943.37853,28478.63959,7481.67594,3032.65756,123.36062,1704.4196,111.33314,7388.26305,5933.4421,748.03824,595.44957,61.03054,138.9991,3333.58422,9360.78201,19117.85758,282.76237,7.24678
2012年,8614.76838,105.19891,2280.85564,7.76683,437.85142,7561.07166,8.84819,5.44391,23719.61757,71.46603,1214.97781,9.72242,1751.86524,1204.31423,19.10905,4996.50963,180.86552,2421.82273,12844.20417,10460.22214,31919.19469,8765.38589,3203.06749,137.4784,1770.29706,120.79922,8659.62083,7064.90973,781.73408,692.1778,42.79177,162.57827,3634.50009,10694.85119,21224.3435,265.02406,8.51639
2013年,9236.82,91.59,2342.72,9.81,75.59,8838.94,3.57,2.58,26145.93,54.27,1253.69,2.03,1126.13,1552.34,10.09,5048.97,178.65,2426.21,13654.75,11644.23,34535.8,10391.28,3340.9,149.79,1879.59,59.28,10101.74,8815.7,370.58,856.18,18.74,61.68,4147.35,11728.8,22807.0,223.42,4.05
2014年,10102.88,93.58,2522.97,12.68,70.87,10151.77,3.99,2.13,29336.51,56.08,1352.96,2.42,1083.16,1788.14,8.33,5451.02,185.98,2635.81,14864.05,13392.58,38359.51,11939.91,3571.97,151.8,2007.14,52.52,11435.32,10089.95,345.48,947.37,16.17,55.02,4499.1,12902.58,25456.93,236.97,3.28
