,中型工业企业国家资本金,中外合作经营工业企业国家资本金,中外合资经营工业企业国家资本金,其他外商投资工业企业国家资本金,其他工业企业国家资本金,其他有限责任公司工业企业国家资本金,其他港澳台商投资工业企业国家资本金,其他联营工业企业国家资本金,内资工业企业国家资本金,合作经营(港或澳、台资)工业企业国家资本金,合资经营(港或澳、台资)工业企业国家资本金,国有与集体联营工业企业国家资本金,国有工业企业国家资本金,国有独资公司工业企业国家资本金,国有联营工业企业国家资本金,外商投资工业企业国家资本金,外商投资股份有限公司工业企业国家资本金,外资工业企业国家资本金,大型工业企业国家资本金,小型工业企业国家资本金,工业企业国家资本金,有限责任公司工业企业国家资本金,港、澳、台商投资工业企业国家资本金,港澳台商投资股份有限公司工业企业国家资本金,港澳台商独资经营工业企业国家资本金,私营合伙工业企业国家资本金,私营工业企业国家资本金,私营有限责任公司工业企业国家资本金,私营独资工业企业国家资本金,私营股份有限公司工业企业国家资本金,联营工业企业国家资本金,股份合作工业企业国家资本金,股份有限公司工业企业国家资本金,轻工业企业国家资本金,重工业企业国家资本金,集体工业企业国家资本金,集体联营工业企业国家资本金
2003年,4219.45388,54.74693,412.32799,,3.82195,1674.44099,,6.50102,12667.23045,49.7871,280.09989,18.90794,6533.62274,2587.78496,87.25079,532.76798,64.4747,1.21836,7220.59363,2121.0728,13561.12031,4262.22595,361.12188,28.97527,2.25962,1.20798,15.53924,9.2936,2.65715,2.38051,114.34667,32.51072,1667.59854,2561.71861,10999.4017,37.56464,1.68692
2004年,6641.98,47.87,510.61,,4.18,1902.28,,1.84,15997.93,24.17,218.58,10.27,9028.57,3130.01,64.2,654.8,94.8,1.51,7707.38,2597.5,16946.87,5032.29,294.14,48.26,3.13,0.96,18.42,12.35,2.29,2.81,77.44,19.97,1791.82,2512.63,14434.24,25.23,1.13
2005年,5808.70888,62.66892,439.88955,,4.81194,1646.2753,,1.97791,14738.03845,24.52623,190.01248,9.50398,7904.55499,2998.15077,68.76775,557.65381,52.6326,2.46274,7719.39598,2023.73667,15551.84153,4644.42607,256.14927,39.45583,2.15473,0.51658,26.43487,20.80137,3.1833,1.93362,81.21885,15.84309,2040.46904,2289.80248,13262.03905,20.2796,0.96921
2006年,5930.58,24.76,601.32,,5.3,2068.24,,1.56,15858.73,41.17,167.79,5.06,7662.06,3693.83,78.1,725.9,94.79,5.03,8939.36,2063.57,16933.51,5762.07,348.88,60.56,79.36,0.45,25.85,21.13,1.72,2.55,84.74,19.82,2285.76,2141.85,14791.66,13.13,0.03
2007年,6057.50089,58.88131,784.40627,,4.77263,2172.91064,,2.54058,16250.13956,41.2883,279.78339,6.56729,7375.22798,3560.3059,93.35628,952.69289,107.41146,1.99385,9590.83707,1940.58133,17588.91929,5733.21654,386.08684,63.80327,1.21188,0.46158,31.22013,22.04228,2.54901,6.16726,102.80152,14.86777,2980.52447,1884.37774,15704.54155,7.50852,0.33737
2008年,8541.63369,41.71451,839.67402,,6.97949,2871.0815,,2.25107,21515.3426,43.51426,218.3247,9.75772,9942.63958,3411.03933,51.23526,943.41955,52.54547,9.48555,11978.81623,2338.81721,22859.26713,6282.12083,400.50498,28.38669,110.27933,1.16148,50.25894,33.12052,8.62284,7.3541,68.9921,25.61421,5125.80165,1992.86455,20866.40258,12.9358,5.74805
2009年,7136.29732,21.3703,872.55484,,6.88112,3509.16354,,1.67067,19880.51313,53.19776,200.65322,6.26198,7663.70087,3397.57254,29.40602,1091.98063,189.95932,8.09617,11840.36641,2344.35301,21321.01674,6906.73608,348.52298,61.41319,33.25881,0.6193,73.29882,52.82236,15.87052,3.98664,37.59683,34.7865,5145.38131,2030.46661,19290.55013,12.1316,0.25816
2010年,7241.34355,47.35852,846.5574,,11.86729,3826.45878,,0.90766,18997.81598,69.87163,226.9716,9.18001,8192.91903,3220.2489,23.78106,1086.22043,171.28544,21.01907,10863.57783,2299.45131,20404.37269,7046.70768,320.33628,10.33399,13.15906,3.88854,86.98913,62.14524,14.7332,6.22215,34.03173,22.67334,3587.36585,2026.42546,18377.94723,15.26193,0.163
2011年,4305.61781,55.09935,1017.53115,,58.44814,3721.00624,,1.04212,21158.81328,41.16567,254.29029,11.36125,7911.79303,3365.0987,32.52504,1131.60011,32.60468,26.36493,16086.56001,2209.20334,22601.38116,7086.10494,310.96777,7.55755,7.95426,1.80677,87.33503,54.85782,23.21263,7.45781,44.96841,25.40114,5935.14806,2164.13725,20437.24391,9.61453,0.04
2012年,6249.66615,84.58762,1149.60355,,162.53519,5061.31171,0.02173,3.80513,27239.7386,45.22499,329.49301,15.84366,9976.5144,4114.35309,31.83261,1520.40127,250.87295,35.33715,19587.91605,3390.34345,29227.92565,9175.6648,467.78578,39.87689,53.16916,3.70038,131.94212,88.8743,29.20436,10.16308,54.5413,58.50415,7666.20117,2381.81012,26846.11553,13.83547,3.0599
2013年,6615.43,86.83,1442.0,0.77,41.5,9188.05,1.68,1.45,32187.45,58.3,480.35,3.3,6940.54,7271.9,6.96,1869.64,243.38,96.66,23137.33,4942.2,34694.96,16459.95,637.88,30.19,67.36,1.62,150.78,126.87,7.14,15.15,11.73,1.83,8573.79,2832.34,31862.63,7.33,0.03
2014年,7515.74,78.76,1589.63,1.0,68.43,11619.22,0.2,1.45,36758.66,59.26,620.25,2.84,7027.14,8263.39,12.44,1896.43,147.21,79.83,25971.8,5982.68,39470.22,19882.61,815.13,25.51,109.91,1.49,178.38,150.3,4.33,22.26,16.74,0.85,9495.23,3093.77,36376.45,89.29,0.01
