,中型工业企业存货,中外合作经营工业企业存货,中外合资经营工业企业存货,其他外商投资工业企业存货,其他工业企业存货,其他有限责任公司工业企业存货,其他港澳台商投资工业企业存货,其他联营工业企业存货,内资工业企业存货,合作经营(港或澳、台资)工业企业存货,合资经营(港或澳、台资)工业企业存货,国有与集体联营工业企业存货,国有工业企业存货,国有独资公司工业企业存货,国有联营工业企业存货,外商投资工业企业存货,外商投资股份有限公司工业企业存货,外资工业企业存货,大型工业企业存货,小型工业企业存货,工业企业存货,有限责任公司工业企业存货,港、澳、台商投资工业企业存货,港澳台商投资股份有限公司工业企业存货,港澳台商独资经营工业企业存货,私营合伙工业企业存货,私营工业企业存货,私营有限责任公司工业企业存货,私营独资工业企业存货,私营股份有限公司工业企业存货,联营工业企业存货,股份合作工业企业存货,股份有限公司工业企业存货,轻工业企业存货,重工业企业存货,集体工业企业存货,集体联营工业企业存货
2004年,9535.05,229.87,2623.51,0.0,14.56,4982.51,0.0,18.95,18513.22,187.36,1419.93,26.06,3583.67,1555.68,71.98,5474.23,270.14,2350.72,8879.45,9100.79,27515.29,6538.19,3527.83,167.37,1753.17,91.97,3860.66,3108.55,437.81,222.33,128.58,317.71,3260.56,9684.17,17831.12,809.29,11.59
2005年,10572.02101,234.64986,2860.29308,0.0,59.50833,5934.45952,0.0,17.71841,21285.70697,181.92509,1499.69441,26.73878,3822.75767,2097.60482,92.67946,6118.18631,231.00862,2792.23475,11307.50479,9499.54649,31379.07229,8032.06434,3975.17901,239.28637,2054.27314,108.60995,4709.31566,3805.25045,532.70766,262.7476,149.94313,323.64023,3424.37563,10729.11389,20649.9584,764.10198,12.80648
2006年,12590.39,226.12,3363.95,0.0,50.29,7159.14,0.0,20.68,24831.32,205.39,1666.59,25.52,4030.98,2306.08,97.78,7610.36,291.19,3729.11,13198.51,11210.36,36999.26,9465.22,4557.58,179.82,2505.77,137.83,6198.77,4989.86,719.44,351.64,157.08,320.64,3856.69,12345.45,24653.81,751.66,13.09
2007年,15394.93,276.50831,4222.65547,0.0,115.4867,8753.34877,0.0,25.52168,30162.43105,217.11763,1982.95477,23.80696,4267.7465,2998.49135,102.67289,9572.81125,386.27565,4687.37182,16444.6786,13449.04469,45288.65329,11751.84012,5553.41099,311.93307,3041.40552,163.76765,8122.13787,6639.74926,842.1983,476.42266,163.63987,343.41835,4616.77693,14833.99387,30454.65942,781.38471,11.63834
2008年,17731.15281,245.51277,4734.84039,0.0,155.98478,10948.90197,0.0,22.22757,37307.33664,176.73041,2184.99665,21.15297,4941.59611,3077.41575,121.38736,10745.95934,419.10999,5346.49619,19094.44722,17282.95558,54108.55561,14026.31772,6055.25963,252.69135,3440.84122,206.60185,11220.3335,9017.09208,1247.31632,749.32325,175.75926,323.62534,5824.08745,16601.095,37507.46061,639.63248,10.99136
2009年,18023.76045,249.71913,4582.39914,0.0,202.9102,11594.12064,0.0,14.09656,40255.07077,171.43041,2225.75049,16.24733,5208.03253,3660.51356,108.98128,10290.9732,381.45582,5077.39911,20700.70512,18000.33824,56724.80381,15254.6342,6178.75984,356.54353,3425.03541,217.14369,12275.98271,9878.8776,1303.49122,876.4702,151.90411,304.8077,6268.74911,17596.29997,39128.50384,588.05021,12.57894
2010年,22247.39774,295.26688,5626.63206,0.0,198.67339,14886.35736,0.0,11.19862,49166.28002,203.80152,2649.66356,20.46306,6127.168,4187.49538,115.71971,13109.13362,584.97642,6602.25826,27258.02048,20284.67809,69790.09631,19073.85274,7514.68267,461.42335,4199.79424,238.26419,15004.16383,12104.71619,1519.43622,1141.74723,161.70402,339.16981,7618.08683,21075.92834,48714.16797,643.4614,14.32263
2011年,20063.31701,319.54078,6244.50517,18.13425,697.29377,17996.45786,14.30351,19.42345,57507.90315,186.8863,3161.02218,27.93414,7030.32726,4300.19856,90.3902,14562.6177,637.93034,7342.50716,39489.30265,21030.52657,80583.14623,22296.65642,8512.62538,444.0171,4706.39629,205.31928,16614.13669,13582.9457,1426.00548,1399.86623,152.15553,295.5806,9798.43641,23720.4744,56862.67183,623.31647,14.40774
2012年,21898.60804,342.97086,6068.90368,24.548,936.71408,20951.99052,20.89175,11.68905,64813.88893,215.08653,3227.24066,18.57676,7649.9698,4363.58119,45.05332,14368.8397,582.63323,7349.78393,42093.76574,24332.27798,88324.65176,25315.57171,9141.92313,555.92893,5122.77526,232.26161,19166.29701,15763.92179,1533.48548,1636.62813,91.27706,336.86994,10705.71837,26783.49601,61541.15575,611.47096,15.95793
2013年,23834.1,319.06,6438.92,26.13,167.91,25481.58,10.56,5.31,72720.16,196.3,3348.08,5.05,4983.57,6001.79,26.87,14822.61,577.56,7460.95,45154.92,28130.19,97119.22,31483.37,9576.44,598.78,5422.73,112.97,23118.89,20347.42,710.3,1948.2,43.63,138.43,12324.77,30433.56,66685.66,459.6,6.41
2014年,24637.28,280.85,6624.05,57.04,146.73,28512.4,8.58,3.75,78034.08,212.64,3310.09,4.41,4611.15,6527.05,17.85,15067.13,563.67,7541.52,47426.81,30810.3,102874.39,35039.45,9773.17,467.98,5773.89,97.88,25066.17,22198.71,661.99,2107.6,30.83,126.14,12517.01,32816.48,70057.91,496.61,4.81
