,中型工业企业单位数,中外合作经营工业企业单位数,中外合资经营工业企业单位数,其他外商投资工业企业单位数,其他工业企业单位数,其他有限责任公司工业企业单位数,其他港澳台商投资工业企业单位数,其他联营工业企业单位数,内资工业企业单位数,合作经营(港或澳、台资)工业企业单位数,合资经营(港或澳、台资)工业企业单位数,国有与集体联营工业企业单位数,国有工业企业单位数,国有独资公司工业企业单位数,国有联营工业企业单位数,外商投资工业企业单位数,外商投资股份有限公司工业企业单位数,外资工业企业单位数,大型工业企业单位数,小型工业企业单位数,工业企业单位数,有限责任公司工业企业单位数,港、澳、台商投资工业企业单位数,港澳台商投资股份有限公司工业企业单位数,港澳台商独资经营工业企业单位数,私营合伙工业企业单位数,私营工业企业单位数,私营有限责任公司工业企业单位数,私营独资工业企业单位数,私营股份有限公司工业企业单位数,联营工业企业单位数,股份合作工业企业单位数,股份有限公司工业企业单位数,轻工业企业单位数,重工业企业单位数,集体工业企业单位数,集体联营工业企业单位数
1978年,,,,,,,,,,,,,83700.0,,,,,,,,348400.0,,,,,,,,,,,,,,,264700.0,
1979年,,,,,,,,,,,,,83800.0,,,,,,,,300692.0,,,,,,,,,,,,,,,271200.0,
1980年,,,,,,,,,,,,,83400.0,,,,,,,,377300.0,,,,,,,,,,,,,,,293500.0,
1981年,,,,,,,,,,,,,84200.0,,,,,,,,334228.0,,,,,,,,,,,,,,,296800.0,
1982年,,,,,,,,,,,,,86000.0,,,,,,,,344221.0,,,,,,,,,,,,,,,301900.0,
1983年,,,,,,,,,,,,,87100.0,,,,,,,,348733.0,,,,,,,,,,,,,,,304600.0,
1984年,,,,,,,,,,,,,84100.0,,,,,,,,385165.0,,,,,,,,,,,,,,,352100.0,
1985年,,,,,,,,,,,,,93700.0,,,,,,,,463200.0,,,,,,,,,,,,,,,1742100.0,
1986年,,,,,,,,,,,,,96800.0,,,,,,,,421966.0,,,,,,,,,,,,,,,1823000.0,
1987年,,,,,,,,,,,,,97600.0,,,,,,,,417904.0,,,,,,,,,,,,,,,1819300.0,
1988年,7498.0,,,,,,,,,,,,99100.0,,,,,,3178.0,410253.0,420929.0,,,,,,,,,,,,,227995.0,192934.0,1853000.0,
1989年,8505.0,,,,,,,,,,,,102300.0,,,,,,3657.0,407809.0,419971.0,,,,,,,,,,,,,225574.0,194397.0,1747000.0,
1990年,9450.0,,,,,,,,,,,,104400.0,,,,,,3965.0,403667.0,504000.0,,,,,,,,,,,,,223572.0,193510.0,1668500.0,
1991年,10687.0,,,,,,,,,,,,104700.0,,,,,,4257.0,403925.0,418869.0,,,,,,,,,,,,,224609.0,194260.0,1577200.0,
1992年,13003.0,,,,,,,,,,,,103300.0,,,,,,3900.0,391086.0,407989.0,,,,,,,,,,,,,216366.0,191623.0,1640600.0,
1993年,14156.0,,,,,,,,,,,,104700.0,,,,,,4583.0,430477.0,449216.0,,,,,,,,,,,,,227985.0,221231.0,1803600.0,
1994年,,,,,,,,,,,,,102200.0,,,,,,,,465239.0,,,,,,,,,,,,,,,1863000.0,
1995年,,,,,,,,,,,,,118000.0,,,,,,,,592000.0,,,,,,,,,,,,,,,1475000.0,
1996年,,,,,,,,,,,,,113800.0,,,,,,,,579000.0,,,,,,,,,,,,,,,1591800.0,
1997年,,,,,,,,,,,,,98600.0,,,,,,,,534000.0,,,,,,,,,,,,,,,1772300.0,
1998年,15850.0,,,,,,,,,,,,64700.0,,,10717.0,,,7558.0,141672.0,165080.0,,15725.0,,,,10667.0,,,,,,4120.0,83738.0,81342.0,47745.0,
1999年,14371.0,,,,245.0,,,,135196.0,,,1091.0,50651.0,1026.0,462.0,11054.0,,,7864.0,139798.0,162000.0,9714.0,15783.0,,,,14601.0,,,,2771.0,10149.0,4480.0,81820.0,80213.0,42585.0,827.0
2000年,13741.0,1005.0,7108.0,,382.0,11989.0,,401.0,134440.0,2025.0,8303.0,954.0,42426.0,1226.0,419.0,11955.0,112.0,3730.0,7983.0,141161.0,162885.0,13215.0,16490.0,166.0,5996.0,2172.0,22128.0,8240.0,10673.0,1043.0,2510.0,10852.0,5086.0,81902.0,80983.0,37841.0,736.0
2001年,14398.0,933.0,7474.0,,321.0,17584.0,,382.0,139833.0,2188.0,8604.0,829.0,34530.0,1372.0,384.0,13166.0,145.0,4614.0,8589.0,148269.0,171000.0,18956.0,18257.0,207.0,7258.0,2803.0,36218.0,17695.0,13986.0,1734.0,2234.0,10864.0,5692.0,86705.0,84551.0,31018.0,639.0
2002年,14571.0,983.0,8047.0,,348.0,21137.0,,355.0,147091.0,2153.0,8828.0,733.0,29449.0,1349.0,330.0,14920.0,173.0,5717.0,8752.0,158234.0,182000.0,22486.0,19546.0,216.0,8349.0,3574.0,49176.0,26195.0,17166.0,2241.0,1964.0,10193.0,5998.0,92525.0,89032.0,27477.0,546.0
2003年,21647.0,1107.0,8803.0,,437.0,25276.0,,358.0,157641.0,2012.0,9096.0,549.0,23228.0,1330.0,296.0,17429.0,213.0,7306.0,1984.0,172591.0,196000.0,26606.0,21152.0,240.0,9804.0,4536.0,67607.0,38589.0,21504.0,2978.0,1689.0,9283.0,6313.0,92712.0,103510.0,22478.0,486.0
2004年,25557.0,1711.0,12930.0,,381.0,39785.0,,339.0,219309.0,1863.0,10694.0,427.0,23417.0,1449.0,278.0,28766.0,367.0,13758.0,2135.0,248782.0,276474.0,41234.0,28399.0,301.0,15541.0,6049.0,119357.0,82078.0,26525.0,4705.0,1439.0,8215.0,7171.0,123586.0,152888.0,18095.0,395.0
2005年,27271.0,1648.0,12627.0,,1048.0,40658.0,,295.0,215448.0,1688.0,9905.0,343.0,16824.0,1314.0,209.0,28828.0,355.0,14198.0,2503.0,242061.0,271835.0,41972.0,27559.0,304.0,15662.0,6406.0,123820.0,84080.0,28130.0,5204.0,1176.0,7481.0,7192.0,121447.0,150388.0,15935.0,329.0
2006年,30245.0,1499.0,13256.0,,916.0,45738.0,,286.0,241089.0,1637.0,10212.0,294.0,14555.0,1343.0,175.0,31691.0,384.0,16552.0,2685.0,269031.0,301961.0,47081.0,29181.0,294.0,17038.0,7316.0,149736.0,102199.0,33976.0,6245.0,1075.0,6313.0,7210.0,133642.0,168319.0,14203.0,320.0
2007年,33596.0,1537.0,14485.0,,1139.0,51997.0,,269.0,269312.0,1673.0,10927.0,262.0,10074.0,1329.0,169.0,35507.0,517.0,18968.0,2910.0,300262.0,336768.0,53326.0,31949.0,341.0,19008.0,8044.0,177080.0,122360.0,39549.0,7127.0,999.0,5880.0,7782.0,146612.0,190156.0,13032.0,299.0
