,中型工业企业固定资产合计,中外合作经营工业企业固定资产合计,中外合资经营工业企业固定资产合计,其他外商投资工业企业固定资产合计,其他工业企业固定资产合计,其他有限责任公司工业企业固定资产合计,其他港澳台商投资工业企业固定资产合计,其他联营工业企业固定资产合计,内资工业企业固定资产合计,合作经营(港或澳、台资)工业企业固定资产合计,合资经营(港或澳、台资)工业企业固定资产合计,国有与集体联营工业企业固定资产合计,国有工业企业固定资产合计,国有独资公司工业企业固定资产合计,国有联营工业企业固定资产合计,外商投资工业企业固定资产合计,外商投资股份有限公司工业企业固定资产合计,外资工业企业固定资产合计,大型工业企业固定资产合计,小型工业企业固定资产合计,工业企业固定资产合计,有限责任公司工业企业固定资产合计,港、澳、台商投资工业企业固定资产合计,港澳台商投资股份有限公司工业企业固定资产合计,港澳台商独资经营工业企业固定资产合计,私营合伙工业企业固定资产合计,私营工业企业固定资产合计,私营有限责任公司工业企业固定资产合计,私营独资工业企业固定资产合计,私营股份有限公司工业企业固定资产合计,联营工业企业固定资产合计,股份合作工业企业固定资产合计,股份有限公司工业企业固定资产合计,轻工业企业固定资产合计,重工业企业固定资产合计,集体工业企业固定资产合计,集体联营工业企业固定资产合计
2002年,8486.07384,531.50374,3926.65935,,29.79614,8832.33641,,76.08609,54964.8309,604.95032,2753.91221,126.71588,21153.16715,7525.56398,231.012,7366.16527,552.57597,2355.42621,42237.64597,17158.83027,67882.55008,16357.90039,5551.55391,368.56993,1824.12145,150.36762,3247.54807,2076.06177,801.82692,219.29176,480.38433,895.31419,10134.12832,17378.87051,50503.67957,2666.59231,46.57036
2003年,26041.97996,614.44274,4426.10759,,49.8357,11418.70131,,39.06639,60639.1614,577.58007,2933.8544,80.71695,22202.22428,7335.30262,237.16309,8707.59904,709.72871,2957.32,31851.23254,17667.59166,75560.80416,18754.00393,6214.04372,438.01684,2264.59241,213.15758,5168.58958,3517.56791,1103.31952,334.54457,405.40707,883.87705,10661.19989,18376.47949,57184.32467,2514.0239,48.46064
2004年,31073.13,793.04,5981.29,,43.12,17098.29,,31.97,71345.89,541.74,3465.55,62.72,21708.41,8824.39,475.59,13145.73,1174.85,5196.55,37690.68,23473.17,92236.98,25922.68,7745.36,590.43,3147.64,228.43,8366.25,6499.48,1093.73,544.61,599.98,678.85,12255.26,21503.65,70733.33,1771.35,29.69
2005年,34229.62138,923.03754,7018.68008,,208.54216,19912.88257,,32.24705,81389.52602,516.54249,4017.15543,65.73892,23251.5541,10908.47177,566.90135,15516.20388,1167.67007,6406.81619,45316.94051,26405.29413,105951.85602,30821.35434,9046.12612,601.26327,3911.16493,313.93781,10802.96158,8300.2087,1524.25898,664.55609,701.50849,695.87679,13052.68082,24080.58486,81871.27116,1855.04774,36.62117
2006年,39870.8,895.28,8752.09,,152.01,24749.58,,48.32,96094.89,521.75,3995.48,53.29,25327.6,12820.07,651.35,19192.48,1264.81,8280.29,53924.89,31394.41,125190.1,37569.65,9902.73,614.54,4770.96,404.13,14269.78,10973.74,2033.52,858.38,795.35,706.68,15332.52,26886.49,98303.61,1941.3,42.4
2007年,46299.72661,985.70459,10141.97576,,329.13402,30707.20008,,72.66711,111633.59671,585.54703,5160.66546,64.88367,28311.10483,13582.72596,820.89872,22939.06648,1495.46308,10315.92305,63003.14348,37398.92241,146701.7925,44289.92604,12129.12931,689.2018,5693.71502,517.65042,18296.57427,14119.65899,2540.07146,1119.1934,996.3677,789.19083,16551.87806,30797.71815,115904.07435,2069.42096,37.9182
2008年,57272.43504,758.84269,12838.55689,,390.1027,36869.22764,,50.37596,137403.38906,550.87483,5645.31927,50.18963,36588.60413,11907.02904,610.80867,27463.12458,1441.67509,12424.04991,71048.14754,50871.13262,179191.7152,48776.25668,14325.20156,649.83191,7479.17555,707.25558,27317.51348,20506.94373,4389.93238,1713.38179,748.87348,831.86212,20950.98133,36736.91227,142454.80293,1799.19514,37.49922
2009年,64292.06003,776.24869,13501.95156,,572.74019,44898.48132,,30.08164,162842.44444,597.51637,6600.74208,35.14576,36024.564,17098.49142,694.08389,28810.41084,1632.1539,12900.05669,86083.44173,56980.07283,207355.57459,61996.97274,15702.71931,845.64987,7658.81099,851.07682,33638.3719,25145.17683,5325.64733,2316.47092,800.43136,889.42284,27109.99628,40366.30632,166989.26827,1809.94513,41.12007
2010年,74399.66281,761.51407,14383.02748,,736.48944,52907.79741,,33.63545,186539.14261,593.002,7524.15963,43.28175,41508.2816,18080.19394,513.58458,33551.24145,2044.85155,16361.84835,99212.72474,64485.41434,238097.80189,70987.99135,18007.41783,945.55086,8944.70534,1078.12357,42278.52342,31583.10594,6744.67732,2872.61659,630.38591,959.92371,27535.33746,46274.32716,191823.47473,1902.20972,39.88413
2011年,61325.83535,870.41707,14856.02223,32.19471,2841.50559,56774.84732,28.98261,60.60681,201963.96408,533.59974,7810.51684,89.59776,43703.79506,19186.9191,561.47103,32409.18358,1983.72483,14666.82474,127776.7791,64095.57834,253198.19279,75961.76642,18825.04513,848.79851,9603.14743,1063.12086,44644.16725,33552.94074,6930.51957,3097.58608,747.85442,1042.19803,31187.17952,49104.50843,204093.68436,1835.49779,36.17882
2012年,68836.48338,1026.26128,15674.95932,77.71825,3594.9604,66662.61147,51.1785,56.79704,229626.99238,551.48739,8510.82789,52.67213,50290.59138,18405.75193,359.94411,34061.12417,1984.59927,15297.58605,140354.30113,74760.1212,283950.90571,85068.3634,20262.78916,1002.01188,10147.2835,1156.64883,53232.3568,40389.31209,7794.2295,3892.16638,502.06184,1212.78964,33776.51542,54914.75573,229036.14998,1949.3535,32.64856
2013年,75862.22,858.69,16927.3,106.73,1232.64,89610.97,27.38,22.34,257473.32,541.4,9025.38,7.08,31361.28,28835.76,154.26,36476.71,2217.84,16366.15,153704.59,86664.28,316231.1,118446.73,22281.06,1133.09,11553.81,708.24,65738.61,55885.46,3642.44,5502.47,202.79,284.54,39081.88,62616.55,253614.55,1124.85,19.11
2014年,85867.29,799.6,17910.98,159.59,1077.23,105396.47,48.81,21.11,295122.64,635.57,9780.25,5.59,32307.53,33143.85,119.47,37440.16,1794.82,16775.17,165891.73,104029.04,355788.06,138540.32,23225.26,919.53,11841.11,694.15,76750.9,65367.89,3736.6,6952.27,158.68,270.86,44733.78,70026.96,285761.1,1283.34,12.52
