,中型工业企业应交所得税,中外合作经营工业企业应交所得税,中外合资经营工业企业应交所得税,其他外商投资工业企业应交所得税,其他工业企业应交所得税,其他有限责任公司工业企业应交所得税,其他港澳台商投资工业企业应交所得税,其他联营工业企业应交所得税,内资工业企业应交所得税,合作经营(港或澳、台资)工业企业应交所得税,合资经营(港或澳、台资)工业企业应交所得税,国有与集体联营工业企业应交所得税,国有工业企业应交所得税,国有独资公司工业企业应交所得税,国有联营工业企业应交所得税,外商投资工业企业应交所得税,外商投资股份有限公司工业企业应交所得税,外资工业企业应交所得税,大型工业企业应交所得税,小型工业企业应交所得税,工业企业应交所得税,有限责任公司工业企业应交所得税,港、澳、台商投资工业企业应交所得税,港澳台商投资股份有限公司工业企业应交所得税,港澳台商独资经营工业企业应交所得税,私营合伙工业企业应交所得税,私营工业企业应交所得税,私营有限责任公司工业企业应交所得税,私营独资工业企业应交所得税,私营股份有限公司工业企业应交所得税,联营工业企业应交所得税,股份合作工业企业应交所得税,股份有限公司工业企业应交所得税,轻工业企业应交所得税,重工业企业应交所得税,集体工业企业应交所得税,集体联营工业企业应交所得税
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,91.297,3.98636,52.60504,,0.67346,70.8728,,0.95718,634.61629,6.40773,37.03893,2.05527,241.13223,42.50436,1.70637,70.78292,3.1404,11.05112,448.76064,222.78252,762.84016,113.37716,57.44095,3.13459,10.8597,2.4231,35.28186,18.27577,12.35051,2.23248,7.02639,25.28074,119.79308,274.13683,488.70333,92.05137,2.30757
2001年,113.22805,5.30899,65.51638,,0.69059,166.51417,,0.89757,730.91117,4.04259,34.93073,2.09055,176.3953,55.8881,5.97923,96.78026,3.59406,22.36083,518.92366,253.54098,885.69269,222.40227,58.00126,2.70756,16.32038,2.64061,62.38404,38.3617,17.48843,3.8933,10.5545,26.28043,155.23507,319.83301,565.85968,76.96897,1.58715
2002年,133.07188,7.53356,82.61021,,0.77146,199.04108,,1.20453,882.23725,8.93165,45.76192,2.33712,197.85675,61.30403,7.76984,140.36988,9.82262,40.40349,625.114,342.5575,1100.74338,260.34511,78.13625,3.74997,19.69271,4.23231,94.08305,60.6978,23.51229,5.64065,13.3123,33.34548,199.11415,387.74517,712.99821,83.40895,2.00081
