,中型工业企业累计折旧,中外合作经营工业企业累计折旧,中外合资经营工业企业累计折旧,其他外商投资工业企业累计折旧,其他工业企业累计折旧,其他有限责任公司工业企业累计折旧,其他港澳台商投资工业企业累计折旧,其他联营工业企业累计折旧,内资工业企业累计折旧,合作经营(港或澳、台资)工业企业累计折旧,合资经营(港或澳、台资)工业企业累计折旧,国有与集体联营工业企业累计折旧,国有工业企业累计折旧,国有独资公司工业企业累计折旧,国有联营工业企业累计折旧,外商投资工业企业累计折旧,外商投资股份有限公司工业企业累计折旧,外资工业企业累计折旧,大型工业企业累计折旧,小型工业企业累计折旧,工业企业累计折旧,有限责任公司工业企业累计折旧,港、澳、台商投资工业企业累计折旧,港澳台商投资股份有限公司工业企业累计折旧,港澳台商独资经营工业企业累计折旧,私营合伙工业企业累计折旧,私营工业企业累计折旧,私营有限责任公司工业企业累计折旧,私营独资工业企业累计折旧,私营股份有限公司工业企业累计折旧,联营工业企业累计折旧,股份合作工业企业累计折旧,股份有限公司工业企业累计折旧,轻工业企业累计折旧,重工业企业累计折旧,集体工业企业累计折旧,集体联营工业企业累计折旧
2003年,12400.37885,262.94229,2300.07156,,15.67774,5022.38004,,18.86368,29389.47377,460.25402,1755.98093,55.1467,10344.12567,3485.25863,129.74095,4358.65489,425.04297,1370.59807,17855.83098,7067.38001,37323.58984,8507.63867,3575.46118,303.87399,1055.35224,62.57996,1531.69409,1057.73832,313.79954,97.57627,226.97071,393.01338,7283.18924,7919.52931,29404.06053,1087.16427,23.21938
2004年,14184.97,348.54,2982.39,,13.81,7084.79,,13.98,33323.84,478.34,1844.55,36.66,10154.8,4690.71,141.29,6083.17,686.22,2066.03,20900.91,8538.51,43624.39,11775.5,4217.38,467.66,1426.83,62.85,2359.68,1849.51,298.76,148.56,207.21,316.96,7670.03,9154.63,34469.76,825.85,15.27
2005年,15841.64866,460.42479,3320.5734,,56.20033,8474.77661,,17.79912,38263.35335,510.69957,2067.76393,37.56912,11140.24459,5799.09113,159.34185,7231.94914,736.1183,2714.83265,24761.61451,9737.79627,50341.05944,14273.86774,4845.75695,456.84838,1810.44507,88.45802,3241.98278,2529.88795,438.44965,185.18716,231.73028,303.50228,8169.28826,10490.39641,39850.66303,846.53709,17.02019
2006年,18262.71,489.34,3832.03,,54.11,10329.38,,25.66,44605.14,530.4,2015.38,33.87,12274.94,6382.98,201.02,8861.53,763.56,3776.6,28900.49,11737.62,58900.82,16712.35,5434.14,481.24,2407.11,123.35,4491.24,3490.91,617.87,259.12,279.65,291.92,9646.45,12165.35,46735.47,854.48,19.1
2007年,21385.93561,578.25669,4875.82045,,237.00347,13165.02633,,21.85533,51981.34658,430.8088,2607.9604,39.10724,13644.73047,6200.50633,248.28514,11175.90647,932.17263,4789.6567,34649.16535,13580.60676,69615.70772,19365.53266,6458.45467,582.36892,2837.31655,151.15758,6026.03504,4640.56954,837.10871,397.19921,327.43464,343.62866,11111.8377,14115.51978,55500.18794,925.14394,18.18693
2008年,26661.93378,554.49401,6503.74813,,137.13812,15479.97751,,15.86276,64623.21618,478.54748,2854.2159,32.16824,19212.49733,5756.06195,226.61626,14579.7182,1045.96297,6475.51309,41054.24541,19343.35947,87059.53866,21236.03946,7856.60428,540.47699,3983.36391,245.05617,9757.65787,7465.97021,1402.77847,643.85302,300.19054,365.56949,12698.46635,17921.0821,69138.45656,915.65702,25.54328
2009年,30221.49028,541.83089,6947.56943,,208.98433,18992.63531,,12.72473,73843.08892,565.73677,3058.54003,29.73981,18640.17783,7756.69479,256.70538,16711.66322,1149.98017,8072.28273,46765.68426,21907.4969,98894.67144,26749.3301,8339.9193,652.90914,4062.73336,298.96935,12318.92661,9335.59456,1845.08182,839.28088,323.92092,389.36526,14093.06182,20160.78184,78733.8896,1119.32205,24.751
2010年,38078.11505,624.2088,8417.68153,,314.1535,24977.48956,,11.88377,93279.36682,650.40903,3821.70383,36.12346,22374.06734,9167.16165,285.26285,20136.99835,1348.98095,9746.12707,57696.63508,27772.04661,123546.79674,34144.65121,10130.43157,696.17106,4962.14765,431.96991,18217.63423,13697.747,2838.60566,1249.31166,353.61844,426.72672,16215.40273,25055.94535,98490.85139,1233.11265,20.34836
2011年,36226.48724,1012.16778,10129.99731,23.12813,1748.8266,31737.38986,9.6059,37.22063,120829.07114,599.89181,4523.90898,46.81463,24901.01107,10078.63944,300.40035,23678.01046,1235.61856,11277.09868,87302.99168,33782.84253,157312.32145,41816.0293,12805.23985,634.56422,7037.26894,537.45089,25473.61004,19357.91346,3987.14116,1591.10453,402.24243,493.2077,22975.88912,33564.11174,123748.20971,3018.25488,17.80682
2012年,41380.72381,770.64139,11209.95117,61.91726,2397.27217,36572.70409,23.86112,50.87053,137418.85994,598.08538,5131.81315,36.8235,28872.66552,10610.9931,202.6379,25891.16036,1366.71044,12481.9401,94779.44094,41740.94367,177901.10842,47183.69719,14591.08812,796.21349,8041.11498,560.66213,31930.96677,24232.93438,4990.57994,2146.79032,306.29917,724.80288,24546.91243,36813.84578,141087.26264,1456.24381,15.96724
2013年,47922.3,968.05,12481.44,66.71,878.63,48274.98,19.4,46.77,161678.33,671.25,6041.93,10.68,21045.99,17171.52,134.44,30246.46,1547.71,15182.55,109983.99,50793.78,208700.07,65446.5,16775.27,748.67,9294.03,359.3,43358.32,37553.81,2332.1,3113.12,200.99,230.36,29499.34,44800.16,163899.91,1018.2,9.11
2014年,55575.03,1018.11,13831.54,91.58,744.47,56078.63,20.29,24.57,185042.4,766.41,6738.67,9.24,22770.48,19722.01,126.45,32071.72,1496.93,15633.57,120526.01,60207.7,236308.74,75800.64,19194.62,782.31,10886.95,372.3,49895.89,43595.13,2480.49,3447.96,168.76,218.47,34463.3,49553.05,186755.69,980.39,8.5
