,中型工业企业实收资本,中外合作经营工业企业实收资本,中外合资经营工业企业实收资本,其他外商投资工业企业实收资本,其他工业企业实收资本,其他有限责任公司工业企业实收资本,其他港澳台商投资工业企业实收资本,其他联营工业企业实收资本,内资工业企业实收资本,合作经营(港或澳、台资)工业企业实收资本,合资经营(港或澳、台资)工业企业实收资本,国有与集体联营工业企业实收资本,国有工业企业实收资本,国有独资公司工业企业实收资本,国有联营工业企业实收资本,外商投资工业企业实收资本,外商投资股份有限公司工业企业实收资本,外资工业企业实收资本,大型工业企业实收资本,小型工业企业实收资本,工业企业实收资本,有限责任公司工业企业实收资本,港、澳、台商投资工业企业实收资本,港澳台商投资股份有限公司工业企业实收资本,港澳台商独资经营工业企业实收资本,私营合伙工业企业实收资本,私营工业企业实收资本,私营有限责任公司工业企业实收资本,私营独资工业企业实收资本,私营股份有限公司工业企业实收资本,联营工业企业实收资本,股份合作工业企业实收资本,股份有限公司工业企业实收资本,轻工业企业实收资本,重工业企业实收资本,集体工业企业实收资本,集体联营工业企业实收资本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,17941.64,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,3677.92,,4116.88,,,,,,,,,,,,,,,,13499.14,9499.56,26676.62,,3421.98,,,,,,,,,,455.8,9292.26,17384.35,2651.88,
1999年,3695.2828,,4577.52847,,,,,,,,,,,,,,,,15229.39172,10058.58148,28983.256,,3603.76975,,,,,,,,,,2210.97813,9861.00611,19122.24989,2470.40298,
2000年,3797.85887,321.22989,3339.51921,,39.67406,2288.72846,,33.91558,23860.33447,450.57973,1896.7568,112.35171,10974.59529,2618.80089,128.65791,5225.57047,107.58948,1457.23189,17611.67193,11530.91588,32940.44668,4907.52935,3854.54174,211.60978,1295.59543,67.00537,992.26992,488.11204,371.3014,65.85111,328.4591,550.21811,3756.60415,10565.46525,22374.98143,2310.98449,53.5339
2001年,4521.24297,397.89944,3490.65401,,27.84558,3986.67261,,33.02161,25960.33091,478.06935,1991.15427,102.84347,9447.35664,3337.05513,139.17675,5899.4948,209.97336,1800.96799,20320.61915,11375.25196,36217.11408,7323.72774,4357.28837,255.609,1632.45575,82.01531,1572.91202,929.0641,447.09672,114.73589,313.05568,563.73823,4856.249,11277.71092,24939.40316,1855.44602,38.01385
