,中型工业企业出口交货值,中外合作经营工业企业出口交货值,中外合资经营工业企业出口交货值,其他外商投资工业企业出口交货值,其他工业企业出口交货值,其他有限责任公司工业企业出口交货值,其他港澳台商投资工业企业出口交货值,其他联营工业企业出口交货值,内资工业企业出口交货值,合作经营(港或澳、台资)工业企业出口交货值,合资经营(港或澳、台资)工业企业出口交货值,国有与集体联营工业企业出口交货值,国有工业企业出口交货值,国有独资公司工业企业出口交货值,国有联营工业企业出口交货值,外商投资工业企业出口交货值,外商投资股份有限公司工业企业出口交货值,外资工业企业出口交货值,大型工业企业出口交货值,小型工业企业出口交货值,工业企业出口交货值,有限责任公司工业企业出口交货值,港、澳、台商投资工业企业出口交货值,港澳台商投资股份有限公司工业企业出口交货值,港澳台商独资经营工业企业出口交货值,私营合伙工业企业出口交货值,私营工业企业出口交货值,私营有限责任公司工业企业出口交货值,私营独资工业企业出口交货值,私营股份有限公司工业企业出口交货值,联营工业企业出口交货值,股份合作工业企业出口交货值,股份有限公司工业企业出口交货值,轻工业企业出口交货值,重工业企业出口交货值,集体工业企业出口交货值,集体联营工业企业出口交货值
2003年,10599.11313,331.28412,3587.09375,,15.03386,1799.05655,,8.2958,8982.85917,684.59598,2190.13548,15.59074,806.99994,667.55147,22.37292,10563.10771,138.72825,6506.00159,8567.05832,7775.5802,26941.75165,2466.60802,7395.78477,218.00708,4303.04623,96.92937,2882.9745,2057.26105,607.2778,121.50628,56.20197,417.434,1436.14568,13434.95421,13506.79744,901.4612,9.94251
2004年,15399.38,541.9,5847.24,,19.47,2666.67,,12.95,11500.61,664.2,2770.17,14.62,866.68,569.78,43.2,18667.5,308.92,11969.44,13261.72,11823.08,40484.17,3236.44,10316.07,162.88,6718.82,99.54,4532.36,3684.56,593.62,154.63,75.69,315.33,1821.33,17828.83,22655.34,633.31,4.91
2005年,17264.04366,603.13315,6590.01451,,70.62212,3452.78946,,8.4071,14436.85533,646.71992,3002.77001,12.33967,1128.34525,811.35338,50.90978,21322.58602,296.44753,13832.99083,17653.51732,12823.62548,47741.18646,4264.14284,11981.74511,272.53251,8059.72267,115.09045,5633.31409,4576.58699,728.67118,212.96547,86.0005,309.53124,2306.09751,20230.14312,27511.04334,638.80178,14.34395
2006年,21580.69,542.62,7940.56,,68.11,5184.99,,9.86,18550.56,680.74,3399.3,12.46,1432.29,1159.89,58.99,28208.13,355.64,19369.31,23996.3,14982.66,60559.65,6344.88,13800.96,341.62,9379.31,159.73,7094.68,5744.31,914.04,276.59,96.13,308.95,2579.11,23614.45,36945.2,626.42,14.82
2007年,26186.73986,838.78496,9549.64625,,94.04851,5831.47025,,11.40433,21605.91302,719.60966,4463.80136,9.94034,1397.72556,1538.50533,81.24627,35317.60728,521.92459,24407.25148,30361.02353,16845.62925,73393.39264,7369.97558,16469.87234,434.05071,10852.41061,167.09905,8571.33524,7089.0592,970.07081,345.10618,108.77561,334.80692,3111.46081,27375.90604,46017.4866,617.78479,6.18467
2008年,28445.47056,684.54374,10586.74581,,126.43255,7102.70722,,7.47428,25281.05692,477.66422,4395.88941,6.12893,1302.83568,1215.32999,100.78914,37623.96004,883.3339,25469.33659,34770.07846,19282.82984,82498.37886,8318.03721,19593.3619,364.70703,14355.10124,154.60943,10507.90396,8535.95466,1102.63314,714.70673,128.33674,265.80281,4154.9919,29147.63136,53350.7475,476.71607,13.94439
2009年,24249.31072,504.83083,8576.01774,,169.65311,5635.85486,,4.82289,21612.90266,515.84094,3731.65813,3.2795,933.87011,930.76616,20.25125,32937.92858,1022.00401,22835.076,30532.74642,17269.69077,72051.74791,6566.62102,17500.91667,373.69265,12879.72495,152.12651,10003.45367,8048.39574,1138.79385,664.13757,43.9013,203.60898,3217.37444,26757.04474,45294.70317,474.42003,15.54766
2010年,29693.1548,544.15341,10148.22292,,169.47036,7425.56819,,3.12965,27646.59671,602.67824,4508.533,4.53607,1130.51066,1208.04539,29.01764,40878.83641,1602.07724,28584.38284,40715.26098,19501.70068,89910.11646,8633.61358,21384.68334,442.22527,15831.24683,168.84314,12679.67765,10310.23325,1343.62206,856.9792,49.78767,207.25592,4282.87374,32210.65147,57699.46499,493.40713,13.10431
2011年,23314.45391,559.31155,10768.57562,41.50034,530.67357,8639.33102,17.0851,7.68408,31226.79824,488.53531,5275.02748,14.37774,1200.96602,1129.52631,29.45885,44171.50679,1746.74472,31055.37456,58194.45281,18103.46727,99612.37399,9768.85733,24214.06896,479.41423,17954.00684,154.84233,13581.5509,11086.20034,1216.32813,1124.1801,59.65867,193.08167,5364.38057,34135.6769,65476.69709,527.62951,8.138
2012年,25211.39863,513.9497,11073.05067,38.73033,493.23739,9600.31441,59.71074,7.08763,33757.53586,480.24364,5680.57238,3.41898,1073.68397,1079.21254,15.58286,45566.58071,1623.40378,32317.44623,62380.46034,19018.30156,106610.16053,10679.52695,27286.04396,619.56709,20445.95011,178.60497,14810.62141,12202.51791,1235.53999,1193.95854,36.24485,230.3177,6051.28483,36068.3257,70541.83483,382.61876,10.15538
2013年,27239.04,666.48,11279.06,19.74,115.21,10791.99,27.13,7.21,36888.99,534.22,5790.5,0.82,734.29,1329.97,12.79,46802.46,1734.93,33102.24,63464.08,22120.91,112824.03,12121.97,29132.59,577.94,22202.8,113.25,17084.72,14938.49,628.58,1404.4,25.72,93.33,6419.96,39047.29,73776.75,293.79,4.9
2014年,28721.9,677.32,12018.36,78.91,97.83,12961.36,14.2,3.19,41377.93,565.55,5954.89,0.24,608.22,1314.34,19.71,46874.76,1739.88,32360.29,67297.71,22394.64,118414.25,14275.7,30161.57,643.52,22983.41,112.25,19019.69,16849.88,580.63,1476.94,27.58,79.41,6961.09,41235.74,77178.51,308.41,4.44
