,中型工业亏损企业单位数,中外合作经营工业亏损企业单位数,中外合资经营工业亏损企业单位数,其他外商投资工业亏损企业单位数,其他工业亏损企业单位数,其他有限责任公司工业亏损企业单位数,其他港澳台商投资工业亏损企业单位数,其他联营工业亏损企业单位数,内资工业亏损企业单位数,合作经营(港或澳、台资)工业亏损企业单位数,合资经营(港或澳、台资)工业亏损企业单位数,国有与集体联营工业亏损企业单位数,国有工业亏损企业单位数,国有独资公司工业亏损企业单位数,国有联营工业亏损企业单位数,外商投资工业亏损企业单位数,外商投资股份有限公司工业亏损企业单位数,外资工业亏损企业单位数,大型工业亏损企业单位数,小型工业亏损企业单位数,工业亏损企业单位数,有限责任公司工业亏损企业单位数,港、澳、台商投资工业亏损企业单位数,港澳台商投资股份有限公司工业亏损企业单位数,港澳台商独资经营工业亏损企业单位数,私营合伙工业亏损企业单位数,私营工业亏损企业单位数,私营有限责任公司工业亏损企业单位数,私营独资工业亏损企业单位数,私营股份有限公司工业亏损企业单位数,联营工业亏损企业单位数,股份合作工业亏损企业单位数,股份有限公司工业亏损企业单位数,轻工业亏损企业单位数,重工业亏损企业单位数,集体工业亏损企业单位数,集体联营工业亏损企业单位数
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,3834,271,1768,0,138,2544,0,74,30407,537,2172,198,15425,334,121,3160,25,1096,1989,32219,38042,2878,4475,38,1728,233,2785,1219,1162,171,488,1685,979,19060,18982,6029,95
2001年,4335,234,1812,0,68,3821,0,60,30677,633,2318,189,13470,413,126,3519,34,1439,2382,32629,39346,4234,5150,50,2149,308,4655,2591,1448,308,478,1625,1176,20116,19230,4971,103
2002年,4300,235,1800,0,45,4369,0,55,29084,551,2159,157,11599,417,102,3676,37,1604,2356,31126,37782,4786,5022,54,2258,335,5702,3448,1556,363,384,1379,1207,19239,18543,3982,70
2003年,3609,262,1833,0,58,4937,0,50,27386,468,2085,112,9108,435,88,4080,51,1934,230,32681,36520,5372,5054,54,2447,365,7285,4822,1708,390,312,1072,1197,17810,18710,2982,62
2004年,4697,421,3038,0,66,8423,0,60,42210,459,2762,94,9977,496,84,7917,87,4371,236,53270,58203,8919,8076,66,4789,623,17367,13505,2415,824,305,1188,1400,27215,30988,2988,67
2005年,4701,378,2548,0,125,7864,0,61,34826,388,2123,78,6897,403,56,6715,60,3729,297,43307,48305,8267,6764,68,4185,463,14626,11292,2135,736,242,950,1378,21533,26772,2341,47
2006年,4543,312,2453,0,123,8075,0,41,33907,353,1973,64,5470,368,38,6901,68,4068,269,42323,47135,8443,6327,52,3949,477,15705,12268,2192,768,182,733,1282,21213,25922,1969,39
2007年,4602,316,2631,0,129,7903,0,26,31125,329,2005,52,3055,338,35,7665,100,4618,253,40793,45648,8241,6858,57,4467,458,16110,12785,2086,781,144,642,1131,20938,24710,1673,31
2008年,6618,357,3484,0,258,10616,0,35,44640,332,2467,39,2871,389,31,11284,153,7290,512,58263,65393,11005,9469,141,6529,798,26332,21244,3285,1005,155,770,1532,28032,37361,1717,50
2009年,5481,273,2908,0,268,10156,0,33,42003,284,2189,49,2655,384,31,9716,133,6402,396,53991,59868,10540,8149,116,5560,761,25006,20054,3142,1049,144,592,1317,23964,35904,1481,31
2010年,4396,213,2199,0,194,8160,0,21,32167,206,1646,29,2131,309,29,7330,117,4801,316,40667,45379,8469,5882,100,3930,526,18772,15162,2253,831,97,444,1073,18486,26893,987,18
2011年,6133,145,1613,16,429,6254,6,18,20712,109,1211,11,1488,275,17,5618,93,3751,869,23454,30456,6529,4126,68,2732,251,10645,8862,1046,486,60,199,884,11493,18963,478,14
2012年,7193,145,1951,24,613,8712,15,15,28143,132,1516,14,1729,349,29,6524,100,4304,1134,31337,39664,9061,4997,82,3252,304,14798,12610,1316,568,71,244,1118,13684,25980,509,13
2013年,7080,143,1948,11,128,10163,9,11,30238,134,1454,10,1045,734,8,6462,98,4262,1123,33508,41711,10897,5011,86,3328,198,16251,14600,760,693,34,128,1339,14491,27220,416,5
2014年,7175,122,1858,29,108,11518,8,5,32866,99,1388,6,1018,878,5,5988,79,3900,1250,35027,43452,12396,4598,83,3020,178,17416,15734,763,741,20,104,1431,14823,28629,373,4
