,中型工业企业法人资本金,中外合作经营工业企业法人资本金,中外合资经营工业企业法人资本金,其他外商投资工业企业法人资本金,其他工业企业法人资本金,其他有限责任公司工业企业法人资本金,其他港澳台商投资工业企业法人资本金,其他联营工业企业法人资本金,内资工业企业法人资本金,合作经营(港或澳、台资)工业企业法人资本金,合资经营(港或澳、台资)工业企业法人资本金,国有与集体联营工业企业法人资本金,国有工业企业法人资本金,国有独资公司工业企业法人资本金,国有联营工业企业法人资本金,外商投资工业企业法人资本金,外商投资股份有限公司工业企业法人资本金,外资工业企业法人资本金,大型工业企业法人资本金,小型工业企业法人资本金,工业企业法人资本金,有限责任公司工业企业法人资本金,港、澳、台商投资工业企业法人资本金,港澳台商投资股份有限公司工业企业法人资本金,港澳台商独资经营工业企业法人资本金,私营合伙工业企业法人资本金,私营工业企业法人资本金,私营有限责任公司工业企业法人资本金,私营独资工业企业法人资本金,私营股份有限公司工业企业法人资本金,联营工业企业法人资本金,股份合作工业企业法人资本金,股份有限公司工业企业法人资本金,轻工业企业法人资本金,重工业企业法人资本金,集体工业企业法人资本金,集体联营工业企业法人资本金
2003年,4258.33561,94.09564,1126.57509,0.0,16.41816,3033.35666,0.0,11.11425,10483.32223,76.79988,594.31246,31.98203,2555.60341,961.38148,30.68546,1388.70065,132.41362,35.6163,5245.82672,3192.56301,12696.72534,3994.73814,824.70246,99.87466,53.71546,50.9241,971.07078,613.27175,224.31646,82.55847,87.17972,154.59919,2379.16426,2866.58407,9830.14127,324.54857,13.39798
2004年,5654.49,136.35,1644.1,0.0,14.71,5468.73,0.0,11.63,14278.28,111.39,878.14,25.93,2593.49,1892.5,63.92,2086.17,227.29,78.43,6953.31,4950.13,17557.94,7361.23,1193.48,139.81,64.15,43.28,1449.65,1091.47,185.99,128.91,109.09,146.09,2447.3,3847.56,13710.38,156.72,7.6
2005年,6149.07653,129.13533,1981.60905,0.0,64.23847,5981.53932,0.0,14.419,16382.56122,102.64758,932.1767,27.13372,3113.65001,2028.01546,45.07364,2439.02696,229.18006,99.10252,8563.11626,5370.52845,20082.72124,8009.55478,1261.13306,149.63163,76.67715,64.79055,2094.10908,1559.09715,315.95775,154.26363,94.53253,153.07562,2649.72598,4390.14176,15692.57948,203.67475,7.90617
2006年,7308.17,189.61,2089.06,0.0,43.39,6543.56,0.0,39.33,18809.49,94.33,1026.09,18.06,4110.19,2188.54,88.45,2751.72,193.92,279.13,9424.78,6245.72,22978.67,8732.1,1417.46,145.95,151.09,70.74,2593.53,1955.61,375.96,191.22,154.9,181.78,2800.14,5031.43,17947.24,193.47,9.06
2007年,8720.63901,164.55424,2455.73602,0.0,205.97953,7848.19917,0.0,52.45342,22276.02659,96.36277,1199.50527,21.80452,4613.99821,2259.74154,83.17688,3206.45655,273.73055,312.43574,10652.94403,7777.02298,27150.60602,10107.94071,1668.12288,165.51409,206.74075,115.76717,3628.81827,2736.7408,528.81119,247.49911,164.20033,205.18559,3130.09895,6159.90289,20990.70313,219.805,6.76551
2008年,10517.80299,120.49595,3021.27156,0.0,100.86993,10110.30042,0.0,12.82986,28301.05974,85.30034,1329.50201,16.87564,5236.63335,2295.79116,236.59494,3706.79624,172.60466,392.42407,13110.00493,10223.2746,33851.08252,12406.09158,1843.22654,142.42318,286.00101,129.07195,5244.43513,3833.29873,875.24651,406.81794,270.62971,183.14951,4709.8096,7409.86179,26441.22073,149.44093,4.32927
2009年,12543.88262,145.43103,3252.72556,0.0,144.87384,11544.35602,0.0,9.28044,32723.63222,88.45842,1589.88993,12.40055,5217.11108,3645.2851,139.81408,4175.82056,190.47514,587.18883,14640.08234,11962.88786,39146.85282,15189.64112,2247.40004,189.82466,379.22703,167.88355,6485.99022,4890.85719,912.82618,514.4233,168.72109,214.9742,5152.36058,8449.03362,30697.8192,149.96009,7.22602
2010年,15324.5979,125.17029,3504.64782,0.0,181.05219,14506.88434,0.0,8.22921,39072.39681,74.08555,1762.59674,11.80178,5877.74338,3926.31907,126.11383,4710.22956,366.61118,713.80027,16758.27778,14254.2478,46337.12348,18433.20341,2554.49711,239.12872,478.6861,219.70116,8317.3829,6162.03559,1254.90499,680.74116,154.48499,244.21032,5689.72733,9623.21365,36713.90983,174.59229,8.34017
2011年,13578.18276,151.25146,3799.06631,7.26515,588.49845,16699.55685,0.31805,9.9968,44818.57746,102.45176,1962.16659,8.3559,6749.88509,4311.27023,126.54923,5321.61713,431.33871,932.6955,24276.24157,15180.64932,53035.07365,21010.82708,2894.87906,245.64765,584.29501,204.39883,9328.49547,7003.19763,1436.59636,684.30265,152.47837,246.61803,6554.82464,10941.95744,42093.11621,186.95033,7.57644
2012年,15660.88114,161.34449,4187.84466,17.59203,625.1914,19106.54803,4.25409,9.41695,49064.73709,102.33483,2252.55404,8.23767,6232.75548,3439.82949,76.11735,5702.24678,270.10676,1065.35884,23588.20886,18844.77932,58093.86932,22546.37752,3326.88545,261.1739,706.56859,248.78273,11964.57811,9089.82562,1754.98093,870.98883,100.50139,268.00032,7132.39128,12528.4162,45565.45312,194.94159,6.72942
2013年,16397.25,158.7,4162.23,14.86,163.12,23494.5,2.04,3.86,51880.11,90.63,2225.55,1.04,2296.76,3554.05,33.09,5698.8,289.4,1073.61,22950.05,21697.4,61044.7,27048.55,3465.79,354.83,792.74,135.41,14208.0,12065.14,787.21,1220.25,41.66,64.47,7920.41,13892.94,47151.77,137.13,3.67
2014年,17756.91,150.06,4696.61,18.96,95.28,25534.8,7.76,2.37,57197.85,91.14,2355.31,1.1,1732.24,4053.79,22.4,6258.9,228.83,1164.44,23422.27,25922.36,67101.55,29588.59,3644.79,303.0,887.58,112.53,17359.45,14814.74,744.44,1687.73,28.3,48.92,8217.42,15871.54,51230.01,127.66,2.44
