,中型工业企业资产总计,中外合作经营工业企业资产总计,中外合资经营工业企业资产总计,其他外商投资工业企业资产总计,其他工业企业资产总计,其他有限责任公司工业企业资产总计,其他港澳台商投资工业企业资产总计,其他联营工业企业资产总计,内资工业企业资产总计,合作经营(港或澳、台资)工业企业资产总计,合资经营(港或澳、台资)工业企业资产总计,国有与集体联营工业企业资产总计,国有工业企业资产总计,国有独资公司工业企业资产总计,国有联营工业企业资产总计,外商投资工业企业资产总计,外商投资股份有限公司工业企业资产总计,外资工业企业资产总计,大型工业企业资产总计,小型工业企业资产总计,工业企业资产总计,有限责任公司工业企业资产总计,港、澳、台商投资工业企业资产总计,港澳台商投资股份有限公司工业企业资产总计,港澳台商独资经营工业企业资产总计,私营合伙工业企业资产总计,私营工业企业资产总计,私营有限责任公司工业企业资产总计,私营独资工业企业资产总计,私营股份有限公司工业企业资产总计,联营工业企业资产总计,股份合作工业企业资产总计,股份有限公司工业企业资产总计,轻工业企业资产总计,重工业企业资产总计,集体工业企业资产总计,集体联营工业企业资产总计
1978年,,,,,,,,,,,,,,,,,,,,,4525.0,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,4233.0,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,6972.0,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,15953.0,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,46601.3,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,62583.0849,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,79234.0,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,90016.0,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,103400.0,,,,,,,,,,,,,,,,
