,中型工业企业利润总额,中外合作经营工业企业利润总额,中外合资经营工业企业利润总额,其他外商投资工业企业利润总额,其他工业企业利润总额,其他有限责任公司工业企业利润总额,其他港澳台商投资工业企业利润总额,其他联营工业企业利润总额,内资工业企业利润总额,合作经营(港或澳、台资)工业企业利润总额,合资经营(港或澳、台资)工业企业利润总额,国有与集体联营工业企业利润总额,国有工业企业利润总额,国有独资公司工业企业利润总额,国有联营工业企业利润总额,外商投资工业企业利润总额,外商投资股份有限公司工业企业利润总额,外资工业企业利润总额,大型工业企业利润总额,小型工业企业利润总额,工业企业利润总额,有限责任公司工业企业利润总额,港、澳、台商投资工业企业利润总额,港澳台商投资股份有限公司工业企业利润总额,港澳台商独资经营工业企业利润总额,私营合伙工业企业利润总额,私营工业企业利润总额,私营有限责任公司工业企业利润总额,私营独资工业企业利润总额,私营股份有限公司工业企业利润总额,联营工业企业利润总额,股份合作工业企业利润总额,股份有限公司工业企业利润总额,轻工业企业利润总额,重工业企业利润总额,集体工业企业利润总额,集体联营工业企业利润总额
1978年,,,,,,,,,,,,,,,,,,,,,599.35,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,654.29,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,692.0,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,639.21,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,628.29,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,753.17,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,837.82,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,929.0,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,877.58,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,1004.96,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,1189.91,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,1000.34,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,560.0,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,642.78,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,972.35,,,,,,,,,,,,,,,,
1993年,220.43,,,,,,,,,,,,,,,,,,799.53,582.45,1602.47,,,,,,,,,,,,,382.19,1220.26,,
1994年,,,,,,,,,,,,,,,,,,,,,1796.7485,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,1635.0,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,1490.0,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,1703.0,,,,,,,,,,,,,,,,
1998年,21.65,,,,,,,,,,,,,,,212.54,,,860.29,576.17,1458.11,,206.07,,,,,,,,,,86.33,574.74,883.36,394.8,
