,中型工业企业主营业务成本,中外合作经营工业企业主营业务成本,中外合资经营工业企业主营业务成本,其他外商投资工业企业主营业务成本,其他工业企业主营业务成本,其他有限责任公司工业企业主营业务成本,其他港澳台商投资工业企业主营业务成本,其他联营工业企业主营业务成本,内资工业企业主营业务成本,合作经营(港或澳、台资)工业企业主营业务成本,合资经营(港或澳、台资)工业企业主营业务成本,国有与集体联营工业企业主营业务成本,国有工业企业主营业务成本,国有独资公司工业企业主营业务成本,国有联营工业企业主营业务成本,外商投资工业企业主营业务成本,外商投资股份有限公司工业企业主营业务成本,外资工业企业主营业务成本,大型工业企业主营业务成本,小型工业企业主营业务成本,工业企业主营业务成本,有限责任公司工业企业主营业务成本,港、澳、台商投资工业企业主营业务成本,港澳台商投资股份有限公司工业企业主营业务成本,港澳台商独资经营工业企业主营业务成本,私营合伙工业企业主营业务成本,私营工业企业主营业务成本,私营有限责任公司工业企业主营业务成本,私营独资工业企业主营业务成本,私营股份有限公司工业企业主营业务成本,联营工业企业主营业务成本,股份合作工业企业主营业务成本,股份有限公司工业企业主营业务成本,轻工业企业主营业务成本,重工业企业主营业务成本,集体工业企业主营业务成本,集体联营工业企业主营业务成本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,17356.61,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,21565.66,,,,,,,,,,,,,,,,
1993年,5829.27,,,,,,,,,,,,,,,,,,11475.6,12643.68,29948.54,,,,,,,,,,,,,11979.87,17968.63,,
1994年,,,,,,,,,,,,,,,,,,,,,33680.64,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,7387.76,,,,,,,,,,,,,,,6585.25,,,22561.96,22847.82,52797.54,,6438.29,,,,,,,,,,1696.18,21766.95,31030.59,9781.04,
1999年,7718.03831,,,,,,,,,,,,,,,7769.75121,,,25536.61094,24084.87494,57339.52,,7054.56803,,,,,,,,,,3928.53024,23154.87911,34184.64508,8629.98001,
2000年,8506.94297,477.88962,6255.56805,,86.03115,4830.64873,,108.92603,50070.67446,916.6419,4191.50593,252.60308,17563.28283,4003.20393,166.88705,10127.45021,195.27142,3198.72112,31261.94686,28885.0583,68653.95,8833.85266,8455.82346,433.09594,2914.57969,342.69055,4121.96616,1891.81683,1671.89164,215.56714,722.17291,2235.17376,7313.08982,26392.14919,42261.79894,9195.10517,193.75675
2001年,9947.9476,533.26176,7207.18119,,81.25579,7908.43332,,79.39917,55582.15272,959.02296,4285.83429,252.88253,15612.03126,4679.20641,205.29665,12202.68608,271.39234,4190.85079,37085.70289,30226.23726,77259.89,12587.63973,9475.04895,481.02909,3749.16261,421.78183,6947.4261,3877.89458,2229.72513,418.02456,685.8216,2338.4269,9557.91068,28878.09906,48381.78869,7771.64066,148.24325
