,中型工业企业集体资本金,中外合作经营工业企业集体资本金,中外合资经营工业企业集体资本金,其他外商投资工业企业集体资本金,其他工业企业集体资本金,其他有限责任公司工业企业集体资本金,其他港澳台商投资工业企业集体资本金,其他联营工业企业集体资本金,内资工业企业集体资本金,合作经营(港或澳、台资)工业企业集体资本金,合资经营(港或澳、台资)工业企业集体资本金,国有与集体联营工业企业集体资本金,国有工业企业集体资本金,国有独资公司工业企业集体资本金,国有联营工业企业集体资本金,外商投资工业企业集体资本金,外商投资股份有限公司工业企业集体资本金,外资工业企业集体资本金,大型工业企业集体资本金,小型工业企业集体资本金,工业企业集体资本金,有限责任公司工业企业集体资本金,港、澳、台商投资工业企业集体资本金,港澳台商投资股份有限公司工业企业集体资本金,港澳台商独资经营工业企业集体资本金,私营合伙工业企业集体资本金,私营工业企业集体资本金,私营有限责任公司工业企业集体资本金,私营独资工业企业集体资本金,私营股份有限公司工业企业集体资本金,联营工业企业集体资本金,股份合作工业企业集体资本金,股份有限公司工业企业集体资本金,轻工业企业集体资本金,重工业企业集体资本金,集体工业企业集体资本金,集体联营工业企业集体资本金
2003年,640.85247,9.32542,117.03096,0.0,1.40586,323.69578,0.0,4.56403,1605.81555,15.8735,138.18019,14.79926,32.06885,22.62213,2.2805,129.2737,1.82815,1.08917,282.89861,970.25444,1894.00552,346.31791,158.91627,1.32811,3.53447,5.05706,81.41445,46.04698,24.37498,5.93543,34.52029,88.22945,129.76278,738.76563,1155.23989,892.09596,12.8765
2004年,609.43,10.25,109.21,0.0,2.64,378.14,0.0,5.09,1547.76,16.41,116.14,13.09,30.24,6.78,0.63,128.02,7.27,1.28,235.23,972.82,1817.48,384.92,141.7,4.6,4.55,5.39,61.94,41.31,8.41,6.83,29.01,54.7,174.16,624.43,1193.04,810.16,10.18
2005年,514.04865,11.65201,114.61265,0.0,4.11718,362.95707,0.0,2.9577,1327.07809,7.19195,78.90909,8.83652,37.87972,6.99249,0.79918,132.38253,2.07374,4.04413,224.40971,812.26713,1550.72549,369.94956,91.26487,1.23716,3.92667,3.52724,89.37496,57.75907,20.60346,7.48519,20.60851,47.16536,109.64546,562.71903,988.00646,648.33734,8.01511
2006年,561.65,13.72,100.39,0.0,6.09,493.25,0.0,4.93,1531.07,6.43,64.34,8.74,20.02,10.13,0.54,119.19,2.39,2.7,323.21,838.95,1723.82,503.38,73.56,1.27,1.52,3.21,60.64,31.18,7.49,18.76,27.44,72.38,155.06,607.63,1116.19,686.04,13.23
2007年,631.86919,18.63671,134.95951,0.0,10.00481,570.40921,0.0,4.46487,1678.14553,28.36006,65.53696,7.54967,44.93543,43.09425,0.68272,158.74813,2.19335,2.95856,453.14012,856.27716,1941.28647,613.50346,104.39281,9.23291,1.26288,4.33431,81.83626,57.00714,15.29437,5.20044,21.6389,74.75322,173.90257,644.50493,1296.78154,657.57088,8.94164
2008年,609.27602,19.67845,123.64849,0.0,9.86269,573.92804,0.0,1.63267,1637.98163,5.20757,80.19715,6.26929,73.61119,2.48914,0.14102,162.49423,8.53535,10.63194,392.0931,889.35017,1890.71929,576.41718,90.24343,2.40312,2.43559,4.08124,135.0747,91.5342,21.43352,18.02574,17.4232,55.6305,170.51178,580.28376,1310.43553,599.45039,9.38022
2009年,648.36025,8.21127,98.98255,0.0,9.88267,590.15374,0.0,2.77797,1639.93842,5.19269,86.57428,5.74091,50.07658,29.0019,43.03092,124.29423,4.07684,13.02357,348.72764,865.87297,1862.96086,619.15564,98.72821,3.07594,3.8853,5.61816,154.14506,109.56723,24.60472,14.35495,59.42438,42.8299,175.8225,527.21702,1335.74384,528.60169,7.87458
2010年,598.97957,9.17378,112.50025,0.0,28.10884,611.49275,0.0,8.05223,1733.05112,4.04025,77.50886,7.59329,56.69973,31.68402,42.91034,144.52481,2.94513,19.90565,397.12933,972.11595,1968.22485,643.17677,90.64892,3.8808,5.21901,5.05091,184.25961,121.13541,31.0038,27.06949,65.88299,69.53631,184.76287,596.4883,1371.73655,500.624,7.32713
2011年,580.69447,4.19647,139.23032,0.0,38.07794,620.00206,0.48103,0.90459,1833.77233,5.61305,75.70776,9.3195,82.43152,8.97512,0.42802,155.91131,1.9431,10.54142,763.59566,736.1757,2080.46583,628.97718,90.78219,1.58761,7.39274,7.87517,213.11872,152.14712,30.65219,22.44424,16.0118,40.01586,415.15707,515.04451,1565.42132,399.98224,5.35969
2012年,727.67655,4.3057,141.58363,0.84946,53.21104,875.5326,0.0,1.1288,2814.34347,3.65382,117.35203,6.02907,67.52996,26.53418,1.27189,159.46979,3.45509,9.27591,1109.03191,1281.4206,3118.12906,902.06678,144.3158,3.76843,19.54152,8.65107,574.33058,494.93234,37.09907,33.6481,12.73576,212.91028,546.33329,664.81373,2453.31533,445.22578,4.306
2013年,847.86,9.27,170.25,0.09,9.58,1416.77,0.03,0.28,3015.06,4.83,122.11,1.72,82.56,37.07,0.0,221.22,1.84,39.78,1076.74,1459.32,3383.92,1453.84,147.64,3.85,16.81,7.0,413.74,345.09,12.72,48.92,3.83,18.23,668.15,899.08,2484.84,365.13,1.83
2014年,908.71,28.53,183.73,0.07,8.39,1263.73,0.02,0.01,2980.73,5.53,108.16,1.27,57.75,56.27,0.0,238.99,7.54,19.13,1071.59,1380.08,3360.39,1320.0,140.67,11.42,15.55,4.54,482.84,387.22,18.36,72.72,4.86,11.72,775.44,666.92,2693.46,319.74,3.58
