,中型工业企业固定资产原价合计,中外合作经营工业企业固定资产原价合计,中外合资经营工业企业固定资产原价合计,其他外商投资工业企业固定资产原价合计,其他工业企业固定资产原价合计,其他有限责任公司工业企业固定资产原价合计,其他港澳台商投资工业企业固定资产原价合计,其他联营工业企业固定资产原价合计,内资工业企业固定资产原价合计,合作经营(港或澳、台资)工业企业固定资产原价合计,合资经营(港或澳、台资)工业企业固定资产原价合计,国有与集体联营工业企业固定资产原价合计,国有工业企业固定资产原价合计,国有独资公司工业企业固定资产原价合计,国有联营工业企业固定资产原价合计,外商投资工业企业固定资产原价合计,外商投资股份有限公司工业企业固定资产原价合计,外资工业企业固定资产原价合计,大型工业企业固定资产原价合计,小型工业企业固定资产原价合计,工业企业固定资产原价合计,有限责任公司工业企业固定资产原价合计,港、澳、台商投资工业企业固定资产原价合计,港澳台商投资股份有限公司工业企业固定资产原价合计,港澳台商独资经营工业企业固定资产原价合计,私营合伙工业企业固定资产原价合计,私营工业企业固定资产原价合计,私营有限责任公司工业企业固定资产原价合计,私营独资工业企业固定资产原价合计,私营股份有限公司工业企业固定资产原价合计,联营工业企业固定资产原价合计,股份合作工业企业固定资产原价合计,股份有限公司工业企业固定资产原价合计,轻工业企业固定资产原价合计,重工业企业固定资产原价合计,集体工业企业固定资产原价合计,集体联营工业企业固定资产原价合计
1978年,,,,,,,,,,,,,,,,,,,,,3477.63,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,3803.8,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,4134.0,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,4506.73,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,4926.66,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,5399.42,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,5916.04,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,6885.85,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,7921.41,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,9158.24,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,10641.14,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,12473.97,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,14389.96,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,17156.27,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,19963.14,,,,,,,,,,,,,,,,
1993年,4453.35,,,,,,,,,,,,,,,,,,13408.21,7956.79,25818.31,,,,,,,,,,,,,7302.45,18515.84,,
1994年,,,,,,,,,,,,,,,,,,,,,33441.472,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,44988.8,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,52026.6352,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,59569.70904,,,,,,,,,,,,,,,,
1998年,9542.42,,,,,,,,,,,,,,,,,,38356.52,16933.12,64832.05489,,,,,,,,,,,,,17961.64,46870.41,,
1999年,9438.15103,,,,,,,,,,,,,,,,,,44076.89349,18332.04872,71847.09324,,,,,,,,,,,,,19246.16484,52600.9284,,
2000年,9571.75988,488.69834,4778.16238,,83.12052,5742.65392,,55.50178,64327.99304,897.14181,3750.88264,193.44807,32701.95493,6943.51764,424.96056,7510.18782,260.45498,1982.87212,48776.38992,20298.14807,78646.29787,12686.17156,6808.11701,436.44533,1723.64723,116.19078,1651.37247,806.75038,628.4738,99.95751,763.33515,1162.19019,10535.88762,20328.98453,58317.31334,4743.9606,89.42474
2001年,10702.37322,657.72508,5270.22828,,31.42795,9617.71202,,98.39305,69592.80119,1013.64467,3856.52373,180.1626,28286.53094,8757.43934,391.19209,9038.30848,517.68148,2592.67364,55443.34136,20147.38319,86293.09777,18375.15136,7661.9881,532.33157,2259.48813,144.60247,2741.0564,1636.64486,772.82063,186.98844,739.8675,1135.80817,14348.88231,21379.99103,64913.10674,3934.07656,70.11976
2002年,11539.00763,709.37677,5621.08746,,36.53225,11970.97565,,100.01559,75161.06896,1009.73424,4190.60363,178.91464,28226.44506,9844.87399,342.43003,10334.14752,794.50962,3209.17367,60067.07442,22281.86303,93887.94508,21815.84964,8392.7286,604.47497,2587.91576,184.82446,3959.95171,2526.67221,985.12907,263.32597,684.99473,1206.74747,15631.17782,23176.52358,70711.4215,3599.37028,63.63447
2003年,36033.76349,820.87686,6364.68533,,60.21424,15024.14092,,55.21832,83738.15668,1000.06372,4467.10451,127.96598,30210.52215,9938.73657,341.21999,12459.69218,1102.97013,4171.15986,46363.99648,23159.32956,105557.08953,24962.87749,9359.24067,719.21123,3172.86121,258.82117,6228.8548,4233.75599,1338.46591,397.81173,591.83282,1179.09092,17175.48742,24412.35101,81144.73852,3329.27684,67.42853
2004年,41995.74,1056.03,8260.43,,55.73,22147.61,,44.11,96373.94,986.35,5013.98,94.72,29389.0,12259.61,568.42,17983.58,1733.94,6933.18,53793.16,29972.95,125761.85,34407.22,11404.34,999.79,4404.22,280.81,9992.56,7747.45,1331.49,632.81,750.76,924.93,18399.93,28567.57,97194.28,2453.81,43.5
2005年,45985.47322,1316.95101,9690.59628,,232.6282,25812.16325,,46.78366,108876.8068,975.94909,5558.91371,93.5957,31262.54309,14917.32905,657.07875,21370.5798,1753.22984,8609.80267,63696.94362,33461.21308,143143.62992,40729.4923,12896.24332,985.03753,5376.34299,378.6198,12983.31865,9998.80653,1821.02857,784.86375,846.59832,924.47223,19392.06744,32055.86988,111087.76004,2505.68657,49.14021
2006年,53787.22,1347.24,11700.42,,190.68,32057.33,,65.23,127984.66,1031.89,5624.48,81.83,34062.6,17076.53,784.11,26365.34,1839.56,11478.12,74710.69,40352.3,168850.2,49133.87,14500.2,1048.71,6795.13,498.1,17316.09,13318.77,2466.02,1033.2,988.72,890.58,22789.58,36382.06,132468.14,2612.54,57.55
2007年,62779.41347,1502.2043,13882.69934,,534.1481,39980.80659,,84.16054,149195.67231,987.28616,7326.5604,100.71301,38146.1198,17029.99906,992.5233,32029.86078,2308.85966,14336.09748,88531.09608,47428.75573,198739.26528,57010.80565,17513.73219,1183.39877,8016.48686,611.39237,22383.18075,17238.97368,3143.86649,1388.94821,1229.69443,1056.37054,26048.26239,41576.93483,157162.33045,2787.09065,52.29758
2008年,77868.90063,1263.83575,18270.28295,,477.51195,47484.31025,,60.79246,184912.11935,966.34701,7930.137,79.01251,50580.53693,16003.6723,824.6654,39764.27381,2343.37323,17886.78188,102155.68846,65328.20962,245352.79871,63487.98255,20676.40555,1128.66072,10651.26082,895.31319,34437.22229,25920.56279,5451.97886,2169.36745,1023.0968,1100.18889,31255.00987,50658.46609,194694.33262,2550.57007,58.62643
2009年,86956.00669,1245.70383,19205.58806,,676.61943,57700.3732,,40.77542,213033.55891,1091.31141,8924.04346,64.03559,49436.87938,21842.7964,902.42846,43154.87751,2604.62392,20098.9617,118297.19415,73287.88595,278541.08679,79543.1696,22352.65037,1402.64041,10934.65509,1073.49581,42366.46467,31732.44695,6675.53137,2884.99054,1068.92672,1189.78722,36122.77182,56197.92036,222343.16643,2628.94007,61.68725
2010年,104828.72407,1334.51226,21460.97414,,973.32989,70845.70553,,42.83541,257230.44203,1206.99871,10623.61992,76.19496,59183.00857,24550.39601,790.83587,51149.94628,3176.65765,25177.80223,143133.16226,86877.52559,334839.41192,95396.10154,26459.02361,1535.50303,13092.90195,1411.52508,56459.88587,42230.10507,9046.75051,3771.50521,965.73694,1274.64846,40055.78019,66496.67622,268342.7357,2921.95057,55.8707
2011年,92243.78964,1758.10533,24162.72959,53.09343,4345.09193,82535.16035,33.75243,85.17036,301727.83749,1091.86687,11731.83843,110.96038,65141.72447,26194.23281,855.2403,54098.10657,3049.43811,25074.74011,201358.41162,92484.51544,386086.7167,108729.39316,30260.77264,1398.62428,16004.69063,1478.20537,65621.76672,49492.79855,10296.3294,4354.4334,1102.16859,1406.33833,50715.76903,77594.98852,308491.72818,4665.58526,50.79755
2012年,104186.84349,1747.51355,25729.17889,137.4411,5728.32662,96215.50234,72.72754,101.56253,343063.97937,1112.45005,13080.75163,88.39002,73946.07891,26546.47388,527.20245,57897.14722,3170.12714,27112.88654,220014.82063,110272.60988,434474.274,122761.97622,33513.14741,1728.32193,17518.89626,1608.7876,79904.05101,60520.04326,12121.07259,5654.14756,763.89934,1704.09179,55062.1818,86665.57583,347808.69817,3193.37368,46.74434
2013年,117614.1,1753.32,28483.91,170.9,1994.28,128484.22,44.52,67.69,396765.68,1165.94,14536.17,17.6,49547.12,43575.82,285.65,64771.88,3604.82,30758.92,251389.38,130400.61,499404.09,172060.04,37866.53,1834.36,20285.54,1008.36,103175.81,88376.1,5669.86,8121.49,397.59,489.0,67044.94,101534.27,397869.83,2056.89,26.65
