,中型工业企业主营业务税金及附加,中外合作经营工业企业主营业务税金及附加,中外合资经营工业企业主营业务税金及附加,其他外商投资工业企业主营业务税金及附加,其他工业企业主营业务税金及附加,其他有限责任公司工业企业主营业务税金及附加,其他港澳台商投资工业企业主营业务税金及附加,其他联营工业企业主营业务税金及附加,内资工业企业主营业务税金及附加,合作经营(港或澳、台资)工业企业主营业务税金及附加,合资经营(港或澳、台资)工业企业主营业务税金及附加,国有与集体联营工业企业主营业务税金及附加,国有工业企业主营业务税金及附加,国有独资公司工业企业主营业务税金及附加,国有联营工业企业主营业务税金及附加,外商投资工业企业主营业务税金及附加,外商投资股份有限公司工业企业主营业务税金及附加,外资工业企业主营业务税金及附加,大型工业企业主营业务税金及附加,小型工业企业主营业务税金及附加,工业企业主营业务税金及附加,有限责任公司工业企业主营业务税金及附加,港、澳、台商投资工业企业主营业务税金及附加,港澳台商投资股份有限公司工业企业主营业务税金及附加,港澳台商独资经营工业企业主营业务税金及附加,私营合伙工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,私营有限责任公司工业企业主营业务税金及附加,私营独资工业企业主营业务税金及附加,私营股份有限公司工业企业主营业务税金及附加,联营工业企业主营业务税金及附加,股份合作工业企业主营业务税金及附加,股份有限公司工业企业主营业务税金及附加,轻工业企业主营业务税金及附加,重工业企业主营业务税金及附加,集体工业企业主营业务税金及附加,集体联营工业企业主营业务税金及附加
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,470.93,,,,,,,,,,,,,,,,,,1174.48,675.82,2321.23,,,,,,,,,,,,,973.41,1347.75,,
1994年,,,,,,,,,,,,,,,,,,,,,1067.38,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,166.17,,,,,,,,,,,,,,,56.3,,,837.01,233.61,1236.79,,42.34,,,,,,,,,,17.92,785.58,451.21,111.15,
1999年,149.77094,,,,,,,,,,,,,,,74.94118,,,925.47339,232.40227,1307.65,,36.56422,,,,,,,,,,59.01458,803.45411,504.19249,694.81282,
2000年,156.50722,1.29617,71.42174,,2.01224,67.15356,,1.18391,1304.41262,4.77838,22.30891,1.58368,797.72894,88.79732,6.12914,81.41915,1.97594,6.7253,1016.94458,260.71748,1434.17,155.95088,48.33751,7.85902,13.3912,4.17036,44.91101,18.93099,19.51741,2.29225,10.76408,21.68733,173.6263,846.30605,587.86323,97.73184,1.86735
2001年,182.01498,2.00378,72.9021,,0.69589,113.20609,,1.11651,1419.03892,4.16444,19.53961,1.3724,796.13692,92.70945,6.9358,86.79056,1.44811,10.43657,1112.63577,259.17292,1553.82,205.91554,47.99419,7.07008,17.22006,4.74678,68.46052,35.71259,24.14461,3.85654,11.19023,20.30547,240.64328,936.89014,616.93353,75.69107,1.76552
