,中型工业企业负债合计,中外合作经营工业企业负债合计,中外合资经营工业企业负债合计,其他外商投资工业企业负债合计,其他工业企业负债合计,其他有限责任公司工业企业负债合计,其他港澳台商投资工业企业负债合计,其他联营工业企业负债合计,内资工业企业负债合计,合作经营(港或澳、台资)工业企业负债合计,合资经营(港或澳、台资)工业企业负债合计,国有与集体联营工业企业负债合计,国有工业企业负债合计,国有独资公司工业企业负债合计,国有联营工业企业负债合计,外商投资工业企业负债合计,外商投资股份有限公司工业企业负债合计,外资工业企业负债合计,大型工业企业负债合计,小型工业企业负债合计,工业企业负债合计,有限责任公司工业企业负债合计,港、澳、台商投资工业企业负债合计,港澳台商投资股份有限公司工业企业负债合计,港澳台商独资经营工业企业负债合计,私营合伙工业企业负债合计,私营工业企业负债合计,私营有限责任公司工业企业负债合计,私营独资工业企业负债合计,私营股份有限公司工业企业负债合计,联营工业企业负债合计,股份合作工业企业负债合计,股份有限公司工业企业负债合计,轻工业企业负债合计,重工业企业负债合计,集体工业企业负债合计,集体联营工业企业负债合计
2003年,36082.909,683.33713,6794.79399,0.0,83.22829,15687.3893,0.0,65.16424,77764.90573,773.40406,4316.5349,153.00058,26232.2656,9215.30179,321.53029,12772.28907,595.53279,4698.62516,36601.60949,26843.44919,99527.97,24902.69109,8990.77288,489.8692,3410.96472,297.04496,8781.2429,6266.79393,1645.71721,571.6868,614.86714,1578.41064,11329.81387,28310.37254,71217.59514,4242.3862,75.17203
2004年,43703.38,946.86,9010.27,0.0,54.11,24004.35,0.0,64.1,93569.07,738.95,5490.2,101.95,25584.02,10685.26,548.79,19412.73,1070.2,8385.4,43994.83,37149.2,124847.41,34689.61,11865.61,614.67,5021.79,316.04,14529.31,11750.77,1616.94,845.56,761.88,1223.77,13446.15,33791.65,91055.76,3280.21,47.04
2005年,48094.95038,1098.18355,10476.50523,0.0,277.77919,27832.80459,0.0,77.97719,105050.47493,710.16417,6021.16288,110.04474,25285.51556,13270.92851,653.97094,22814.79417,968.98841,10271.11698,54434.73663,38980.15541,141509.84,41103.7331,13644.57332,710.74933,6202.49694,388.34256,18038.87193,14638.77786,2024.20638,987.54513,899.06993,1286.50097,15009.2686,36705.49304,104804.34938,3149.73565,57.07706
2006年,56638.75,989.35,12689.81,0.0,218.62,35135.99,0.0,72.37,123923.67,735.08,6537.79,98.39,26699.2,15510.41,711.49,28019.24,1262.96,13077.13,64377.79,46305.69,167322.23,50646.4,15379.33,777.65,7328.8,512.91,23946.79,19461.69,2668.51,1303.68,955.52,1242.76,17066.26,41457.81,125864.41,3148.1,73.26
2007年,68008.45965,1419.26136,15820.01641,0.0,372.89432,43574.93397,0.0,87.5685,147745.46449,822.17153,8448.90243,123.36135,29398.07307,17406.38203,857.55054,35628.26335,1760.06893,16628.91665,79152.0643,55753.16058,202913.68,60981.316,19539.95669,1059.8857,9208.99703,612.94228,31120.19357,25581.41958,3177.79399,1748.03772,1125.70271,1360.23699,20245.12518,48460.50077,154453.18376,3141.92265,57.22232
2008年,82226.79742,1157.74749,19260.59705,0.0,650.31301,54728.48857,0.0,78.84852,186068.37938,701.03571,8928.56677,89.24026,39009.84115,17188.37963,835.14407,40815.99344,1858.72634,18538.92256,95189.53776,71483.04813,248899.38,71916.8682,22015.01049,1060.75998,11324.64803,801.41075,42825.29642,34519.44863,4883.68102,2620.75602,1051.78075,1379.681,26475.62792,55064.07919,193835.30412,2758.97093,48.5479
2009年,93146.93377,1084.62828,21588.57727,0.0,876.75394,63494.33985,0.0,52.8432,215804.03842,750.93219,10801.36863,65.22283,42020.68308,22852.94783,923.17785,44581.60003,2039.74139,19868.65309,113176.47133,79409.40286,285732.81,86347.28768,25347.16951,1404.63393,12390.23476,900.10551,50495.45311,40657.01641,5536.76523,3401.56596,1094.50765,1375.53292,30886.68571,60861.09949,224871.70847,2707.13433,53.26377
2010年,111326.23656,1173.89331,25173.13619,0.0,1059.93692,77771.5375,0.0,65.67059,258357.63287,836.78638,12168.9392,86.61703,48809.87777,25502.53475,669.25797,52448.88779,2702.42116,23399.43713,138521.92303,90548.22942,340396.39,103274.07225,29589.86835,1707.64851,14876.49426,1162.24418,64068.4068,51596.60405,6894.65598,4414.90259,878.50359,1467.97098,35800.23833,72513.78408,267882.60493,2998.62623,56.958
2011年,95167.94585,1339.25663,27342.68125,47.95307,3851.97722,94399.82754,75.91057,80.8128,300513.82233,738.97183,14355.51208,166.99915,55618.35871,27569.46657,618.07731,57408.13832,2569.16939,26109.07798,203921.3175,93555.38067,392644.64,121969.29411,34722.68337,1656.18802,17896.10087,1013.29759,69744.77414,57257.31313,6328.32368,5145.83974,922.32267,1523.90012,44012.66156,80667.82102,311976.823,2870.5338,56.43341
2012年,107549.01162,1613.99562,27933.69678,128.89317,4782.84591,111000.13342,101.12918,73.97523,347957.65302,813.62501,15506.68805,101.74244,63754.7156,29522.86325,428.51449,59010.19496,2753.66095,26579.94844,226231.29858,111591.43493,445371.75,140522.99667,38403.89715,2011.30616,19971.14875,1174.08019,82699.27933,68173.48331,7043.77562,6307.94021,654.94661,1745.24051,50855.79511,91410.56381,353961.18132,2941.83328,50.71445
2013年,119968.06,1417.99,31233.06,134.78,1255.52,145980.34,43.27,25.72,399496.99,878.16,16741.6,19.47,41658.23,44637.86,166.56,64239.76,2871.93,28582.0,250741.21,134985.05,505694.32,190618.2,41957.58,2118.16,22176.39,738.47,101333.98,89056.01,3361.97,8177.53,234.95,719.23,61295.25,103935.08,401759.24,2381.62,23.2
2014年,129958.66,1371.28,32332.75,235.85,1084.93,167172.95,42.17,22.83,437107.07,947.81,17589.48,15.66,38682.47,48545.46,126.0,65366.46,2820.51,28606.08,267845.66,149227.11,547031.43,215718.41,44557.89,1765.83,24212.6,644.92,111130.1,98208.09,3421.44,8855.65,179.53,703.33,66440.25,112649.05,434382.37,3168.05,15.05
