,中型工业企业所有者权益合计,中外合作经营工业企业所有者权益合计,中外合资经营工业企业所有者权益合计,其他外商投资工业企业所有者权益合计,其他工业企业所有者权益合计,其他有限责任公司工业企业所有者权益合计,其他港澳台商投资工业企业所有者权益合计,其他联营工业企业所有者权益合计,内资工业企业所有者权益合计,合作经营(港或澳、台资)工业企业所有者权益合计,合资经营(港或澳、台资)工业企业所有者权益合计,国有与集体联营工业企业所有者权益合计,国有工业企业所有者权益合计,国有独资公司工业企业所有者权益合计,国有联营工业企业所有者权益合计,外商投资工业企业所有者权益合计,外商投资股份有限公司工业企业所有者权益合计,外资工业企业所有者权益合计,大型工业企业所有者权益合计,小型工业企业所有者权益合计,工业企业所有者权益合计,有限责任公司工业企业所有者权益合计,港、澳、台商投资工业企业所有者权益合计,港澳台商投资股份有限公司工业企业所有者权益合计,港澳台商独资经营工业企业所有者权益合计,私营合伙工业企业所有者权益合计,私营工业企业所有者权益合计,私营有限责任公司工业企业所有者权益合计,私营独资工业企业所有者权益合计,私营股份有限公司工业企业所有者权益合计,联营工业企业所有者权益合计,股份合作工业企业所有者权益合计,股份有限公司工业企业所有者权益合计,轻工业企业所有者权益合计,重工业企业所有者权益合计,集体工业企业所有者权益合计,集体联营工业企业所有者权益合计
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,2774.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8185.56,5131.04,16090.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4760.85,11329.81,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21766.6284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27482.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31680.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36628.8288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,4908.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4725.62,0.0,0.0,23337.89,11198.84,39445.4,0.0,4119.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.06,12609.82,26835.59,3579.64,0.0
1999年,5135.44302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5258.5154,0.0,0.0,27549.07918,11934.27399,44618.8,0.0,4471.89058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4359.61654,13836.85817,30781.93802,3505.65199,0.0
2000年,5174.36913,330.72011,3853.97228,0.0,32.5524,3252.26709,0.0,46.74498,38352.51968,513.52221,2470.33718,134.30345,16922.82449,4356.19312,182.67864,6051.28677,277.00051,1589.59387,29991.21275,14241.29606,49406.88,7608.46021,5003.07149,449.03953,1570.17257,100.23238,1664.99474,954.17609,510.29184,100.29443,438.58123,818.77585,7552.06181,15348.0878,34058.79014,3314.26895,74.85416
2001年,6274.69499,442.80437,4226.73969,0.0,40.08808,5676.38115,0.0,55.96392,42630.11436,532.66802,2526.16255,129.23357,15619.95318,5355.32937,227.52154,7243.72615,471.65382,2102.52827,34624.21317,14525.49493,55424.4,11031.71052,5550.56258,468.87492,2022.85709,114.89748,2374.58654,1449.48116,645.76227,164.44563,466.38868,877.73764,9354.30056,16860.48309,38563.92,2865.34916,53.66965
2002年,6944.80296,477.8043,4530.91409,0.0,31.85153,7396.62872,0.0,62.5155,45882.07199,544.25005,2759.41718,126.94714,14821.45403,5958.88875,221.17881,8263.00402,648.93749,2605.34814,36579.62644,16717.58099,60242.01,13355.51747,6096.93438,448.05383,2345.21332,162.79938,3567.3532,2313.52204,847.99137,243.04041,478.31719,1000.2461,9948.73809,18815.91926,41426.09113,2678.59438,67.67574
