,中型工业企业流动资产合计,中外合作经营工业企业流动资产合计,中外合资经营工业企业流动资产合计,其他外商投资工业企业流动资产合计,其他工业企业流动资产合计,其他有限责任公司工业企业流动资产合计,其他港澳台商投资工业企业流动资产合计,其他联营工业企业流动资产合计,内资工业企业流动资产合计,合作经营(港或澳、台资)工业企业流动资产合计,合资经营(港或澳、台资)工业企业流动资产合计,国有与集体联营工业企业流动资产合计,国有工业企业流动资产合计,国有独资公司工业企业流动资产合计,国有联营工业企业流动资产合计,外商投资工业企业流动资产合计,外商投资股份有限公司工业企业流动资产合计,外资工业企业流动资产合计,大型工业企业流动资产合计,小型工业企业流动资产合计,工业企业流动资产合计,有限责任公司工业企业流动资产合计,港、澳、台商投资工业企业流动资产合计,港澳台商投资股份有限公司工业企业流动资产合计,港澳台商独资经营工业企业流动资产合计,私营合伙工业企业流动资产合计,私营工业企业流动资产合计,私营有限责任公司工业企业流动资产合计,私营独资工业企业流动资产合计,私营股份有限公司工业企业流动资产合计,联营工业企业流动资产合计,股份合作工业企业流动资产合计,股份有限公司工业企业流动资产合计,轻工业企业流动资产合计,重工业企业流动资产合计,集体工业企业流动资产合计,集体联营工业企业流动资产合计
2003年,26824.71732,571.31447,6956.20592,0.0,60.10141,10933.12602,0.0,64.76387,54673.90181,689.93937,3961.29702,138.34219,15334.70396,6190.17467,232.70832,12745.2254,504.69085,4713.01416,27443.66265,21895.36497,76163.74,17123.30069,8744.61773,454.81632,3638.56502,281.72549,7838.48347,5511.16981,1503.8712,541.71697,500.87235,1454.09775,8726.43996,25133.24517,51030.49977,3635.90222,65.05797
2004年,33179.46,776.91,9196.07,0.0,44.4,17151.97,0.0,63.95,66568.6,671.38,4927.49,84.5,14040.37,6912.1,250.28,19128.04,926.32,8228.74,32585.66,31418.62,97183.74,24064.07,11487.11,568.86,5319.38,309.89,13080.46,10491.05,1503.69,775.84,443.66,1133.76,10771.74,30422.23,66761.51,2990.13,44.93
2005年,37238.19879,905.71506,10024.97492,0.0,217.49464,20481.91364,0.0,75.34604,75727.44459,655.8564,5204.64965,86.95921,14131.9621,8433.35347,245.1658,22166.1345,870.56526,10364.87926,40385.47537,33407.73737,111031.41,28915.26711,13137.83244,674.74866,6602.57773,394.45609,16426.00543,13201.61113,1920.3934,909.54481,458.77935,1289.00884,11316.81268,34148.20235,76883.20918,2972.11444,51.3083
2006年,44652.07,840.39,11967.25,0.0,189.06,25544.2,0.0,88.98,89635.19,723.18,5900.29,81.55,14771.68,9675.03,287.94,27323.31,1071.48,13444.19,47397.01,40261.05,132310.12,35219.23,15351.62,726.5,8001.66,513.61,22035.64,17686.97,2645.11,1189.96,524.99,1202.53,12675.74,39638.91,92671.21,3016.31,66.51
2007年,55353.6936,1178.91708,15157.888,0.0,376.27096,31862.81541,0.0,98.81444,109478.104,808.51027,7402.83675,89.35974,16157.16741,11158.9325,386.51051,34603.79102,1401.06215,16865.92379,58340.7562,49565.16674,163259.62,43021.74791,19177.72152,956.48963,10009.88487,635.09053,29412.55997,23842.97271,3298.2339,1636.26283,621.82678,1393.80516,15386.36358,47727.69638,115531.92016,3108.36223,47.14209
2008年,64479.88592,987.99939,17394.32895,0.0,562.8715,38727.66823,0.0,65.77105,135341.56366,675.30348,7912.11861,73.29155,19645.11374,11643.91572,398.71725,38891.21107,1635.81499,18873.06774,68418.88232,62782.97688,195681.75,50371.58395,21448.97039,869.3486,11992.1997,838.14165,40572.41596,32282.91243,4913.88606,2537.47582,583.85393,1210.45233,19704.57253,54736.47749,140945.26763,2690.69972,46.07408
2009年,72275.31011,973.56756,20489.14814,0.0,730.24037,44539.33859,0.0,58.0018,153956.5491,761.2101,9492.69444,48.28784,20011.68569,14578.65843,333.03468,44110.14464,1774.66076,20872.76818,80088.78407,70674.5864,223038.68,59117.99702,24971.98684,1237.56711,13480.51519,920.99185,47550.43428,37849.09535,5508.1034,3272.24368,488.05944,1179.3408,22230.57207,61815.73979,161222.94079,2648.21943,48.73512
2010年,90834.86499,1145.20389,25255.9382,0.0,851.44911,56893.35236,0.0,45.91644,194898.68364,921.32891,10926.05533,65.44888,24497.26113,16885.86733,305.50415,54494.3833,2544.73353,25548.50768,105064.13007,83328.32484,279227.32,73779.21969,29834.25296,1609.79778,16377.07094,1159.87205,61798.67052,49055.6983,6976.90763,4606.19254,470.57333,1296.91539,29255.44988,75723.233,203504.0869,2949.14459,53.70386
2011年,81093.32082,1221.74138,27422.88318,46.45188,3243.23639,70774.11158,69.2026,71.32099,232444.00918,846.99894,13125.24619,145.64875,27116.16258,18494.85878,243.25523,60145.97393,2523.96436,28930.93313,159412.0209,87273.30971,327778.65,89268.97036,35188.66832,1770.57122,19376.64937,1048.35126,69059.44716,55341.44869,6914.59444,5755.05277,510.61759,1344.40322,38932.54839,86398.44535,241380.20608,2968.62349,50.39262
2012年,91014.82804,1407.27216,27595.50777,138.65233,4207.21735,82812.26732,93.13518,57.31884,267910.7698,888.17006,14178.30431,80.8186,30670.60756,19313.21814,168.24415,61390.938,2596.73848,29652.76726,173636.08857,103549.79207,368200.71,102125.48546,38899.00088,2136.58219,21602.80914,1209.79208,81049.07129,65317.20886,7764.13511,6757.93524,365.90205,1498.4427,44896.16299,98211.50277,269989.20591,3097.8804,59.52046
2013年,102221.68,1343.71,30499.92,142.12,972.78,105405.31,35.15,25.2,304720.69,983.51,15130.08,17.54,20686.24,24738.21,73.2,66494.47,2585.63,31923.1,186767.41,124501.82,413490.92,130143.52,42275.75,2225.55,23901.47,731.35,99272.0,85910.68,3860.84,8769.13,140.43,605.32,50312.6,112855.23,300635.69,2587.8,24.49
2014年,108983.59,1386.39,31220.61,187.26,879.28,118473.18,38.74,24.55,332018.8,1032.9,15749.31,14.42,18842.23,26923.55,57.35,68522.73,2600.81,33127.67,202037.33,134721.44,445742.36,145396.73,45200.83,2171.91,26207.98,638.11,108457.83,94676.22,3690.47,9453.02,113.66,576.98,54448.84,122161.53,323580.83,3303.25,17.34
