,金融机构部门金融交易资金来源_中央银行贷款,金融机构部门金融交易资金来源_保险准备金,金融机构部门金融交易资金来源_其他(净),金融机构部门金融交易资金来源_其他对外债权债务,金融机构部门金融交易资金来源_净金融投资,金融机构部门金融交易资金来源_准备金,金融机构部门金融交易资金来源_国际储备资产,金融机构部门金融交易资金来源_国际收支错误与遗漏,金融机构部门金融交易资金来源_存款,金融机构部门金融交易资金来源_库存现金,金融机构部门金融交易资金来源_未贴现的银行承兑汇票,金融机构部门金融交易资金来源_直接投资,金融机构部门金融交易资金来源_证券,金融机构部门金融交易资金来源_证券公司客户保证金,金融机构部门金融交易资金来源_证券投资基金份额,金融机构部门金融交易资金来源_贷款,金融机构部门金融交易资金来源_资金来源,金融机构部门金融交易资金来源_资金运用,金融机构部门金融交易资金来源_通货,金融机构部门金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,71.8,-1264.0,,,,,,5964.7,,,,10.9,,,,6134.2,,1162.1,
1993年,2917.12,87.93,-539.66,,,1574.52,,,6478.43,194.1,,,78.0,,,,12451.31,,1528.7,52.6
1994年,859.29,125.22,-170.99,,,2062.28,,,11776.92,26.96,,,776.0,,,,16646.45,,1424.0,26.15
1995年,888.58,137.84,-2146.35,,,2280.02,,,13414.0,59.39,,,1050.57,,,,17401.87,,596.74,-37.67
1996年,3863.47,197.03,-2661.41,,,4696.1,,,16720.53,-48.52,,,603.97,,,,25126.43,,916.67,-168.43
1997年,,,,,,,,,,,,,,,,,,,,
1998年,-1993.32,336.57,538.52,-252.93,,-1523.42,,,14173.85,65.53,,,1637.73,,,,14386.38,,1026.54,797.06
1999年,250.9,511.56,-621.13,-464.0,,347.19,,,13399.0,752.93,,,1317.69,,,-33.0,19918.51,,2251.34,1993.51
2000年,,,,,,,,,,,,,,,,,,,,
2001年,305.45,938.27,350.88,-52.85,,1983.01,,,19135.64,-102.97,,,1151.2,,,-133.14,23940.92,,1036.15,-952.63
2002年,-455.661802524,1640.590644,-1016.97678473,-51.23976174,,1640.16501655,,,27911.778352,128.359016588,,,3006.5,,,-156.80439353,35637.6,,1589.23026121,1345.82617957
2003年,850.062648471,2254.2632,857.159021826,-6.12017934,,3910.09919794,,,36159.6053833,289.307071782,,,3600.15,,,801.95211965,52996.274237,,2467.96438499,1642.71888418
2004年,-1191.1275445,2463.5448077,1942.51643979,211.235275216,,4723.56986604,,,33761.5592234,176.403905658,,,10408.289574,,,811.494271581,55419.895771,,1722.31073349,500.733793739
2005年,-1707.76938597,2744.0452243,735.589014111,278.613069471,,2832.72870869,,,42473.0338576,399.93797009,,,16885.722871,,,194.490773968,71910.6724809,,2563.36933992,4749.33610109
2006年,-1651.0,3129.0,3980.0,504.0,,11423.0,,,50017.0,80.0,,,18451.0,3416.0,1191.0,672.0,93505.0,,3041.0,-2440.0
2007年,-8714.0,3117.0,5386.0,177.0,,20713.0,,,54243.0,571.0,,530.0,14370.0,8986.0,5437.0,1058.0,107343.0,,3303.0,-2317.0
2008年,-485.0,4480.0,1529.0,80.0,,21100.0,,,77381.0,50.0,,,20236.0,-5340.0,3336.0,1517.0,122790.0,,4112.0,-5206.0
2009年,-1589.0,5864.0,-788.0,25.0,,11507.0,,,132764.0,416.0,,,4786.0,6272.0,-1206.0,441.0,168847.0,,4046.0,6312.0
2010年,469.058602,2469.772357,19395.0467915,28.1945816385,,33260.799686,,,130662.156761,713.992937,23346.0,,11278.6855775,-2372.86666667,-1566.3,251.0,227985.724327,,6507.436967,3542.74673274
2011年,-727.0,5242.0,26753.0,252.0,,36154.0,,,113415.0,1042.0,10271.0,,-3927.0,-6511.0,2282.0,1442.0,196038.0,,6162.0,4188.0
2012年,476.0,6868.0,51780.0,1338.0,,23150.0,,,129748.0,928.0,10499.0,,12625.0,-685.0,5198.0,,245774.0,,3910.0,-60.0
2013年,412.737557982,6665.1494871,54654.9075865,1475.93938661,,14302.3222683,,,153562.483675,419.565446946,7755.65541205,,4139.1919735,-310.409313,1352.15,,266620.061817,,3915.3975501,18274.9707859
2014年,,,,,,,,,,,,,,,,,,,,
