,中成药制造高技术产业研究与试验发展机构数(大中型工业企业口径),仪器仪表制造业高技术产业研究与试验发展机构数(大中型工业企业口径),其他电子设备制造高技术产业研究与试验发展机构数(大中型工业企业口径),化学药品制造高技术产业研究与试验发展机构数(大中型工业企业口径),医疗仪器设备及器械制造业高技术产业研究与试验发展机构数(大中型工业企业口径),医疗器械及仪器仪表制造业高技术产业研究与试验发展机构数(大中型工业企业口径),医药制造业高技术产业研究与试验发展机构数(大中型工业企业口径),家用视听设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),广播电视设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),生物、生化制品的制造高技术产业研究与试验发展机构数(大中型工业企业口径),电子元件制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子及通信设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子器件制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机及办公设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机外部设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),电子计算机整机制造业高技术产业研究与试验发展机构数(大中型工业企业口径),航空航天器制造业高技术产业研究与试验发展机构数(大中型工业企业口径),通信设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),雷达及配套设备制造业高技术产业研究与试验发展机构数(大中型工业企业口径),高技术产业研究与试验发展机构数(大中型工业企业口径)
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,2138.0
1996年,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,1379.0
2001年,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,1619.0
2006年,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,2534.0
2009年,234.0,339.0,65.0,477.0,78.0,417.0,849.0,122.0,29.0,70.0,480.0,1251.0,287.0,217.0,124.0,55.0,111.0,239.0,29.0,2845.0
2010年,248.0,395.0,101.0,526.0,86.0,481.0,929.0,142.0,37.0,77.0,505.0,1439.0,333.0,213.0,110.0,46.0,122.0,296.0,25.0,3184.0
2011年,,,,,,,,,,,,,,,,,,,,3254.0
2012年,,,,,,,,,,,,,,,,,,,,4566.0
2013年,,,,,,,,,,,,,,,,,,,,4583.0
2014年,,,,,,,,,,,,,,,,,,,,4763.0
