,其他发电建设规模,其他汽车制造建设规模,其他酒建设规模,化学纤维建设规模,卷烟建设规模,原煤开采建设规模,啤酒建设规模,城市自来水供水能力(万吨/日)建设规模,塑料树脂及共聚物建设规模,天然原油开采建设规模,天然气开采建设规模,客车制造建设规模,家用洗衣机建设规模,家用电冰箱建设规模,平板玻璃建设规模,改建公路建设规模,新(扩)建港口码头年吞吐量建设规模,新(扩)建港口码头泊位建设规模,新建公路建设规模,新建铁路投产里程建设规模,机制纸浆建设规模,核能发电建设规模,棉纺锭建设规模,毛纺锭建设规模,氧化铝建设规模,氮肥建设规模,水力发电建设规模,水泥建设规模,火力发电建设规模,焦炭建设规模,生铁建设规模,电石建设规模,电视机建设规模,电解铅建设规模,电解铜建设规模,电解铝建设规模,电解锌建设规模,白酒建设规模,磷肥建设规模,粗钢建设规模,轮胎内胎建设规模,轮胎外胎建设规模,载货汽车制造建设规模,轿车制造建设规模,钾肥建设规模,铁合金建设规模,铁矿开采(原矿)建设规模,铅冶炼建设规模,铅含量建设规模,铅锌选矿处理原矿建设规模,铅锌采矿建设规模,铜冶炼建设规模,铜选矿处理原矿建设规模,铜选矿铜含量建设规模,铜采矿(原矿)建设规模,锌冶炼建设规模,锌含量建设规模,风能发电建设规模
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,3621.69,380836.0,84.7,6772833.16,2660005.0,102845.18,1167.48,8213.92,9101344.21,2675.56,143.97,451250.0,1521.5,1819.55,42548.38,223024.84,71188.52,540.0,127467.85,17890.32,454.95,2698.5,18505729.0,855678.0,11107070.0,12366026.0,25041.93,83273.24,25959.68,19112.04,11402.89,7465917.0,729.4,507880.0,824926.1,2907645.0,504259.0,803.05,6107529.3,7308.86,5867.52,11283.72,372300.0,5014652.0,2116663.94,5334827.72,20235.29,1210746.0,173419.4,1755.79,2869.24,2423185.5,904.46,33336.0,3352.53,1754483.3,205332.4,0.0
2009年,4171.33,404234.0,121.18,5141476.7,4104136.0,119583.99,810.21,9147.71,8560793.8,3259.18,46.28,753730.0,1027.5,837.0,22876.53,241051.1,51993.28,559.0,183382.47,23537.28,732.26,3275.9,18883973.7,236370.0,7107000.0,17690694.0,18892.6,107291.81,23461.6,21959.0,7303.24,7804415.0,818.34,444360.0,1668646.0,3088406.0,1087330.0,293.17,8438025.67,6711.1,25342.3,10854.85,710280.0,5080402.0,4131007.0,5556381.7,20596.33,1924631.1,144726.5,2642.14,3623.17,3627171.2,2016.05,72248.0,3920.42,2928932.0,186946.0,0.0
2010年,5827.0,870138.0,112.0,5783291.0,9094600.0,179019.0,1183.0,4013.0,12894805.0,5904.0,664.0,1241950.0,1518.0,1901.0,36941.0,183214.0,111340.0,767.0,134778.0,16911.0,404.0,4310.0,19877059.0,443800.0,11141695.0,22393196.0,17640.0,99503.0,21659.0,25014.0,5127.0,8897295.0,675.0,416773.0,1880200.0,5446650.0,1040112.0,506.0,5451835.0,3908.0,23369.0,21557.0,889400.0,4707652.0,3022171.0,4964476.0,38561.0,1759552.0,294710.0,5823.0,5532.0,4601951.0,3025.0,202625.0,6747.0,3964242.0,279298.0,0.0
2011年,1250.62,1164014.0,73.26,12844114.0,2087000.0,170472.65,886.14,34079.52,15824064.0,47719.4,507.34,1203231.0,940.0,2131.2,27988.87,120395.12,101847.45,873.6,129907.16,35316.89,585.33,2907.0,22009474.0,861800.0,11553480.0,19866822.5,19960.75,81839.05,17567.73,23010.19,8421.1,10120207.0,621.8,501530.0,1799000.0,5892396.0,1206000.0,1099.09,4110966.0,5922.28,5510.0,20942.22,982700.0,6421500.0,4911865.0,1112549.2,35214.54,1363634.0,256671.5,3228.92,51470.27,3801700.0,5108.74,248993.0,14804.15,2248227.0,325433.0,4565.65
2012年,1940.57,410371.0,142.11,13264857.0,4850000.0,202422.79,1205.7,3966.49,27002403.8,3926.81,458.83,1466128.0,1440.0,3124.5,18940.45,161340.72,160848.98,918.0,139622.81,19111.47,518.95,3266.5,24076326.0,183712.0,11992206.1,27770241.0,17293.09,76595.31,16379.14,22368.95,7422.64,18302147.7,1392.0,521240.0,2020774.0,13856702.0,639700.0,2044.71,4194278.0,5472.45,5742.5,24340.18,733602.0,7197770.0,5365001.0,0.0,35661.21,1552100.0,411329.0,3590.3,6216.56,3673637.8,6531.78,144499.35,7330.09,1134930.0,397971.0,4544.54
2013年,1136.24,323610.0,224.48,14675143.6,4405600.0,184375.98,568.14,2808.18,23135714.4,4874.97,617.35,381923.0,852.0,2216.0,22898.75,107373.32,106914.7,908.0,117286.34,17114.69,416.02,3830.0,20570035.2,264010.0,9480400.0,24957860.0,18070.01,62865.07,17516.89,21740.98,4800.19,0.0,1013.0,542900.0,911647.0,10412000.0,388440.0,326.41,3765194.0,6411.49,2946.0,21801.2,223180.0,5607350.0,2954953.0,0.0,47399.22,1167150.0,240159.3,1588.6,6776.03,3387103.0,4767.2,182059.0,7622.25,1149806.0,343135.0,4560.69
2014年,1349.05,414210.0,160.2,13236045.0,8280000.0,161485.41,659.18,2636.92,17798429.19,3662.64,456.29,771800.0,690.0,1117.0,15821.1,110655.59,106351.11,784.0,121632.39,24794.41,370.53,4458.61,15384713.0,357436.0,5846442.6,24708043.0,17269.56,47805.87,24728.87,14968.4,2831.08,0.0,798.0,200030.0,640400.0,9116218.5,0.0,286.87,3636441.0,7068.1,2582.5,17851.5,330700.0,6234294.0,4240112.0,0.0,37921.44,1241525.9,235370.5,2380.83,7225.12,3168405.0,2588.93,170032.85,4244.95,1317483.0,214343.73,5976.34
