,外汇储备,黄金储备
1978年,1.67,1280.0
1979年,8.4,1280.0
1980年,-12.96,1280.0
1981年,27.08,1267.0
1982年,69.86,1267.0
1983年,89.01,1267.0
1984年,82.2,1267.0
1985年,26.44,1267.0
1986年,20.72,1267.0
1987年,29.23,1267.0
1988年,33.72,1267.0
1989年,55.5,1267.0
1990年,110.93,1267.0
1991年,217.12,1267.0
1992年,194.43,1267.0
1993年,211.99,1267.0
1994年,516.2,1267.0
1995年,735.97,1267.0
1996年,1050.29,1267.0
1997年,1398.9,1267.0
1998年,1449.59,1267.0
1999年,1546.75,1267.0
2000年,1655.74,1267.0
2001年,2121.65,1608.0
2002年,2864.07,1929.0
2003年,4032.51,1929.0
2004年,6099.32,1929.0
2005年,8188.72,1929.0
2006年,10663.4,1929.0
2007年,15282.49,1929.0
2008年,19460.3,1929.0
2009年,23991.52,3389.0
2010年,28473.38,3389.0
2011年,31811.48,3389.0
2012年,33115.89,3389.0
2013年,38213.15,3389.0
2014年,38430.18,3389.0
