,准货币供应量,准货币供应量储蓄存款,准货币供应量储蓄存款同比增长率,准货币供应量其他存款,准货币供应量其他存款同比增长率,准货币供应量同比增长率,准货币供应量定期存款,准货币供应量定期存款同比增长率,流通中现金(M0)供应量,流通中现金(M0)供应量同比增长率,货币(M1)供应量,货币(M1)供应量同比增长率,货币供应量中活期存款供应量,货币供应量中活期存款供应量同比增长率,货币和准货币(M2)供应量,货币和准货币(M2)供应量同比增长率
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.7,26.2735849057,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.2,29.3238700037,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.3,14.4714038128,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.1,10.7998990664,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.8,20.6558870417,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.1,49.5092487731,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.8,24.706476455,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.4,23.344806641,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454.5,19.3778726198,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,46.7170849089,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,9.84067478913,0.0,0.0,0.0,0.0,0.0,0.0
1990年,8342.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2644.4,12.8156996587,6950.7,0.0,4306.3,0.0,15293.4,0.0
1991年,10716.6,0.0,0.0,0.0,0.0,28.5,0.0,0.0,3177.8,20.1709272425,8633.3,24.2076337635,5455.5,26.7,19349.9,26.5245138426
1992年,13670.7,0.0,0.0,0.0,0.0,27.6,0.0,0.0,4336.0,36.4465982755,11731.5,35.8866250449,7395.2,35.6,25402.2,31.2781978201
1993年,18599.4,15203.5,0.0,2148.0,0.0,0.0,1247.9,0.0,5864.7,0.0,16280.4,0.0,10415.7,0.0,34879.8,0.0
1994年,26382.8,21518.8,41.5,2920.9,36.0,41.9,1943.1,55.7,7288.6,24.2791617645,20540.7,26.1682759637,13252.1,27.2,46923.5,34.5291544103
1995年,36763.4,29662.2,37.9,3777.0,29.3,39.4,3324.2,71.1,7885.3,8.18675740197,23987.1,16.7783960625,16101.8,21.5,60750.5,29.4671113621
1996年,47580.1,38520.8,29.9,4017.4,6.4,29.4,5041.9,51.7,8802.0,11.6254295968,28514.8,18.8755622814,19712.8,22.4,76094.9,25.2580637196
1997年,56169.1,46279.8,19.3,3150.7,-8.9,17.8,6738.5,24.5,10177.6,15.6282663031,34826.3,16.54,24648.7,16.9,90995.3,17.32
