,A股发行量,A股筹资额,B股发行量,B股筹资额,"H股,N股发行量","H股,N股筹资额",股票发行量,股票筹资额,配股筹资额
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
1992年,10.0,50.0,10.75,44.09,0.0,0.0,20.75,94.09,0.0
1993年,42.59,276.41,12.79,38.13,40.41,60.93,95.79,375.47,81.58
1994年,10.97,99.78,10.4,38.27,69.89,188.73,91.26,326.78,50.16
1995年,5.32,85.51,10.9,33.35,15.38,31.46,31.6,150.32,62.83
1996年,38.29,294.34,16.05,47.18,31.77,83.56,86.11,425.08,69.89
1997年,105.65,825.92,25.1,107.9,136.88,360.0,267.63,1293.82,170.86
1998年,86.3,778.02,9.9,25.55,12.86,37.95,109.06,841.52,334.97
1999年,98.11,893.6,1.77,3.79,23.05,47.17,122.93,944.56,320.97
2000年,145.68,1527.03,7.1,13.99,359.26,562.21,512.04,2103.24,519.46
2001年,93.0,1182.13,0.0,0.0,48.48,70.21,141.48,1252.34,430.63
2002年,134.2,779.75,0.0,0.0,157.54,181.99,291.74,961.75,56.61
2003年,83.64,819.56,1.0,3.54,196.79,534.65,281.43,1357.75,74.79
2004年,54.88,835.71,1.53,27.16,171.51,648.08,227.92,1510.94,104.54
2005年,13.8,338.13,0.0,0.0,553.25,1544.38,567.05,1882.51,2.62
2006年,351.11,2463.7,0.0,0.0,936.66,3130.59,1287.77,5594.29,4.32
2007年,413.27,7722.99,0.0,0.0,223.9709,957.18,637.2409,8680.17,227.68
2008年,114.957234,3457.75,0.0,0.0,65.38,317.26,180.337234,3852.21,151.57
2009年,244.46957141,5004.9,0.0,0.0,155.58,1073.18,400.04957141,6124.69,105.97
2010年,553.95280624,9606.31,0.0,0.0,367.04,2365.62,920.99280624,11971.93,1438.25
2011年,163.99402,5073.07,0.0,0.0,108.37,741.12,272.36402,5814.19,421.96
2012年,78.86209927,3127.54,0.0,0.0,220.95,1006.84,299.81209927,4134.38,121.0
2013年,0.0,2802.76,0.0,0.0,259.92,1066.12,259.92,3868.88,0.0
2014年,70.10258708,4834.04,0.0,0.0,230.527446,2253.4,300.63003308,7087.44,137.98
