,上交所境内上市公司数(A、B股),仅发A股境内上市公司数,仅发B股境内上市公司数,发A、B股境内上市公司数,发A、H股境内上市公司数,境内上市公司数(A、B股),深交所境内上市公司数(A、B股)
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,8.0,10.0,,,,10.0,2.0
1991年,8.0,14.0,,,,14.0,6.0
1992年,29.0,35.0,,18.0,,53.0,24.0
1993年,106.0,177.0,41.0,35.0,3.0,183.0,77.0
1994年,171.0,287.0,58.0,54.0,6.0,291.0,120.0
1995年,188.0,311.0,70.0,58.0,11.0,323.0,135.0
1996年,293.0,514.0,85.0,69.0,14.0,530.0,237.0
1997年,383.0,720.0,101.0,76.0,17.0,745.0,362.0
1998年,438.0,825.0,106.0,80.0,18.0,851.0,413.0
1999年,484.0,922.0,108.0,81.0,19.0,949.0,465.0
2000年,572.0,1060.0,114.0,86.0,19.0,1088.0,516.0
2001年,646.0,1140.0,112.0,92.0,23.0,1160.0,514.0
2002年,715.0,1213.0,111.0,100.0,28.0,1224.0,509.0
2003年,780.0,1277.0,111.0,101.0,30.0,1287.0,507.0
2004年,837.0,1363.0,110.0,96.0,31.0,1377.0,540.0
2005年,834.0,1358.0,109.0,86.0,32.0,1381.0,547.0
2006年,842.0,1411.0,109.0,86.0,38.0,1434.0,592.0
2007年,860.0,1527.0,109.0,86.0,52.0,1550.0,690.0
2008年,864.0,1602.0,109.0,86.0,57.0,1625.0,761.0
2009年,870.0,1696.0,108.0,86.0,61.0,1718.0,848.0
2010年,894.0,2041.0,108.0,86.0,65.0,2063.0,1169.0
2011年,931.0,2320.0,108.0,86.0,72.0,2342.0,1411.0
2012年,954.0,2472.0,107.0,85.0,,2494.0,1540.0
2013年,953.0,2468.0,106.0,85.0,,2489.0,1536.0
2014年,995.0,2592.0,104.0,83.0,,2613.0,1618.0
