,上海平均市盈率,上海平均换手率,上证综合指数(收盘),企业债券发行额,债券成交额,国债发行额,国债回购成交金额,国债现货成交金额,境内上市公司数(A、B股),境内上市外资股公司数(B股),境外上市公司数(H股),期货总成交量,期货总成交额,流通股本,深圳平均市盈率,深圳平均换手率,深证综合指数(收盘),股票市价总值,股票总发行股本,股票成交量,股票成交金额,股票有效账户数,股票流通市值,证券投资基金只数,证券投资基金成交金额,证券投资基金规模
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,780.39,683.71,0.0,460.78,0.0,7.1276,53.0,18.0,24.0,0.0,0.0,21.18,0.0,0.0,241.2,1048.149033,68.87,36.89783401,683.0373,216.65,0.0,0.0,0.0,0.0
1993年,42.48,0.0,833.8,235.84,0.0,381.31,0.4228,61.02,183.0,41.0,6.0,890.69,5521.99,107.88,42.69,0.0,238.27,3541.520658,387.73,226.56471378,3627.2032,835.17,861.62,0.0,0.0,0.0
1994年,23.45,1134.64635473,647.87,161.75,0.0,1137.55,75.78,468.37,291.0,58.0,15.0,12110.72,31601.41,226.04,10.28,583.826454045,140.63,3690.6168,684.54,1013.33908608,8127.6289,1107.76,968.89,0.0,0.0,0.0
1995年,15.7,528.71648097,555.29,300.8,0.0,1510.86,1248.5158,775.2,323.0,70.0,18.0,63612.07,100565.3,301.46,9.46,254.515447044,113.24,3474.2764,848.42,705.30779324,4036.4527,1294.19,938.22,0.0,0.0,0.0
1996年,31.32,913.42760079,917.01,268.92,0.0,1847.77,13008.64,5029.24,530.0,85.0,25.0,34256.77,84119.16,429.85,35.42,1350.34898951,327.45,9842.3866,1219.54,2533.14428627,21332.1743,2422.08,2867.03,0.0,0.0,0.0
