,大中型工业企业有效发明专利数,规模以上工业中外合作经营企业有效发明专利数,规模以上工业中外合资经营企业有效发明专利数,规模以上工业企业有效发明专利数,规模以上工业其他企业有效发明专利数,规模以上工业内资企业有效发明专利数,规模以上工业国有企业有效发明专利数,规模以上工业国有独资公司有效发明专利数,规模以上工业国有联营企业有效发明专利数,规模以上工业外商投资企业有效发明专利数,规模以上工业外商投资股份有限公司有效发明专利数,规模以上工业外资企业有效发明专利数,规模以上工业有限责任公司有效发明专利数,规模以上工业港、澳、台商合作经营企业有效发明专利数,规模以上工业港、澳、台商合资经营企业有效发明专利数,规模以上工业港、澳、台商投资企业有效发明专利数,规模以上工业港、澳、台商投资股份有限公司有效发明专利数,规模以上工业港、澳、台商独资经营企业有效发明专利数,规模以上工业私营企业有效发明专利数,规模以上工业联营企业有效发明专利数,规模以上工业股份合作企业有效发明专利数,规模以上工业股份有限公司有效发明专利数,规模以上工业集体企业有效发明专利数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,
2000年,6394.0,,,,,,,,,,,,,,,,,,,,,,
2001年,8103.0,,,,,,,,,,,,,,,,,,,,,,
2002年,9388.0,,,,,,,,,,,,,,,,,,,,,,
2003年,15409.0,,,,,,,,,,,,,,,,,,,,,,
2004年,17988.0,,,30315.0,,,,,,,,,,,,,,,,,,,
2005年,22971.0,,,,,,,,,,,,,,,,,,,,,,
2006年,29176.0,,,,,,,,,,,,,,,,,,,,,,
2007年,43652.0,,,,,,,,,,,,,,,,,,,,,,
2008年,55723.0,,,80252.0,,,,,,,,,,,,,,,,,,,
2009年,81592.0,,,118245.0,,,,,,,,,,,,,,,,,,,
2010年,113074.0,,,,,,,,,,,,,,,,,,,,,,
2011年,146469.0,354.0,11048.0,201089.0,1399.0,148535.0,11076.0,5414.0,59.0,29183.0,2502.0,15250.0,57413.0,295.0,8797.0,23371.0,1956.0,12312.0,41366.0,152.0,362.0,35696.0,1071.0
2012年,204636.0,380.0,15601.0,277196.0,1480.0,209301.0,16376.0,7829.0,59.0,39759.0,2095.0,21639.0,79977.0,825.0,10962.0,28136.0,1671.0,14590.0,55726.0,142.0,777.0,53543.0,1280.0
2013年,244175.0,337.0,16552.0,335401.0,778.0,260828.0,10508.0,13502.0,113.0,43487.0,2574.0,23992.0,108529.0,435.0,13559.0,31086.0,2000.0,15025.0,74757.0,119.0,327.0,64653.0,1157.0
2014年,313626.0,929.0,25200.0,448885.0,200.0,351133.0,13468.0,16937.0,169.0,55244.0,3208.0,25821.0,139419.0,490.0,17463.0,42508.0,2877.0,21652.0,103775.0,179.0,364.0,92760.0,968.0
