,实物交易资金运用_其他经常转移,实物交易资金运用_其他财产收入,实物交易资金运用_其他资本转移,实物交易资金运用_其他非金融资产获得减处置,实物交易资金运用_净出口,实物交易资金运用_净金融投资,实物交易资金运用_初次分配总收入,实物交易资金运用_利息,实物交易资金运用_劳动者报酬,实物交易资金运用_单位社会保险付款,实物交易资金运用_可支配总收入,实物交易资金运用_固定资本形成总额,实物交易资金运用_地租,实物交易资金运用_增加值,实物交易资金运用_存货增加,实物交易资金运用_居民消费,实物交易资金运用_工资及工资性收入,实物交易资金运用_总储蓄,实物交易资金运用_投资性补助,实物交易资金运用_收入税,实物交易资金运用_政府消费,实物交易资金运用_最终消费,实物交易资金运用_生产税,实物交易资金运用_生产税净额,实物交易资金运用_生产补贴,实物交易资金运用_社会保险福利,实物交易资金运用_社会保险缴款,实物交易资金运用_社会补助,实物交易资金运用_红利,实物交易资金运用_经常转移,实物交易资金运用_财产收入,实物交易资金运用_资本形成总额,实物交易资金运用_资本转移
2005年,5085.50314238,393.646701483,485.061176799,,,-2486.07991433,,15451.939,93296.8720259,,,74232.9,306.0631,,3624.0,72958.7,,,1781.96573482,6949.2665,26398.83,99357.53,,23685.681399,,5400.8,6975.2,2241.91,8677.64807541,26652.6796424,24829.2968769,77856.9,2267.02691162
2006年,5868.48593951,1180.90136641,565.07707512,,,-6398.19868115,,24986.86,106554.741343,,,87954.06,579.864,,5000.02,82575.5,,,1965.08540191,8814.8529,30528.4,113103.9,,27656.6856117,,6477.4,8643.2,2807.754,10164.4112636,32611.6928395,36912.03663,92954.08,2530.16247703
2007年,7699.66915664,2387.234,671.5455328,,,-788.903717876,,31292.06,128108.491182,,,103948.61,965.6565,,6994.64,96332.5,,,2507.65918761,11964.83,35900.37,132232.9,,35304.8632,,7887.9,10812.3,3364.59583,13407.8667815,41729.2949866,48052.8172815,110943.25,3179.20472041
2008年,9460.83358809,2058.48412313,786.67899013,,,-1929.02246631,,43538.17006,150701.731331,,,128084.4,1337.06,,10240.78,111670.4,,,3162.56915715,14897.94,41752.1,153422.5,,39556.3366667,,9925.1,13696.1,5156.87594,15231.3795169,53136.8495281,62165.0937,138325.18,3949.24814728
2009年,9575.12775954,2301.97622114,1739.684,,,-7872.29563563,,41421.2564994,167098.092621,,,156679.8,1733.808814,,7783.4,123584.6,,,3817.29234894,15486.184512,45690.2,169274.8,,41962.7575439,,12302.6,16115.6,6246.031731,17865.0044049,59725.5440025,63322.0459394,164463.2,5556.97634894
2010年,11466.3370013,2748.03668278,1616.8047858,,,-1303.70101504,,56850.276715,190967.992556,,,183615.2,2428.67602574,,9988.7,140758.6,,,5174.52257057,17680.81,53356.4,194115.0,,52672.5909182,,16207.243134,20584.5011,6137.51478654,15378.6528497,72076.4060218,77405.6422732,193603.9,6791.32735637
2011年,14026.2673596,3211.54652427,2436.88325064,,,484.948313902,,82711.2460534,222528.353704,,,215682.0,3075.524,,12662.3,168956.6,,,6219.44472476,22823.75,63154.9,232111.5,,62270.8052059,,,,7588.84553155,18179.7255845,44438.8628911,107178.042162,228344.3,8656.3279754
2012年,15975.6990226,4093.77579032,3023.71713953,,,-9929.14120688,,103907.534127,256676.808411,,,241756.84,4411.21098258,,11016.4,190584.6,,,6622.54401218,25818.161912,71409.0,261993.6,,68866.0282854,,23930.6977,31411.0283,8708.279533,17606.9309466,105843.866468,130019.451846,252773.24,9646.26115171
2013年,17800.8965165,3305.0494405,3944.13356724,,,-1718.4433943,,87877.793724,299072.279679,,,263027.9,5127.9177,,11148.8,219762.5,,,7707.34359611,29030.3639,81245.9,301008.4,,73536.4115246,,28743.9264,35993.5842,10090.9631663,23563.1681254,121659.734183,119873.92899,274176.7,11651.4771633
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
